arm,segment,timeframe,tap_class,taps,zones,first_fill_on_retap_share,share_filled,share_never_rested,share_no_touch,share_cancelled_expired,share_cancelled_invalidated,share_cancelled_condition_failed
band,full,all,first_tap,50086,50086,0.08093687827816966,0.8116439723675278,0.057620892065647085,1.9965659066405783e-05,0.07570977917981073,0.05500539072794793,0.0
band,full,all,retap,63526,50086,0.08093687827816966,0.8377672134244246,0.022982715738437805,4.7224758366653025e-05,0.09846362119447155,0.04073922488429934,0.0
band,full,15m,first_tap,35143,35143,0.07922416288719483,0.8145576643997382,0.05713797911390604,0.0,0.07327205986967533,0.05503229661668042,0.0
band,full,15m,retap,44568,35143,0.07922416288719483,0.8413660025130139,0.022863938251660384,0.0,0.09636959253275892,0.03940046670256686,0.0
band,full,1h,first_tap,8567,8567,0.08776806989674345,0.8043655888875919,0.058130033850822924,0.0,0.08264269872767596,0.054861678533909185,0.0
band,full,1h,retap,10968,8567,0.08776806989674345,0.8316010211524435,0.02324945295404814,0.0,0.10229759299781181,0.042851932895696575,0.0
band,full,2h,first_tap,4222,4222,0.07706817569388305,0.8112269066792989,0.0556608242539081,0.00023685457129322596,0.07674088109900522,0.05613453339649455,0.0
band,full,2h,retap,5329,4222,0.07706817569388305,0.8247325952336273,0.024394820791893413,0.000562957402889848,0.10377181459936198,0.046537811972227436,0.0
band,full,4h,first_tap,2154,2154,0.08945686900958466,0.7938718662952646,0.06731662024141133,0.0,0.08588672237697308,0.052924791086350974,0.0
band,full,4h,retap,2661,2154,0.08945686900958466,0.8290116497557309,0.021044720030063885,0.0,0.10710259301014656,0.04284103720405862,0.0
band,is,all,first_tap,33355,33355,0.07821681864235056,0.8182881127267276,0.05522410433218408,0.0,0.07384200269824615,0.05264578024284215,0.0
band,is,all,retap,42646,33355,0.07821681864235056,0.8492238427988557,0.019439103315668525,0.0,0.09442855132955025,0.036908502555925524,0.0
band,is,15m,first_tap,23361,23361,0.078112208042379,0.8194426608449981,0.05530585163306365,0.0,0.07285647018535166,0.05239501733658662,0.0
band,is,15m,retap,29944,23361,0.078112208042379,0.8508215335292546,0.019603259417579483,0.0,0.0934410900347315,0.036134117018434414,0.0
band,is,1h,first_tap,5741,5741,0.0800313848568066,0.816930848284271,0.054694304128200665,0.0,0.07611914300644487,0.05225570458108344,0.0
band,is,1h,retap,7265,5741,0.0800313848568066,0.8469373709566415,0.019408121128699243,0.0,0.09497591190640055,0.03867859600825878,0.0
band,is,2h,first_tap,2808,2808,0.07151466452390519,0.823005698005698,0.05128205128205128,0.0,0.07193732193732194,0.053774928774928774,0.0
band,is,2h,retap,3596,2808,0.07151466452390519,0.8476084538375973,0.019744160177975527,0.0,0.09454949944382647,0.038097886540600666,0.0
band,is,4h,first_tap,1445,1445,0.08585055643879173,0.7958477508650519,0.06366782006920416,0.0,0.08442906574394464,0.056055363321799306,0.0
band,is,4h,retap,1841,1445,0.08585055643879173,0.8354155350353069,0.016295491580662683,0.0,0.10809342748506247,0.040195545898967955,0.0
band,oos_warm,all,first_tap,16731,16808,0.08644508275201751,0.7983981830135676,0.062399139322216246,5.9769290538521305e-05,0.07943338712569482,0.05970952124798279,0.0
band,oos_warm,all,retap,20880,16808,0.08644508275201751,0.8143678160919541,0.030220306513409963,0.00014367816091954023,0.10670498084291188,0.048563218390804595,0.0
band,oos_warm,15m,first_tap,11782,11823,0.08146067415730338,0.8048718383975556,0.06077066711933458,0.0,0.0740960787642166,0.06026141571889323,0.0
band,oos_warm,15m,retap,14624,11823,0.08146067415730338,0.8220049234135668,0.02954048140043764,0.0,0.1023659737417943,0.04608862144420131,0.0
band,oos_warm,1h,first_tap,2826,2841,0.10382736156351792,0.7788393489030432,0.06510969568294409,0.0,0.09589525831564048,0.060155697098372256,0.0
band,oos_warm,1h,retap,3703,2841,0.10382736156351792,0.8015122873345936,0.03078584931136916,0.0,0.11666216581150418,0.05103969754253308,0.0
band,oos_warm,2h,first_tap,1414,1423,0.088379705400982,0.7878359264497878,0.06435643564356436,0.0007072135785007072,0.08628005657708628,0.06082036775106082,0.0
band,oos_warm,2h,retap,1733,1423,0.088379705400982,0.777264858626659,0.034045008655510675,0.0017311021350259665,0.12290825158684363,0.06405077899596076,0.0
band,oos_warm,4h,first_tap,709,721,0.0967741935483871,0.7898448519040903,0.07475317348377997,0.0,0.08885754583921016,0.0465444287729196,0.0
band,oos_warm,4h,retap,820,721,0.0967741935483871,0.8146341463414634,0.03170731707317073,0.0,0.1048780487804878,0.04878048780487805,0.0
zone_top,full,all,first_tap,50086,50086,0.01363684941754836,0.9213552689374276,0.057620892065647085,0.0,0.013357025915425468,0.0076668130814998205,0.0
