symbol,timeframe,segment,window,entry_mode,take_profit_r,offset_bps,retap_mode,position_mode,portfolio_leverage,combine_obs,max_zone_width_atr,fill,seed,start_time,end_time,num_bars,num_trades,win_rate,total_return,max_drawdown,sharpe,profit_factor,mean_r,fill_rate,eligible_setups,num_filled,funding_coverage
BTC/USDT:USDT,15m,full,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1689292800000,1784072700000,105312,267,0.550561797752809,0.19833918585373614,0.07786616736453092,21.18316833483405,1.2511906868099074,0.37640449438202245,0.7504930966469427,1014,761,1.0
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1689292800000,1752479100000,70208,193,0.5440414507772021,0.14718666894722737,0.07786616736453092,21.703009609957714,1.2582211588160725,0.3601036269430052,0.7496382054992764,691,518,1.0
BTC/USDT:USDT,15m,oos_warm,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1752480000000,1784072700000,35104,74,0.5675675675675675,0.04458953219309224,0.03896530322697696,19.62490034405267,1.2329415982968246,0.4189189189189189,0.7523219814241486,323,243,1.0
BTC/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1752480000000,1784072700000,35104,61,0.5573770491803278,0.015894403381469965,0.039948527454788815,9.249541927719587,1.0995927901598164,0.39344262295081966,0.7508305647840532,301,226,1.0
ETH/USDT:USDT,15m,full,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1689292800000,1784072700000,105312,396,0.547979797979798,0.35107876067799737,0.06716887238616706,21.048563236745363,1.2597339616922572,0.369949494949495,0.7197039777983348,1081,778,1.0
ETH/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1689292800000,1752479100000,70208,249,0.5461847389558233,0.23863109400441118,0.06716887238616706,23.121146372625795,1.3029601928027328,0.3654618473895582,0.7285921625544267,689,502,1.0
ETH/USDT:USDT,15m,oos_warm,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1752480000000,1784072700000,35104,147,0.5510204081632653,0.09078382354349797,0.06320855804134477,17.243831953502035,1.1993678170046707,0.37755102040816324,0.7040816326530612,392,276,1.0
ETH/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1752480000000,1784072700000,35104,139,0.5467625899280576,0.06718849207587227,0.06587582894412711,14.181536107807505,1.1591274238094806,0.3669064748201439,0.6981627296587927,381,266,1.0
SOL/USDT:USDT,15m,full,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1689292800000,1784072700000,105312,616,0.5844155844155844,1.805419606361997,0.06398279890061943,39.992553610398076,1.5556005293037045,0.461038961038961,0.7440677966101695,1180,878,1.0
SOL/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1689292800000,1752479100000,70208,425,0.5647058823529412,0.9153052328099762,0.06398279890061943,34.64092710088858,1.4301090919138575,0.4117647058823529,0.7422552664188352,807,599,1.0
