arm,label,combine_obs,retap_mode,segment,adopted_arm,num_cells,num_symbols,num_trades,win_rate,mean_net_r,gross_r,slippage_r,entry_fee_r,take_profit_fee_r,stop_fee_r,other_fee_r,funding_r,cost_r,identity_max_abs,stop_width_p50,stop_width_p90,entry_in_zone_p50,retap_trades,retap_trade_share,reentry_trades,zone_retap_and_reentry,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,liquidation_events,symbols_below_gate,min_symbol_trades,reentry,multiple,adopted_point,net_r_stderr,mean_gross_r_after_slippage,same_step_tp_trades,same_step_tp_trade_share,same_step_tp_net_r_share
매탭·재진입켬·0.6R,매탭·재진입켬·0.6R,False,every_tap,full,False,48,12,67207,0.6718942967250435,-0.006836669985124635,0.14097070736324147,0.08657292828106042,0.026388954081968737,0.018150555226783407,0.01649702508623324,1.531735770477782e-06,0.00019638293654912733,0.14780737734836635,2.842170943040401e-14,0.008645643738290656,0.026640949075324313,-0.007828473084885984,26514,0.3945124763789486,10059,0,-1.2600939190997578,1.4187493622014922,-0.8881723246341787,21,1.8500882005344574,1.8500882005344574,8249,0,4013,True,0.6,False,0.0030590237260485352,0.05439777908213205,19689,0.2929605547041231,
매탭·재진입켬·0.6R,매탭·재진입켬·0.6R,False,every_tap,oos_warm,False,48,12,20055,0.6775367738718524,-0.006446023955454622,0.1581036886638528,0.09645285667632174,0.029632189766786634,0.02068524021969721,0.01791342637457197,5.133052402218913e-06,-0.00013913347047354597,0.1645497126193075,2.842170943040401e-14,0.00729773667926093,0.02122419105634716,-0.008800000000000405,7972,0.3975068561455996,2695,0,-1.2126328443869556,2.5675677402425237,-0.472288549735562,15,1.0805333096848433,1.0805333096848433,8244,0,842,True,0.6,False,0.00559881426090942,0.06165083198753455,5303,0.2644228371977063,
매탭·재진입켬·0.8R,매탭·재진입켬·0.8R,False,every_tap,full,False,48,12,60986,0.5883973370937592,-0.03103103232888309,0.12519734939630522,0.09243652053600719,0.026448514390838597,0.015921024740407266,0.02106639564883862,1.6879835687944825e-06,0.00035423842552898617,0.1562283817251911,2.842170943040401e-14,0.008628634949539294,0.026704330016368558,-0.007828473084885984,22922,0.37585675400911683,8344,0,-10.58255056313036,3.709598866787275,-2.852747950156523,22,128.0201288481015,128.0201288481015,28104,0,3723,True,0.8,False,0.0037688301809325592,0.03276082886027603,12681,0.20793296822221494,
매탭·재진입켬·0.8R,매탭·재진입켬·0.8R,False,every_tap,oos_warm,False,48,12,18182,0.5892641073589264,-0.03945766366952529,0.13483445164628935,0.10340251045226158,0.02968664246778961,0.018009575838434995,0.023361044206679605,5.66182850767244e-06,-0.00017331947785909806,0.17429211531581526,2.842170943040401e-14,0.007290631476522235,0.02128615316465778,-0.008800000000000405,6903,0.3796612033879661,2180,0,-4.715998565799664,4.50967152434317,-1.0457521219323276,16,9.84874485569629,9.84874485569629,13723,0,804,True,0.8,False,0.006931593083581829,0.03143194119402933,3252,0.17885821141788583,
매탭·재진입켬·1R,매탭·재진입켬·1R,False,every_tap,full,False,48,12,56585,0.5207210391446496,-0.05555003610509637,0.10760010817581338,0.0972441788158075,0.026481903336431002,0.014061186499168182,0.0248437567767476,1.8192695224264435e-06,0.0005172995832338753,0.16315014428091054,2.842170943040401e-14,0.008614645456320404,0.02682205275693675,-0.007828473084885984,20249,0.35785102058849516,7368,0,-18.68938300709383,7.5731292762721605,-2.4678547434348825,21,3.4660387817037375,3.4660387817037375,42780,0,3478,True,1.0,False,0.004395580298521954,0.010355929360006172,8803,0.15557126446938235,
매탭·재진입켬·1R,매탭·재진입켬·1R,False,every_tap,oos_warm,False,48,12,16834,0.5178210763930141,-0.07259418707773875,0.10992402412597982,0.1092044716409862,0.029745957138848502,0.01580237933452956,0.027881328224337254,6.115205294433901e-06,-0.00012204034027753796,0.18251821120371983,2.842170943040401e-14,0.007274221619422792,0.02128257497774157,-0.008800000000000405,6109,0.36289651894974456,1869,0,-7.861390670128651,7.35824386575753,-1.068378653052337,17,6.231374538382605,6.231374538382605,12832,0,760,True,1.0,False,0.008097133540795111,0.0007195524849932135,2151,0.12777711773791137,
매탭·재진입켬·1.5R,매탭·재진입켬·1.5R,False,every_tap,full,True,48,12,49431,0.40426048431146444,-0.09810767893188604,0.07690242690732474,0.10539281353984914,0.026525960267094594,0.010883662899711209,0.03126939259741602,3.805982697688772e-06,0.0009344705524412561,0.17501010583920915,5.684341886080802e-14,0.008608235529573184,0.026801826773497583,-0.007828473084885984,15794,0.31951609313993246,6216,0,-29.418246687520018,20.65579126431821,-1.4242130117928955,24,247.06611451684418,247.06611451684418,44657,0,3042,True,1.5,True,0.005726854755149141,-0.028490386632524674,4263,0.08624142744431632,
매탭·재진입켬·1.5R,매탭·재진입켬·1.5R,False,every_tap,oos_warm,True,48,12,14825,0.4008094435075885,-0.11941478623732331,0.07654604116592223,0.11864930985984014,0.02986463450477969,0.012255004564201488,0.035189728284928175,1.2690288750722003e-05,-1.0540099254702407e-05,0.1959608274032462,5.684341886080802e-14,0.007237420176222316,0.021228217146692055,-0.008800000000000405,4824,0.32539629005059023,1591,0,-11.06157160318877,9.956212511599691,-1.1110220468176284,16,42.65054766675442,42.65054766675442,12185,0,681,True,1.5,True,0.010483195429070405,-0.04210326869391761,1001,0.06752107925801012,
매탭·재진입끔·0.6R,매탭·재진입끔·0.6R,False,every_tap,full,False,48,12,57368,0.6714893320317947,-0.0054369021044152225,0.1386711045777082,0.08437545816624427,0.025727931410671957,0.017707698701885002,0.01606038923732439,1.7944388147835083e-06,0.0002347347271839429,0.14410800668212373,2.842170943040401e-14,0.008953944114471148,0.027233707420820957,-0.006255836703757885,26689,0.4652245154092874,0,0,-0.6364035782267782,1.1852515926954426,-0.5369354339187172,21,65.04124159556014,65.04124159556014,6501,0,3475,False,0.6,False,0.0033069012128027673,0.05429564641141873,13691,0.23865221029145167,
매탭·재진입끔·0.6R,매탭·재진입끔·0.6R,False,every_tap,oos_warm,False,48,12,17430,0.6721170395869192,-0.013171367091604755,0.14743560008738882,0.09421682444178132,0.028833100730202354,0.019980140112320778,0.017721302643558392,5.906102462794051e-06,-0.0001503068513325664,0.16060696717899348,2.842170943040401e-14,0.007570492859135577,0.0219155991998021,-0.007319991196629421,8029,0.4606425702811245,0,0,-1.8952088731219214,2.4493623102661974,-0.773756036490963,15,1263.9730668988268,1263.9730668988268,7277,0,762,False,0.6,False,0.006022381213309741,0.05321877564561416,3669,0.21049913941480206,
