symbol,timeframe,segment,window,entry_mode,take_profit_r,offset_bps,fill,seed,start_time,end_time,num_bars,num_trades,win_rate,total_return,max_drawdown,sharpe,profit_factor,mean_r,fill_rate,eligible_setups,num_filled,funding_coverage,level
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,baseline,0,1689292800000,1752479100000,70208,623,0.48635634028892455,0.11036957954070295,0.2091706349372358,4.638276580980432,1.0421660188732682,0.2158908507223114,0.6017391304347826,1725,1038,1.0,L1
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,pen_5bp,0,1689292800000,1752479100000,70208,598,0.4698996655518395,-0.025181136037169746,0.25997386321198135,-0.22301594873030714,0.9896793193029197,0.17474916387959866,0.566376811594203,1725,977,1.0,L1
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,0,1689292800000,1752479100000,70208,313,0.46006389776357826,-0.04284208245446316,0.20998382961097461,-2.3808688813882166,0.9647836952048904,0.1501597444089457,0.27768115942028987,1725,479,1.0,L1
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,1,1689292800000,1752479100000,70208,337,0.456973293768546,-0.06721972614823862,0.19213960331373603,-3.888636159623619,0.9496636000417591,0.142433234421365,0.29797101449275365,1725,514,1.0,L1
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,2,1689292800000,1752479100000,70208,334,0.46407185628742514,0.010742349118020501,0.13938305248185504,1.494789533583983,1.0082138011608113,0.1601796407185629,0.28579710144927534,1725,493,1.0,L1
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,3,1689292800000,1752479100000,70208,324,0.4506172839506173,-0.1405944840611448,0.25380652832236916,-9.833610436373556,0.889454020857394,0.12654320987654322,0.27710144927536234,1725,478,1.0,L1
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,4,1689292800000,1752479100000,70208,318,0.44339622641509435,-0.15891848868568978,0.2824931927825385,-11.8860899539838,0.8757140068839624,0.10849056603773585,0.2881159420289855,1725,497,1.0,L1
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,baseline,0,1689292800000,1752479100000,70208,450,0.5044444444444445,0.23007634346300965,0.1291536162232616,11.18825661005697,1.11283294466816,0.2611111111111111,0.5047021943573667,1595,805,1.0,L2
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,pen_5bp,0,1689292800000,1752479100000,70208,430,0.4883720930232558,0.13321341720956753,0.16025054226652263,7.300843841784131,1.0699311017962152,0.22093023255813954,0.4589341692789969,1595,732,1.0,L2
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,0,1689292800000,1752479100000,70208,223,0.48878923766816146,0.04876639469024031,0.16551762997767547,5.430315122615098,1.0505529720654867,0.2219730941704036,0.22758620689655173,1595,363,1.0,L2
