symbol,timeframe,close_return,zone_limit_return,return_delta,close_trades,zone_limit_trades
BTC/USDT:USDT,15m,-0.24537856635323432,0.31411466443691627,0.5594932307901506,740.0,694.0
BTC/USDT:USDT,1h,-0.04172949075871166,0.2331242297467268,0.27485372050543844,233.0,223.0
BTC/USDT:USDT,4h,0.08409993785068764,0.04528558616479531,-0.03881435168589233,62.0,57.0
BTC/USDT:USDT,1d,0.09579303910198705,0.03581094138564531,-0.05998209771634174,11.0,11.0
ETH/USDT:USDT,15m,-0.23446228975299072,0.6643526332101767,0.8988149229631675,874.0,815.0
ETH/USDT:USDT,1h,0.15460295828939633,0.40257589782435826,0.24797293953496194,260.0,233.0
ETH/USDT:USDT,4h,0.1377948330140998,0.15315375265538841,0.015358919641288604,63.0,52.0
ETH/USDT:USDT,1d,0.01704526138583351,0.015811320095604424,-0.001233941290229086,13.0,12.0
SOL/USDT:USDT,15m,-0.09868014481084283,1.032749429628619,1.1314295744394618,938.0,917.0
SOL/USDT:USDT,1h,0.34494623609025366,0.4415257701839941,0.09657953409374043,253.0,236.0
SOL/USDT:USDT,4h,0.11495708574274777,0.18595195627031025,0.07099487052756248,65.0,65.0
SOL/USDT:USDT,1d,-0.009972000676175957,-0.021204836718399383,-0.011232836042223426,8.0,7.0
