lens,universe,scope,segment,exclude_symbol,num_cells,num_trades,win_rate,total_return,max_drawdown,peak_concurrency,max_concurrent_risk,max_open_notional_ratio,liquidation_events,clamped_entries,skipped_cell_busy,skipped_notional,reentry
baseline,19,all,oos_warm,THETA,72,9616,0.5506447587354409,124323.51893588205,0.3103751077108466,13,0.11454480147123491,5.000000000000001,0,7475,4454,1038,band
baseline,19,all,oos_warm,TRX,72,10057,0.5519538629810082,273949.9356697996,0.2822762484586075,13,0.11454437782540491,5.000000000000001,0,7735,4733,1117,band
baseline,19,all,oos_warm,VET,72,9747,0.552272494100749,188966.68709730665,0.2803346801635079,13,0.11454480147123489,5.000000000000001,0,7530,4559,1005,band
baseline,19,all,oos_warm,XLM,72,9850,0.5506598984771574,181453.44329268025,0.2691325982263263,13,0.11454480147123491,5.000000000000001,0,7589,4603,1069,band
baseline,19,all,oos_warm,XMR,72,9532,0.5457406630297944,56350.709095234204,0.30889479707819884,13,0.11460903727894854,5.000000000000001,0,7354,4417,1096,band
baseline,19,all,oos_warm,XRP,72,9819,0.5525002546084122,240715.58678258778,0.27296703612042705,13,0.11454480147123487,5.000000000000001,0,7554,4544,1054,band
baseline,9,15m,full,,9,9338,0.5793531805525809,5391696.661916522,0.1659667694200886,6,0.05996590716805996,5.0,0,7887,3941,0,band
baseline,9,15m,oos_warm,,9,3060,0.5584967320261438,28.081335484369383,0.15087493250733008,5,0.04235830334694439,5.0,0,2850,1319,0,band
baseline,9,1h,full,,9,2588,0.5950540958268934,2141.9873706594067,0.11223578258992399,6,0.05915434518222158,5.0,0,1253,1137,0,band
baseline,9,1h,oos_warm,,9,884,0.5509049773755657,4.387447908129286,0.10746751949748276,5,0.049999999999999996,3.9525104440388055,0,521,414,0,band
baseline,9,2h,full,,9,1318,0.6016691957511381,111.6798893941059,0.098286803022124,6,0.055557278005933165,3.1991673364060795,0,368,517,0,band
