symbol,timeframe,segment,window,entry_mode,take_profit_r,offset_bps,retap_mode,position_mode,portfolio_leverage,fill,seed,start_time,end_time,num_bars,num_trades,win_rate,total_return,max_drawdown,sharpe,profit_factor,mean_r,fill_rate,eligible_setups,num_filled,funding_coverage
BTC/USDT:USDT,15m,full,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1689379200000,1784072700000,105216,789,0.4968314321926489,0.3553195117342535,0.14604802360172722,9.486998236398907,1.0933733307380222,0.2420785804816223,0.8008675078864353,2536,2031,1.0
BTC/USDT:USDT,15m,full,0,zone_limit,1.5,2.0,every_tap,multi,3.0,baseline,0,1689379200000,1784072700000,105216,882,0.4977324263038549,0.3549602698236045,0.33659727757408225,6.374990469380424,1.0503225475007472,0.2443310657596372,0.8008675078864353,2536,2031,1.0
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1689379200000,1752507900000,70144,515,0.5048543689320388,0.2922309054724026,0.13210729037267321,12.159437762562545,1.1231837136664955,0.2621359223300971,0.7942754919499105,1677,1332,1.0
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,multi,3.0,baseline,0,1689379200000,1752507900000,70144,580,0.4982758620689655,0.22679068629504326,0.33659727757408225,6.507505868500755,1.0489728581862323,0.24568965517241378,0.7942754919499105,1677,1332,1.0
BTC/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1752508800000,1784072700000,35072,249,0.4738955823293173,0.01601115300152487,0.138306907134252,2.1974980076013315,1.0158840047609714,0.18473895582329317,0.8093480934809348,813,658,1.0
BTC/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,multi,3.0,baseline,0,1752508800000,1784072700000,35072,275,0.48727272727272725,0.028493922059468605,0.20915441986244562,2.6968810141703967,1.016076215987037,0.21818181818181817,0.8093480934809348,813,658,1.0
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1689379200000,1784070000000,26304,261,0.5057471264367817,0.26580466815712134,0.12393219358100074,8.556995912580076,1.2063331828808361,0.26436781609195403,0.7452830188679245,636,474,1.0
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,2.0,every_tap,multi,3.0,baseline,0,1689379200000,1784070000000,26304,285,0.49122807017543857,0.24330574392727286,0.20106422616021993,6.32793474400802,1.1313990802237697,0.22807017543859648,0.7452830188679245,636,474,1.0
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1689379200000,1752505200000,17536,159,0.48427672955974843,0.054258549197080355,0.12393219358100074,3.5040037707467167,1.0699643437881625,0.21069182389937108,0.7617728531855956,361,275,1.0
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,multi,3.0,baseline,0,1689379200000,1752505200000,17536,169,0.47337278106508873,0.04673591212779247,0.20106422616021993,2.6140499669629103,1.0430198717285666,0.1834319526627219,0.7617728531855956,361,275,1.0
BTC/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1752508800000,1784070000000,8768,86,0.5,0.0874599550898185,0.06334809229830843,8.973307395469886,1.2043801864099466,0.25,0.6938775510204082,245,170,1.0
BTC/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,multi,3.0,baseline,0,1752508800000,1784070000000,8768,96,0.4791666666666667,0.05246484955113883,0.14262109157391928,4.561962612776983,1.0846823377650425,0.19791666666666666,0.6938775510204082,245,170,1.0
BTC/USDT:USDT,4h,full,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1689379200000,1784059200000,6576,68,0.5147058823529411,0.1262496505334042,0.08269122241041559,6.990535097211506,1.3342671768110037,0.2867647058823529,0.8055555555555556,144,116,1.0
BTC/USDT:USDT,4h,full,0,zone_limit,1.5,2.0,every_tap,multi,3.0,baseline,0,1689379200000,1784059200000,6576,74,0.5135135135135135,0.15686267896250994,0.0940843630190855,7.6793034387917185,1.3597358678915215,0.28378378378378377,0.8055555555555556,144,116,1.0
BTC/USDT:USDT,4h,is,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1689379200000,1752494400000,4384,41,0.5853658536585366,0.13927185571600476,0.03145513385229236,12.65541364826105,1.7171515142941394,0.4634146341463415,0.7875,80,63,1.0
BTC/USDT:USDT,4h,is,0,zone_limit,1.5,2.0,every_tap,multi,3.0,baseline,0,1689379200000,1752494400000,4384,43,0.6046511627906976,0.1963222265662047,0.03145513385229243,16.302799022588765,1.9704772174873613,0.5116279069767442,0.7875,80,63,1.0
BTC/USDT:USDT,4h,oos,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1752508800000,1784059200000,2192,16,0.3125,-0.04354703581730209,0.04614836089390774,-10.856258978598888,0.6088979473356037,-0.21875,0.8095238095238095,42,34,1.0
BTC/USDT:USDT,4h,oos,0,zone_limit,1.5,2.0,every_tap,multi,3.0,baseline,0,1752508800000,1784059200000,2192,19,0.2631578947368421,-0.07748395835926894,0.07748395835926894,-17.19695648833704,0.4653844324203462,-0.34210526315789475,0.8095238095238095,42,34,1.0
ETH/USDT:USDT,15m,full,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1689379200000,1784072700000,105216,951,0.49631966351209256,0.4680808668376496,0.31198927760245165,8.99755971987518,1.1138306947217687,0.24079915878023134,0.7833140208574739,2589,2028,1.0
ETH/USDT:USDT,15m,full,0,zone_limit,1.5,2.0,every_tap,multi,3.0,baseline,0,1689379200000,1784072700000,105216,1066,0.49906191369606,1.0598435976757896,0.40641798999767437,11.426904761041916,1.1512776765780275,0.24765478424015008,0.7833140208574739,2589,2028,1.0
ETH/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1689379200000,1752507900000,70144,613,0.47797716150081565,0.01106994518051779,0.31198927760245165,1.2190136555211104,1.0047405058592844,0.19494290375203915,0.7887323943661971,1633,1288,1.0
ETH/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,multi,3.0,baseline,0,1689379200000,1752507900000,70144,672,0.4791666666666667,0.11428405390350199,0.40641798999767437,3.590851592191622,1.0328083555607956,0.19791666666666666,0.7887323943661971,1633,1288,1.0
ETH/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1752508800000,1784072700000,35072,325,0.5292307692307693,0.4325300748999196,0.09394318615130683,22.586539894180557,1.2620675819721263,0.3230769230769231,0.7705442902881536,937,722,1.0
ETH/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,multi,3.0,baseline,0,1752508800000,1784072700000,35072,381,0.5328083989501312,0.7937328066202226,0.14655940516811042,24.53705913457094,1.2655610535982673,0.3320209973753281,0.7705442902881536,937,722,1.0
ETH/USDT:USDT,1h,full,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1689379200000,1784070000000,26304,283,0.5477031802120141,0.7521170161558861,0.11626127475075172,17.176756721035787,1.4938017076969645,0.36925795053003535,0.7615606936416185,692,527,1.0
ETH/USDT:USDT,1h,full,0,zone_limit,1.5,2.0,every_tap,multi,3.0,baseline,0,1689379200000,1784070000000,26304,304,0.5394736842105263,0.9900295573984116,0.1403057806100272,17.685933221796358,1.4830543944074668,0.34868421052631576,0.7615606936416185,692,527,1.0
ETH/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,baseline,0,1689379200000,1752505200000,17536,176,0.5113636363636364,0.20415323388706658,0.11626127475075172,9.471975559696832,1.2401723223140715,0.2784090909090909,0.7652370203160271,443,339,1.0
