scope,unit,offset_ms,segment,bin,bins,lo,hi,n,stops,stop_rate,mean_net_r,net_r_stderr
self,coin,-3600000,oos_warm,0,5,-0.5395609736,-0.004648114555,1476,847,0.5738482385,-0.03721313635,0.03337577846
self,coin,-3600000,oos_warm,1,5,-0.004648114555,-0.0004003328504,1889,1094,0.5791424034,-0.07106799582,0.02970327407
self,coin,-3600000,oos_warm,2,5,-0.0004003328504,0.003008128284,2172,1223,0.5630755064,-0.03203908423,0.02779670379
self,coin,-3600000,oos_warm,3,5,0.003008128284,0.00941091422,2363,1342,0.5679221329,-0.03832447549,0.02657545977
self,coin,-3600000,oos_warm,4,5,0.00941091422,0.1551383883,2175,1310,0.6022988506,-0.1134533613,0.02721878404
self,coin,-1800000,is,0,5,-0.5174751282,-0.003217578167,2997,1729,0.5769102436,-0.03807115707,0.02334350984
self,coin,-1800000,is,1,5,-0.003217578167,-0.0001866076433,2996,1738,0.5801068091,-0.06461186594,0.02343102871
self,coin,-1800000,is,2,5,-0.0001866076433,0.002275129966,2996,1730,0.5774365821,-0.06148622828,0.02351469576
self,coin,-1800000,is,3,5,0.002275129966,0.007058021519,2996,1706,0.5694259012,-0.03241570962,0.02350093312
self,coin,-1800000,is,4,5,0.007058021519,0.1331892014,2997,1744,0.5819152486,-0.05518797449,0.02335273396
self,coin,-1800000,oos_warm,0,5,-0.5174751282,-0.003217578167,1571,896,0.5703373647,-0.02951581635,0.03240012829
self,coin,-1800000,oos_warm,1,5,-0.003217578167,-0.0001866076433,1739,1001,0.5756181714,-0.06076423824,0.03094251643
self,coin,-1800000,oos_warm,2,5,-0.0001866076433,0.002275129966,2072,1191,0.5748069498,-0.06373624257,0.02839231154
self,coin,-1800000,oos_warm,3,5,0.002275129966,0.007058021519,2322,1303,0.5611541774,-0.02028806736,0.02685942292
self,coin,-1800000,oos_warm,4,5,0.007058021519,0.1331892014,2371,1425,0.6010122311,-0.111714878,0.02610219228
self,coin,-300000,is,0,5,-0.3694325089,-0.001166873612,2996,1718,0.5734312417,-0.02925940822,0.02334205774
self,coin,-300000,is,1,5,-0.001166873612,-0.0001030128915,2996,1688,0.5634178905,-0.02094935343,0.02357868868
self,coin,-300000,is,2,5,-0.0001030128915,0.0008204010664,2997,1757,0.5862529196,-0.08482796895,0.02343011141
self,coin,-300000,is,3,5,0.0008204010664,0.003171339165,2990,1717,0.5742474916,-0.0449456087,0.02349026643
