symbol,timeframe,segment,side,trigger_time,broke,r_multiple,trend_dev,volume_pctl,vol_balance,rsi_slope_5_3,rsi_slope_10_5,rsi_slope_14_5,zone_width_atr,freshness_bars,prior_taps,approach_mom,tap_rsi
BTC/USDT:USDT,15m,is,long,1689778800000,False,1.5,-0.006599391449523706,0.6469135802469136,0.2561756957900386,-5.969590061551585,-2.7493205384642323,-2.6386355376128066,1.0243402940350714,58.0,0.0,-1.457802779261497,35.71716587261797
BTC/USDT:USDT,15m,is,long,1689801300000,False,1.5,-0.0032195285202224477,0.8382716049382716,0.3900945883626539,-7.486371143265842,-3.8162711591534233,-1.0226001009917312,2.709380881282619,83.0,1.0,-1.9491653155031645,41.08473840276414
BTC/USDT:USDT,15m,is,long,1689863400000,True,-1.0,0.0016971135852617003,0.8395061728395061,0.3900945883626539,-1.9290922638998538,-5.603254096378173,-7.635982617809539,2.969803702373949,152.0,3.0,-1.5719840628845083,36.77911183534736
BTC/USDT:USDT,15m,is,long,1689916500000,False,1.5,-0.003318309948389664,0.7185185185185186,0.219228952655905,-3.1059193625793426,-3.7612731117568856,-0.12038108067282849,3.190365142131862,32.0,1.0,-0.8748096798225775,48.9743551707784
BTC/USDT:USDT,15m,is,long,1689966900000,False,1.5,-0.0034386901561670458,0.8518518518518519,0.2540117268847247,-0.08341013153587795,6.098352543406598,2.896364174025564,2.3562874223324926,88.0,8.0,-1.1582749540135575,41.409552081854144
BTC/USDT:USDT,15m,is,long,1690029900000,True,-1.0,-0.002128765960976775,0.8530864197530864,0.2540117268847247,-2.767380819977731,-5.788418032210323,-5.661889473403868,6.098507385792447,158.0,8.0,-1.7636532914565175,36.58607013803747
BTC/USDT:USDT,15m,is,long,1690330500000,False,1.5,-0.004462006480150715,0.8160493827160494,0.19309061161364272,0.9327474600330277,-1.59790572730207,-0.21087322200319392,2.6079909407674093,43.0,1.0,-0.633886686992068,45.32898934926286
BTC/USDT:USDT,15m,is,long,1690365600000,False,1.5,-0.0036087368826103194,0.8938271604938272,0.2083663780036304,-4.579619068817522,-2.5667681733755074,-4.276368893783079,2.2754648533741455,82.0,4.0,-0.6879904931814381,44.79688338361487
BTC/USDT:USDT,15m,is,long,1690398000000,False,1.5,0.002937474842435117,0.9382716049382716,0.2152347973594717,2.9060931277488606,-0.8864092776268393,-0.28694099561196396,1.6401133922123339,118.0,6.0,1.0673353306243158,60.50446677989323
BTC/USDT:USDT,15m,is,long,1690478100000,False,1.5,-0.0035680744566399802,0.9395061728395062,0.2152347973594717,0.06099306155380191,-2.9138324352946725,-4.831436953777441,2.420664298201452,207.0,7.0,-1.2810900285866011,33.79035522391797
