segment,axis,bucket,arm,category,num_trades,trade_share,net_r_sum,gain_share,loss_share,win_rate
full,overall,전체,1_봉마감,트리거 전에 이미 익절,6721,0.135964557371743,9677.858306796872,0.33529900745510344,0.0,1.0
full,overall,전체,1_봉마감,트리거 전에 이미 손절,156,0.0031558504612396827,-183.41925531350745,0.0,0.005436038827343157,0.0
full,overall,전체,1_봉마감,아직 들고 있음,17422,0.35244376112639586,5264.075341183235,0.4836281393218248,0.25769753484983027,0.5521754104006429
full,overall,전체,1_봉마감,트리거 안 옴,25133,0.5084358310406215,-19636.49125371184,0.18107285322307115,0.7368664263228154,0.14463056539211394
full,overall,전체,2_교차,트리거 전에 이미 익절,3497,0.07074364783945622,5040.121121991656,0.1746199991862285,0.0,1.0
full,overall,전체,2_교차,트리거 전에 이미 손절,1006,0.020351189512866158,-1171.7476191139385,0.0,0.034727354783242285,0.0
full,overall,전체,2_교차,아직 들고 있음,26887,0.543918918918919,6301.890453819323,0.7138454615567867,0.4238744355642131,0.5299215234128017
full,overall,전체,2_교차,트리거 안 옴,18042,0.3649862437287587,-15048.24081774216,0.11153453925698553,0.5413982096525306,0.12365591397849462
full,overall,전체,C_고정오프셋,트리거 전에 이미 익절,4332,0.08763553973134812,6109.378834235568,0.21166549399134513,0.0,1.0
full,overall,전체,C_고정오프셋,트리거 전에 이미 손절,1135,0.02296083508658359,-1308.4825203029043,0.0,0.03877979862642373,0.0
full,overall,전체,C_고정오프셋,아직 들고 있음,23168,0.46868425311539086,10382.139024773356,0.7071558767001919,0.2972246929995024,0.6029005524861878
full,overall,전체,C_고정오프셋,트리거 안 옴,20797,0.4207193720666775,-20061.012199751316,0.08117862930846022,0.6639955083740685,0.08058854642496514
full,timeframe,15m,1_봉마감,트리거 전에 이미 익절,4535,0.132808152985621,6484.485815101275,0.32617663106373623,0.0,1.0
full,timeframe,15m,1_봉마감,트리거 전에 이미 손절,121,0.003543503089583272,-145.29036268739077,0.0,0.0061172204747435895,0.0
full,timeframe,15m,1_봉마감,아직 들고 있음,12508,0.36629864995460804,3831.1770633975057,0.5079330009654318,0.26384854544382685,0.5592420850655581
full,timeframe,15m,1_봉마감,트리거 안 옴,16983,0.49734969397018775,-14041.125504929889,0.1658903679708319,0.7300342340814201,0.13590060648884178
full,timeframe,15m,2_교차,트리거 전에 이미 익절,2170,0.0635487744164934,3104.711358474119,0.15617033026335456,0.0,1.0
full,timeframe,15m,2_교차,트리거 전에 이미 손절,625,0.018303218437930126,-747.2670172688305,0.0,0.0314624935445507,0.0
full,timeframe,15m,2_교차,아직 들고 있음,19380,0.5675461973233373,4328.189166583204,0.7449445478917923,0.44130795841234327,0.5313209494324045
full,timeframe,15m,2_교차,트리거 안 옴,11972,0.35060180982223915,-10556.386496906947,0.09888512184485433,0.5272295480430975,0.11451720681590377
full,timeframe,15m,C_고정오프셋,트리거 전에 이미 익절,3761,0.11014144727208833,5302.869013085433,0.26674003135797936,0.0,1.0
full,timeframe,15m,C_고정오프셋,트리거 전에 이미 손절,610,0.017863941195419803,-717.5794129808767,0.0,0.030212544012886974,0.0
full,timeframe,15m,C_고정오프셋,아직 들고 있음,13349,0.3909274606846868,7193.260908012676,0.6290735227651687,0.22369135147767882,0.643868454565885
full,timeframe,15m,C_고정오프셋,트리거 안 옴,16427,0.4810671508478051,-15649.303497235704,0.10418644587685257,0.7460961045094294,0.09021732513544774
full,timeframe,1h,1_봉마감,트리거 전에 이미 익절,1282,0.14391558149977549,1865.249246855947,0.3605644958658639,0.0,1.0
