symbol,timeframe,segment,threshold,r_multiple,guard,num_candidates,num_trades,total_return,max_drawdown,win_rate,sharpe,n_take_profit,n_stop_loss,n_end_of_data,fill_rate_full,mean_net_r,net_r_win,net_r_loss,cost_r_median,breakeven_win_rate,win_rate_margin,profit_factor,cap_hit_rate,effective_risk_mean,guard_reject_rate,tp_dist_frac_median,stop_frac_median
BTC/USDT:USDT,1h,is,,1.0,0.003,292,184,0.1660694625288832,0.0494300674272438,0.6358695652173914,10.25650035037495,117,67,0,0.7441520467836257,0.1178762518016737,0.8393206790547403,-1.141959539073084,0.1340704251011393,0.5763745726751154,0.0594949925422759,1.25101045983207,0.5815217391304348,0.0077579533479085,0.0753424657534246,0.0081582564550141,0.0081582564550141
BTC/USDT:USDT,1h,oos,,1.0,0.003,217,126,0.1361020184415803,0.0789171314611992,0.6349206349206349,11.854615516149073,80,46,0,0.7441520467836257,0.1287299073870717,0.853060777448983,-1.1309759535901651,0.1097858162976166,0.570037810236412,0.0648828246842229,1.2893928396565362,0.492063492063492,0.0081115119208837,0.1290322580645161,0.0091735347511778,0.0091735347511778
BTC/USDT:USDT,1h,is,,1.5,0.003,292,164,0.0316491049637084,0.1422650779546437,0.4878048780487805,2.2391734347678063,80,84,0,0.7441520467836257,0.0599651978716365,1.32793197784797,-1.1476222116296333,0.1417861671231214,0.4635819391502825,0.0242229388984979,1.040271063875548,0.5914634146341463,0.0077082301124287,0.0753424657534246,0.0122373846825212,0.0081582564550141
BTC/USDT:USDT,1h,oos,,1.5,0.003,217,109,0.1623993340254999,0.0929564880659948,0.5229357798165137,12.84983039099064,57,52,0,0.7441520467836257,0.1570346730371979,1.3490197269503046,-1.1495643283675536,0.1189885559969871,0.4600863140549064,0.0628494657616073,1.313252557578377,0.5137614678899083,0.0079180164077858,0.1290322580645161,0.0137603021267667,0.0091735347511778
BTC/USDT:USDT,1h,is,,2.0,0.003,292,157,0.084559495893653,0.11539701642867,0.4267515923566879,4.676018204154913,67,90,0,0.7441520467836257,0.1174104400428397,1.8211486882370889,-1.1509280336128789,0.1465482149976191,0.3872470805183267,0.0395045118383612,1.097611901663129,0.5987261146496815,0.0076682260033469,0.0753424657534246,0.0163165129100283,0.0081582564550141
BTC/USDT:USDT,1h,oos,,2.0,0.003,217,98,0.248911412984213,0.0735696560584351,0.4795918367346938,17.39734484066133,47,51,0,0.7441520467836257,0.2891099425430467,1.8448457872514343,-1.1446074045411536,0.1203382559969895,0.3828818620353791,0.0967099746993147,1.4709420196179666,0.5,0.0080082149584148,0.1290322580645161,0.0183470695023556,0.0091735347511778
BTC/USDT:USDT,1h,is,,3.0,0.003,292,142,0.12280580496571,0.142940163214405,0.3380281690140845,5.863970306431862,48,94,0,0.7441520467836257,0.1817622573136167,2.812049756470949,-1.1613632741709785,0.1510481041785111,0.2922835520029876,0.0457446170110968,1.1333525186978783,0.5985915492957746,0.0076736827860661,0.0753424657534246,0.0244747693650424,0.0081582564550141
BTC/USDT:USDT,1h,oos,,3.0,0.003,217,88,0.2934292263409801,0.0735696560584354,0.3863636363636363,17.842097911508034,34,54,0,0.7441520467836257,0.384549806076374,2.8290337960486593,-1.1545697431654354,0.1373431457836179,0.2898304843340948,0.0965331520295415,1.5487334659607652,0.5454545454545454,0.0077912673996986,0.1290322580645161,0.0275206042535334,0.0091735347511778
BTC/USDT:USDT,1h,is,1.15,1.0,0.003,83,65,0.1396333933843559,0.0337992349317473,0.7538461538461538,34.88248201471825,49,16,0,0.6586538461538461,0.2950922718340157,0.7935050656183593,-1.2312969091305368,0.2037721711291485,0.6081073233263885,0.1457388305197653,2.178849713746955,0.9384615384615383,0.0058827634178732,0.1927710843373494,0.0045814162608203,0.0045814162608203
BTC/USDT:USDT,1h,oos,1.15,1.0,0.003,54,36,0.0093686315969653,0.0381363562761914,0.6111111111111112,4.045998487064039,22,14,0,0.6586538461538461,0.0174237979585872,0.7963667614721609,-1.206629430419886,0.2054810991605942,0.6024122438695672,0.008698867241544,1.0928036558357992,0.8611111111111112,0.0061027136672542,0.2962962962962963,0.0043237026704972,0.0043237026704972
BTC/USDT:USDT,1h,is,1.15,1.5,0.003,83,62,0.1660823475507233,0.0638663033332171,0.6451612903225806,30.93932074824305,40,22,0,0.6586538461538461,0.3995044308846083,1.2907961112902062,-1.2210258971255696,0.2084496062338794,0.4861116325259365,0.1590496577966441,1.945516923536487,0.935483870967742,0.0058846180167449,0.1927710843373494,0.0068721243912305,0.0045814162608203
BTC/USDT:USDT,1h,oos,1.15,1.5,0.003,54,36,0.0384194321373475,0.0384683794684341,0.5277777777777778,12.195036880877296,19,17,0,0.6586538461538461,0.113958654495094,1.3014060205854583,-1.2131884017235484,0.2059309991605961,0.4824588772488994,0.0453189005288783,1.31852341727454,0.8611111111111112,0.0061027136672542,0.2962962962962963,0.0064855540057458,0.0043237026704972
BTC/USDT:USDT,1h,is,1.15,2.0,0.003,83,61,0.2486875331695139,0.0638663033332175,0.6065573770491803,37.10977287372547,37,24,0,0.6586538461538461,0.6050435099165865,1.7890037198239188,-1.2202284803572172,0.2129781715494682,0.4054949565818708,0.2010624204673095,2.249706399429473,0.9344262295081968,0.0058773880637491,0.1927710843373494,0.0091628325216406,0.0045814162608203
BTC/USDT:USDT,1h,oos,1.15,2.0,0.003,54,36,0.1011607472720306,0.0376985616622732,0.5277777777777778,25.467143746309585,19,17,0,0.6586538461538461,0.3765538707338088,1.7989548513535496,-1.2131884017235484,0.2063808991605854,0.4027658380736701,0.1250119397041076,1.816970685384648,0.8611111111111112,0.0061027136672542,0.2962962962962963,0.0086474053409944,0.0043237026704972
BTC/USDT:USDT,1h,is,1.15,3.0,0.003,83,56,0.2619238671365034,0.0787083946662751,0.4821428571428571,31.303625372407353,27,29,0,0.6586538461538461,0.7082931010785536,2.7810226627354413,-1.2214895942571695,0.2265322965207456,0.3051807254614048,0.1769621316814523,2.0491868272065625,0.9285714285714286,0.0059234663198438,0.1927710843373494,0.013744248782461,0.0045814162608203
BTC/USDT:USDT,1h,oos,1.15,3.0,0.003,54,36,0.130763596958862,0.045650488819773,0.4166666666666667,24.336707490717057,15,21,0,0.6586538461538461,0.4566333031229915,2.7951392247465168,-1.2137280694652408,0.2076644653542352,0.3027608499831596,0.113905816683507,1.8702265111531589,0.8611111111111112,0.0061027136672542,0.2962962962962963,0.0129711080114916,0.0043237026704972
BTC/USDT:USDT,1h,is,1.28,1.0,0.003,100,79,0.1577147462510975,0.0298966037196803,0.7215189873417721,29.331777336994644,57,22,0,0.6798418972332015,0.2401827770934144,0.8035863749801228,-1.2195447265221482,0.1920839967988675,0.6028006418449987,0.1187183454967734,1.9434579649961563,0.8734177215189873,0.006233457956328,0.18,0.0046651104669864,0.0046651104669864
BTC/USDT:USDT,1h,oos,1.28,1.0,0.003,72,46,0.0052719351562604,0.0321288922199183,0.6086956521739131,1.9166000118541289,28,18,0,0.6798418972332015,0.0180013681274508,0.7971507348698885,-1.194008757916341,0.179346652255942,0.599655006162045,0.009040646011868,1.0386737110577715,0.8695652173913043,0.0062864545716948,0.2638888888888889,0.0050620454989181,0.0050620454989181
BTC/USDT:USDT,1h,is,1.28,1.5,0.003,100,74,0.1719537157828775,0.0508803736803852,0.6081081081081081,25.16528982627247,45,29,0,0.6798418972332015,0.3140754516506286,1.298159702571297,-1.2129518342607537,0.1996910111796474,0.4830338344074435,0.1250742737006646,1.7381262909349795,0.8918918918918919,0.0061474307219776,0.18,0.0069976657004797,0.0046651104669864
BTC/USDT:USDT,1h,oos,1.28,1.5,0.003,72,44,0.0346860164870471,0.0395485133311495,0.5227272727272727,8.96238483645993,23,21,0,0.6798418972332015,0.1056474637313292,1.298604649071015,-1.2009246916407077,0.1801312125879784,0.48046032990305,0.0422669428242226,1.2203838590690668,0.8636363636363636,0.0062761536912735,0.2638888888888889,0.0075930682483772,0.0050620454989181
BTC/USDT:USDT,1h,is,1.28,2.0,0.003,100,73,0.2443651194338563,0.0462041213320605,0.5616438356164384,28.876503459690156,41,32,0,0.6798418972332015,0.4778138727700359,1.794860681573152,-1.2096523510089567,0.2046719711291331,0.4026117836371538,0.1590320519792846,1.9016523516907664,0.8904109589041096,0.00614498942845,0.18,0.0093302209339729,0.0046651104669864
BTC/USDT:USDT,1h,oos,1.28,2.0,0.003,72,44,0.1106466082660675,0.037795621204197,0.5227272727272727,22.40865613781605,23,21,0,0.6798418972332015,0.3656113813927304,1.795926926336304,-1.2009246916407077,0.1803561625879813,0.4007287796422091,0.1219984930850636,1.6797162005775104,0.8636363636363636,0.0062761536912735,0.2638888888888889,0.0101240909978363,0.0050620454989181
