timeframe,segment,feature,remove_fraction,threshold,n_subset,n_removed,base_death_rate,gate_death_rate,matched_death_mean,p_death,winner_removed_rate,death_removed_rate
15m,is,tap_rsi,0.25,43.97232279401084,3583,896,0.14205972648618476,0.13286192780052103,0.14209155191663564,0.047619047619047616,0.8303571428571429,0.16964285714285715
15m,oos,tap_rsi,0.25,43.97232279401084,1779,364,0.2034851039910062,0.18939929328621907,0.20194346289752652,0.047619047619047616,0.7417582417582418,0.25824175824175827
15m,is,tap_rsi,0.3333333333333333,41.79362951060648,3583,1195,0.14205972648618476,0.12897822445561138,0.14279731993299832,0.047619047619047616,0.8317991631799163,0.1682008368200837
15m,oos,tap_rsi,0.3333333333333333,41.79362951060648,1779,515,0.2034851039910062,0.17800632911392406,0.20276898734177218,0.047619047619047616,0.7339805825242719,0.26601941747572816
15m,is,tap_rsi,0.5,37.823977210094355,3583,1792,0.14205972648618476,0.11948632049134561,0.141820212171971,0.047619047619047616,0.8353794642857143,0.16462053571428573
15m,oos,tap_rsi,0.5,37.823977210094355,1779,845,0.2034851039910062,0.16381156316916487,0.20444325481798714,0.047619047619047616,0.7526627218934911,0.24733727810650888
15m,is,rsi_ema_slope,0.25,-0.596615852968231,3583,896,0.14205972648618476,0.13286192780052103,0.14209155191663564,0.047619047619047616,0.8303571428571429,0.16964285714285715
15m,oos,rsi_ema_slope,0.25,-0.596615852968231,1779,451,0.2034851039910062,0.19954819277108435,0.20252259036144576,0.38095238095238093,0.7849223946784922,0.21507760532150777
15m,is,rsi_ema_slope,0.3333333333333333,-0.7744977500163722,3583,1194,0.14205972648618476,0.1289242360820427,0.1428003348681457,0.047619047619047616,0.8316582914572864,0.16834170854271358
15m,oos,rsi_ema_slope,0.3333333333333333,-0.7744977500163722,1779,580,0.2034851039910062,0.19349457881567975,0.20225187656380314,0.14285714285714285,0.7758620689655172,0.22413793103448276
15m,is,rsi_ema_slope,0.5,-1.120826933929827,3583,1792,0.14205972648618476,0.12116136236739251,0.141820212171971,0.047619047619047616,0.8370535714285714,0.16294642857142858
15m,oos,rsi_ema_slope,0.5,-1.120826933929827,1779,865,0.2034851039910062,0.19037199124726478,0.2040481400437637,0.047619047619047616,0.7826589595375723,0.21734104046242775
1h,is,tap_rsi,0.25,45.395799167864524,1044,261,0.14559386973180077,0.14303959131545338,0.14342273307790548,0.5238095238095238,0.8467432950191571,0.1532567049808429
1h,oos,tap_rsi,0.25,45.395799167864524,530,103,0.2037735849056604,0.19437939110070257,0.2050351288056206,0.19047619047619047,0.7572815533980582,0.24271844660194175
1h,is,tap_rsi,0.3333333333333333,42.799000031340405,1044,348,0.14559386973180077,0.13793103448275862,0.14418103448275862,0.2857142857142857,0.8390804597701149,0.16091954022988506
1h,oos,tap_rsi,0.3333333333333333,42.799000031340405,530,155,0.2037735849056604,0.18133333333333335,0.20706666666666668,0.047619047619047616,0.7419354838709677,0.25806451612903225
1h,is,tap_rsi,0.5,38.50957366129851,1044,522,0.14559386973180077,0.12643678160919541,0.14492337164750954,0.09523809523809523,0.8352490421455939,0.16475095785440613
1h,oos,tap_rsi,0.5,38.50957366129851,530,248,0.2037735849056604,0.1524822695035461,0.2079787234042553,0.047619047619047616,0.7379032258064516,0.2620967741935484
1h,is,rsi_ema_slope,0.25,-0.4872247950959725,1044,261,0.14559386973180077,0.15197956577266922,0.14342273307790548,0.9523809523809523,0.8735632183908046,0.12643678160919541
1h,oos,rsi_ema_slope,0.25,-0.4872247950959725,530,147,0.2037735849056604,0.20887728459530025,0.2066579634464752,0.5238095238095238,0.8095238095238095,0.19047619047619047
1h,is,rsi_ema_slope,0.3333333333333333,-0.682494247351658,1044,348,0.14559386973180077,0.15373563218390804,0.14418103448275862,0.8571428571428571,0.8706896551724138,0.12931034482758622
1h,oos,rsi_ema_slope,0.3333333333333333,-0.682494247351658,530,190,0.2037735849056604,0.19705882352941176,0.20617647058823535,0.38095238095238093,0.7842105263157895,0.21578947368421053
1h,is,rsi_ema_slope,0.5,-0.9995620295550401,1044,522,0.14559386973180077,0.13984674329501914,0.14492337164750954,0.2857142857142857,0.8486590038314177,0.15134099616858238
1h,oos,rsi_ema_slope,0.5,-0.9995620295550401,530,271,0.2037735849056604,0.20463320463320464,0.20656370656370657,0.47619047619047616,0.7970479704797048,0.2029520295202952
4h,is,tap_rsi,0.25,43.42094986465271,256,64,0.1484375,0.16145833333333334,0.14713541666666666,0.9047619047619048,0.890625,0.109375
4h,oos,tap_rsi,0.25,43.42094986465271,148,41,0.16891891891891891,0.19626168224299065,0.16869158878504673,1.0,0.9024390243902439,0.0975609756097561
4h,is,tap_rsi,0.3333333333333333,41.64836323867437,256,86,0.1484375,0.17647058823529413,0.1458823529411764,1.0,0.9069767441860465,0.09302325581395349
4h,oos,tap_rsi,0.3333333333333333,41.64836323867437,148,52,0.16891891891891891,0.20833333333333334,0.17395833333333335,1.0,0.9038461538461539,0.09615384615384616
