scope,segment,multiple,reason,count,priced,hypo_total_r,hypo_mean_r,hypo_win_rate,hypo_return_sum,actual_trades,actual_total_r,actual_mean_r,actual_win_rate,actual_return_sum
15m,full,1.0,cell_busy,1161,1037,27.003237749012744,0.02603976639249059,0.49373191899710706,0.24572415990084026,6267,1440.9006880292486,0.22991873113598987,0.572363172171693,9.602208186863908
15m,full,1.0,notional,2337,1859,382.60263216275484,0.20581099094284822,0.5615922538999462,2.7051659605729568,6267,1440.9006880292486,0.22991873113598987,0.572363172171693,9.602208186863908
15m,full,2.0,cell_busy,1159,1040,20.273042388985797,0.01949330998940942,0.4913461538461538,0.4162294442762579,6259,1438.8119342727623,0.22987888389083916,0.5724556638440645,19.115203843006363
15m,full,2.0,notional,2353,1864,391.42158127926683,0.20999011871205303,0.5627682403433476,5.511315328835773,6259,1438.8119342727623,0.22987888389083916,0.5724556638440645,19.115203843006363
15m,full,3.0,cell_busy,1160,1040,38.680491186437514,0.03719277998695915,0.4980769230769231,0.9209012840419286,6264,1452.941601033734,0.23195108573335474,0.5731162196679438,28.652258639865305
15m,full,3.0,notional,2346,1859,358.8844657208424,0.19305242911287918,0.556750941366326,7.593872253162185,6264,1452.941601033734,0.23195108573335474,0.5731162196679438,28.652258639865305
15m,full,5.0,cell_busy,1152,1029,29.678523436298814,0.028842102464819063,0.4946550048590865,1.3020722704616632,6269,1460.8557987563333,0.23302852109687883,0.5736162067315361,47.936568765986905
15m,full,5.0,notional,2361,1865,359.97223574838273,0.19301460361843578,0.55656836461126,12.836119621275584,6269,1460.8557987563333,0.23302852109687883,0.5736162067315361,47.936568765986905
15m,is,1.0,cell_busy,781,716,10.760165730680274,0.015028164428324406,0.48463687150837986,0.09580732387862206,4285,1153.8625845131696,0.26927948296690074,0.5838973162193699,7.7511717958917705
15m,is,1.0,notional,1416,1177,268.39995727453504,0.22803734687726002,0.5658453695836874,1.9611295115881549,4285,1153.8625845131696,0.26927948296690074,0.5838973162193699,7.7511717958917705
15m,is,2.0,cell_busy,782,718,5.524280255524564,0.007693983642791872,0.4818941504178273,0.12382380550057798,4281,1155.4460235821507,0.2699009632287201,0.5842092968932492,15.474333723255745
15m,is,2.0,notional,1414,1179,272.05240368070923,0.2307484339955125,0.5665818490245971,3.9645033267249503,4281,1155.4460235821507,0.2699009632287201,0.5842092968932492,15.474333723255745
15m,is,3.0,cell_busy,784,719,17.46424444454081,0.024289630660001126,0.48817802503477054,0.39105471542645226,4287,1163.837730104868,0.2714806928166242,0.5847912292978773,23.1706971544518
15m,is,3.0,notional,1405,1172,251.72073296897463,0.21477878239673603,0.560580204778157,5.547628087630173,4287,1163.837730104868,0.2714806928166242,0.5847912292978773,23.1706971544518
15m,is,5.0,cell_busy,779,714,13.383575653787755,0.01874450371678957,0.48599439775910364,0.5504317241944703,4289,1168.8829166443122,0.2725304072381236,0.5852179995336908,38.730457850829055
15m,is,5.0,notional,1412,1175,250.7562152202841,0.2134095448683269,0.56,9.276279776039217,4289,1168.8829166443122,0.2725304072381236,0.5852179995336908,38.730457850829055
15m,oos_warm,1.0,cell_busy,375,319,13.804811985005731,0.04327527268026875,0.5109717868338558,0.13496370133514843,1990,290.05951418456056,0.14575854984148773,0.5477386934673367,1.8520822885168378
15m,oos_warm,1.0,notional,927,676,113.6195242530629,0.16807621930926464,0.5547337278106509,0.7311104435340788,1990,290.05951418456056,0.14575854984148773,0.5477386934673367,1.8520822885168378
15m,oos_warm,2.0,cell_busy,380,323,18.74739727513445,0.0580414776319952,0.5170278637770898,0.3171635715321267,1986,293.0128920843309,0.1475392205862693,0.5483383685800605,3.6940138570280996
15m,oos_warm,2.0,notional,928,676,105.72356106316394,0.15639580038929576,0.5502958579881657,1.3757979045505735,1986,293.0128920843309,0.1475392205862693,0.5483383685800605,3.6940138570280996
15m,oos_warm,3.0,cell_busy,374,319,18.60450225251486,0.05832132367559517,0.5172413793103449,0.4773667568104205,1971,293.3838118153064,0.1488502343050768,0.5489599188229325,5.523789232875943
15m,oos_warm,3.0,notional,954,695,105.4955363548081,0.15179213864001165,0.5482014388489208,2.067957965260107,1971,293.3838118153064,0.1488502343050768,0.5489599188229325,5.523789232875943
15m,oos_warm,5.0,cell_busy,375,320,20.147538256239354,0.06296105705074798,0.51875,0.8529543185812152,1973,293.26226550634334,0.1486377422738689,0.548910288900152,9.233354826124915
15m,oos_warm,5.0,notional,937,692,104.07404666004636,0.1503960211850381,0.5476878612716763,3.399242895532348,1973,293.26226550634334,0.1486377422738689,0.548910288900152,9.233354826124915
15m,oos,1.0,cell_busy,379,324,19.698734614137734,0.0607985636238819,0.5185185185185185,0.1646712785017547,1967,274.3484933953258,0.13947559399864048,0.5455007625826132,1.7224042325940165
15m,oos,1.0,notional,917,660,98.08691548009715,0.1486165386062078,0.546969696969697,0.6714059568051549,1967,274.3484933953258,0.13947559399864048,0.5455007625826132,1.7224042325940165
15m,oos,2.0,cell_busy,375,320,12.451302853561291,0.03891032141737903,0.509375,0.27027057889359213,1966,280.80713095639186,0.14283170445391244,0.546795523906409,3.4868240432390794
15m,oos,2.0,notional,914,665,98.87570967960778,0.1486852777136959,0.5473684210526316,1.266917688475016,1966,280.80713095639186,0.14283170445391244,0.546795523906409,3.4868240432390794
