arm,segment,axis,bucket,num_trades,num_candidates,win_rate,median_stop_width,gross_r,slippage_r,entry_fee_r,take_profit_fee_r,stop_fee_r,other_fee_r,funding_r,cost_r,net_r,cost_share_of_net,identity_max_abs
taker_tp,full,overall,전체,30251,53785,0.4075237182241909,0.006946015641162363,0.09551758411999182,0.15346433591108818,0.030698657081521183,0.025188245543116876,0.036185889919208875,0.0,0.0003029043966685025,0.24584003285160363,-0.15032244873161155,1.6354179626925247,6.144670756261648e-16
taker_tp,full,timeframe,15m,20124,53785,0.40911349632279864,0.00574506391416044,0.11281177781240384,0.18011247989971782,0.03602922040956767,0.02951952608135744,0.04251199445694246,0.0,0.0004615535289265272,0.2886347743765119,-0.17582299656410888,1.6416212896887434,5.954486836927771e-16
taker_tp,full,timeframe,1h,5769,53785,0.40370948171260185,0.010157466547989066,0.06761049064308607,0.11670737796848425,0.02334638190190735,0.019121469871939058,0.02755165517694552,0.0,0.00018473964038362653,0.18691162455965982,-0.11930113391657407,1.5667212743373,6.144670756261648e-16
taker_tp,full,timeframe,2h,2888,53785,0.4089335180055402,0.01496647795037292,0.06590285560759288,0.08717107261528866,0.017436338049617636,0.014560999033371092,0.02030316977906106,0.0,1.839578175265347e-05,0.1394899752590911,-0.07358711965149826,1.8955759638331084,5.862384032988822e-16
taker_tp,full,timeframe,4h,1470,53785,0.3979591836734694,0.02186038616180732,0.026466566668289497,0.06315044825256635,0.012633756715344713,0.010581461336053147,0.01467137854200258,0.0,-0.0008462804867846217,0.10019076435918219,-0.07372419769089261,1.3589942989852173,4.691595208371315e-16
taker_tp,full,stop_width,0.30~0.40%,4738,53785,0.4050232165470663,0.0034865391464893284,0.15674411026423918,0.2884505098482797,0.05770326477241515,0.04702263118159456,0.06833121580340207,0.0,7.82539966257439e-05,0.46158587560231723,-0.30484176533807744,1.5141818742927384,5.822160780646421e-16
taker_tp,full,stop_width,0.40~0.50%,4071,53785,0.39842790469172196,0.004480556337149077,0.10783058214653984,0.2235755561255444,0.04472668033098231,0.03585755285239125,0.05354950981998225,0.0,0.00013843179543184323,0.3578477309243321,-0.2500171487777907,1.4312927440124463,5.310230782436257e-16
taker_tp,full,stop_width,0.50~0.75%,7667,53785,0.4128081387765749,0.006081588972885076,0.11467572625694465,0.16536809649414247,0.03307868280206958,0.027579721712572378,0.038557366943471914,0.0,0.0003810169748985991,0.264964884927155,-0.15028915867021073,1.7630339225504925,5.77077761488012e-16
taker_tp,full,stop_width,0.75~1.00%,4420,53785,0.4115384615384615,0.008597608532049399,0.08709893182553705,0.11654910542467953,0.023312761747351817,0.019416698281615078,0.027197045143648825,0.0,0.000394920840833117,0.18687053143812835,-0.09977159961259091,1.8729832153011385,5.954486836927771e-16
taker_tp,full,stop_width,1.00~1.50%,4263,53785,0.4015951208069435,0.012030021242313612,0.04559308930501555,0.0832333711199656,0.01665043597252198,0.013576650781151823,0.01970916505116615,0.0,0.00014380073880275855,0.13331342366360832,-0.0877203343585929,1.5197550788923688,5.862384032988822e-16
taker_tp,full,stop_width,≥1.50%,5092,53785,0.41064414768263946,0.021806640636509313,0.04896133764241632,0.04472641754045641,0.008944857568015212,0.007472014271261613,0.010419394832809594,0.0,0.0005791452898383591,0.0721418295023812,-0.023180491859965083,3.1121785481600157,6.144670756261648e-16
taker_tp,is,overall,전체,20738,35382,0.4097309287298679,0.0074554030950639005,0.09727565458533553,0.1459453033486246,0.02919392277082182,0.023973620178579978,0.03439475750355781,0.0,0.0005150550739579748,0.23402265887554216,-0.13674700429020564,1.7113549221078168,6.144670756261648e-16
taker_tp,is,timeframe,15m,13900,35382,0.40928057553956837,0.006069645371275722,0.10919757883523623,0.17204687876204486,0.0344156552225268,0.028102320424578907,0.04070385030050349,0.0,0.0005587118767204512,0.2758274165863745,-0.16662983775113935,1.6553302836333614,5.954486836927771e-16
taker_tp,is,timeframe,1h,3950,35382,0.4088607594936709,0.011060596405258052,0.07648141172978351,0.10869726669707722,0.0217426711008439,0.018143560260611667,0.025328895599089223,0.0,0.0005176407972118761,0.17443003445483388,-0.0979486227250503,1.7808319259830032,6.144670756261648e-16
taker_tp,is,timeframe,2h,1935,35382,0.4129198966408269,0.016812836136876376,0.07150860095540537,0.0784534730071543,0.015691385513207704,0.013004663269737371,0.018375329807857343,0.0,0.0005983345296498402,0.12612318612760653,-0.0546145851722013,2.3093315774520056,5.862384032988822e-16
