symbol,timeframe,segment,arm,lens,num_candidates,num_trades,win_rate,total_return,max_drawdown
ETH/USDT:USDT,2h,oos,off,baseline,62,48,0.6041666666666666,0.1730633911600571,0.0254505232602257
ETH/USDT:USDT,2h,oos,freeze,baseline,90,59,0.559322033898305,0.1535914043569688,0.0390128045048968
ETH/USDT:USDT,2h,oos,band,baseline,88,57,0.631578947368421,0.2210102263716204,0.024127963789628
ETH/USDT:USDT,4h,full,off,baseline,84,68,0.6176470588235294,0.367972332430133,0.0471152411781898
ETH/USDT:USDT,4h,full,freeze,baseline,132,92,0.6086956521739131,0.4810415237930607,0.0427919291615373
ETH/USDT:USDT,4h,full,band,baseline,121,81,0.5679012345679012,0.3183332810871787,0.0567818241408971
ETH/USDT:USDT,4h,is,off,baseline,53,43,0.6046511627906976,0.1981860095807307,0.0471152411781898
ETH/USDT:USDT,4h,is,freeze,baseline,85,57,0.631578947368421,0.3039126455722558,0.0427919291615373
ETH/USDT:USDT,4h,is,band,baseline,76,48,0.5833333333333334,0.195177309932504,0.0567818241408971
ETH/USDT:USDT,4h,oos_warm,off,baseline,31,25,0.64,0.1417028086555727,0.0215191183469707
ETH/USDT:USDT,4h,oos_warm,freeze,baseline,47,35,0.5714285714285714,0.1358441294532184,0.0316089787201787
ETH/USDT:USDT,4h,oos_warm,band,baseline,45,33,0.5454545454545454,0.1030441007632844,0.0381075889822784
ETH/USDT:USDT,4h,oos,off,baseline,28,22,0.5909090909090909,0.0934849063160525,0.0215191183469708
ETH/USDT:USDT,4h,oos,freeze,baseline,40,28,0.5,0.0525764747700077,0.0316089787201787
ETH/USDT:USDT,4h,oos,band,baseline,40,28,0.5,0.0523596527817355,0.0381075889822784
SOL/USDT:USDT,1h,full,off,baseline,357,280,0.5464285714285714,0.9917816651373588,0.078089884767474
SOL/USDT:USDT,1h,full,freeze,baseline,534,375,0.5653333333333334,2.098613038892758,0.0934451120076234
SOL/USDT:USDT,1h,full,band,baseline,492,337,0.56973293768546,1.778968057577225,0.0718004597047636
SOL/USDT:USDT,1h,is,off,baseline,233,187,0.5294117647058824,0.4754535649909289,0.0742376085663804
SOL/USDT:USDT,1h,is,freeze,baseline,342,247,0.5587044534412956,1.0674505520868487,0.0934451120076234
SOL/USDT:USDT,1h,is,band,baseline,316,224,0.5625,0.9152083554448764,0.0718004597047636
SOL/USDT:USDT,1h,oos_warm,off,baseline,124,93,0.5806451612903226,0.3499453404686463,0.0409567573196418
SOL/USDT:USDT,1h,oos_warm,freeze,baseline,192,128,0.578125,0.4987604108669355,0.0471320334939043
SOL/USDT:USDT,1h,oos_warm,band,baseline,176,113,0.584070796460177,0.4510003831576365,0.0471320334939044
SOL/USDT:USDT,1h,oos,off,baseline,117,87,0.5747126436781609,0.3063432069392269,0.0440554425091724
SOL/USDT:USDT,1h,oos,freeze,baseline,181,118,0.5677966101694916,0.4040913650618582,0.0704835718700419
SOL/USDT:USDT,1h,oos,band,baseline,165,103,0.5728155339805825,0.3593480945460911,0.0541997008557823
SOL/USDT:USDT,2h,full,off,baseline,163,136,0.6176470588235294,0.8527849438520574,0.0449563940167908
SOL/USDT:USDT,2h,full,freeze,baseline,260,188,0.5957446808510638,1.1642230907321105,0.0583281986196558
SOL/USDT:USDT,2h,full,band,baseline,248,175,0.6171428571428571,1.214497661809992,0.0546723291823819
SOL/USDT:USDT,2h,is,off,baseline,110,91,0.6153846153846154,0.5417351648459797,0.0317414659012916
SOL/USDT:USDT,2h,is,freeze,baseline,173,127,0.5984251968503937,0.7389165698775668,0.0417748866922753
SOL/USDT:USDT,2h,is,band,baseline,160,116,0.6206896551724138,0.7659077535734595,0.0345634339983511
SOL/USDT:USDT,2h,oos_warm,off,baseline,53,45,0.6222222222222222,0.2017530546740503,0.0449563940167909
SOL/USDT:USDT,2h,oos_warm,freeze,baseline,87,61,0.5901639344262295,0.2445813262245741,0.0583281986196556
SOL/USDT:USDT,2h,oos_warm,band,baseline,88,59,0.6101694915254238,0.2540279396411124,0.0546723291823821
SOL/USDT:USDT,2h,oos,off,baseline,47,39,0.6410256410256411,0.187583329419507,0.0312835345958267
SOL/USDT:USDT,2h,oos,freeze,baseline,72,52,0.5961538461538461,0.2069631314652915,0.036553243652106
