symbol,timeframe,segment,offset_bps,trade_class,num_setups,num_resolved,num_wins,win_rate,mean_r,num_trades,pnl,pnl_share
ETH/USDT:USDT,1h,oos,5.0,incremental,2,2,2,1.0,1.5,1,167.35329126590895,0.11082845564784562
ETH/USDT:USDT,1h,oos,5.0,lost,0,0,0,,,0,0.0,
ETH/USDT:USDT,1h,oos,10.0,base,105,105,52,0.49523809523809526,0.23809523809523808,79,1297.3569694333737,0.8202782237381323
ETH/USDT:USDT,1h,oos,10.0,incremental,4,4,3,0.75,0.875,2,284.24904166018064,0.17972177626186756
ETH/USDT:USDT,1h,oos,10.0,lost,0,0,0,,,0,0.0,
SOL/USDT:USDT,1h,full,2.0,base,305,305,145,0.47540983606557374,0.1885245901639344,233,4127.778011057741,0.9348894877274212
SOL/USDT:USDT,1h,full,2.0,incremental,4,4,3,0.75,0.875,3,287.47969078224855,0.06511051227257827
SOL/USDT:USDT,1h,full,2.0,lost,0,0,0,,,0,0.0,
SOL/USDT:USDT,1h,full,5.0,base,305,305,143,0.46885245901639344,0.1721311475409836,233,3807.3223775539473,0.9209964104154242
SOL/USDT:USDT,1h,full,5.0,incremental,6,6,4,0.6666666666666666,0.6666666666666666,4,326.59425284488117,0.0790035895845757
SOL/USDT:USDT,1h,full,5.0,lost,0,0,0,,,0,0.0,
SOL/USDT:USDT,1h,full,10.0,base,305,305,139,0.4557377049180328,0.13934426229508196,234,3450.3629940383494,0.9188387579098453
SOL/USDT:USDT,1h,full,10.0,incremental,11,11,7,0.6363636363636364,0.5909090909090909,8,304.77136913018035,0.08116124209015481
SOL/USDT:USDT,1h,full,10.0,lost,0,0,0,,,0,0.0,
SOL/USDT:USDT,1h,is,2.0,base,200,200,101,0.505,0.2625,157,2935.3446364025276,0.9703347318318855
SOL/USDT:USDT,1h,is,2.0,incremental,2,2,1,0.5,0.25,2,89.7399453488831,0.02966526816811416
SOL/USDT:USDT,1h,is,2.0,lost,0,0,0,,,0,0.0,
SOL/USDT:USDT,1h,is,5.0,base,200,200,98,0.49,0.225,156,2228.017939574167,0.9433836789887249
SOL/USDT:USDT,1h,is,5.0,incremental,4,4,2,0.5,0.25,3,133.7124880314134,0.05661632101127503
SOL/USDT:USDT,1h,is,5.0,lost,0,0,0,,,0,0.0,
SOL/USDT:USDT,1h,is,10.0,base,200,200,94,0.47,0.175,157,1824.5927450212562,0.9503332879444734
SOL/USDT:USDT,1h,is,10.0,incremental,5,5,3,0.6,0.5,4,95.35762204182457,0.049666712055526564
SOL/USDT:USDT,1h,is,10.0,lost,0,0,0,,,0,0.0,
SOL/USDT:USDT,1h,oos,2.0,base,90,90,35,0.3888888888888889,-0.027777777777777776,65,-2.5663568030881834,-0.017703171960397283
SOL/USDT:USDT,1h,oos,2.0,incremental,2,2,2,1.0,1.5,1,147.5322877011911,1.0177031719603982
SOL/USDT:USDT,1h,oos,2.0,lost,0,0,0,,,0,0.0,
SOL/USDT:USDT,1h,oos,5.0,base,90,90,36,0.4,0.0,66,310.0518575404021,0.6718687686150934
SOL/USDT:USDT,1h,oos,5.0,incremental,2,2,2,1.0,1.5,1,151.4249546345474,0.3281312313849064
SOL/USDT:USDT,1h,oos,5.0,lost,0,0,0,,,0,0.0,
SOL/USDT:USDT,1h,oos,10.0,base,90,90,36,0.4,0.0,66,355.41763055474524,0.6723502913890549
SOL/USDT:USDT,1h,oos,10.0,incremental,6,6,4,0.6666666666666666,0.6666666666666666,4,173.20210101473634,0.3276497086109442
SOL/USDT:USDT,1h,oos,10.0,lost,0,0,0,,,0,0.0,
