symbol,timeframe,segment,arm,fill,combine_obs,real_total_return,real_num_trades,real_long,real_short,pool_size,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,bucket_fallback_count,zones,buy_hold
BTC/USDT:USDT,15m,is,long_only,baseline,False,1.3068510163713027,484,484,0,1339,0.25646004321004734,0.020738596098640302,0.4961857566459381,0.0,200,0,3974,4.772530119579576
BTC/USDT:USDT,15m,oos,long_only,baseline,False,0.046079794584702904,172,172,0,732,-0.029268664948105417,-0.11782448797808211,0.06561570264877119,0.085,200,0,2024,0.08188141693379314
BTC/USDT:USDT,1h,is,long_only,baseline,False,0.8817102472013572,169,169,0,324,0.4397427967884823,0.1940676084155506,0.6396888254346617,0.0,200,0,987,4.777387162090623
BTC/USDT:USDT,1h,oos,long_only,baseline,False,0.0572268437909981,85,85,0,199,0.0711960147401793,-0.03857074515479744,0.1666017633741505,0.615,200,0,521,0.08301096146083098
ETH/USDT:USDT,15m,is,long_only,baseline,False,1.5239265888594997,503,503,0,1296,0.20842045072853435,-0.04217120908611596,0.5209917859401164,0.0,200,0,3966,6.102044599819906
ETH/USDT:USDT,15m,oos,long_only,baseline,False,0.3100011324632842,298,298,0,787,0.14117372678617499,-0.03099051195449665,0.3615251924166596,0.04,200,0,2026,-0.27809001376998144
ETH/USDT:USDT,1h,is,long_only,baseline,False,0.4273802016549262,159,159,0,309,0.18786662059983616,-0.0006273567498396005,0.37258349645872224,0.005,200,0,962,6.113725594227505
ETH/USDT:USDT,1h,oos,long_only,baseline,False,0.5541904731200539,88,88,0,184,0.2528330162673089,0.11504971639778541,0.40822751710914146,0.0,200,0,508,-0.27968191183148383
SOL/USDT:USDT,15m,is,long_only,baseline,False,2.8142495543180885,768,768,0,1537,0.8306890536236864,0.2975145032040442,1.3758359087235927,0.0,200,0,3946,48.62689065400651
SOL/USDT:USDT,15m,oos,long_only,baseline,False,0.7283227093936563,392,392,0,827,0.24292980389939106,0.005098021961767881,0.4547990653630826,0.0,200,0,1982,-0.5184184887836522
SOL/USDT:USDT,1h,is,long_only,baseline,False,0.4754535649909289,187,187,0,330,0.2549843778553397,0.02223050526435254,0.4902803580571481,0.04,200,0,962,48.926213948931476
SOL/USDT:USDT,1h,oos,long_only,baseline,False,0.3063432069392269,87,87,0,195,0.19962677286217773,0.043660475462610523,0.3510424171228229,0.08,200,0,498,-0.5162541822628602
BNB/USDT:USDT,15m,is,long_only,baseline,False,1.6053250542107627,582,582,0,1419,0.38525826749576353,0.10802221846009033,0.7361496397677736,0.0,200,0,3965,16.054225212744903
BNB/USDT:USDT,15m,oos,long_only,baseline,False,0.04618993476823907,184,184,0,672,-0.08175965487536901,-0.1568921764066443,0.015895119670707936,0.01,200,0,1993,0.11660413305079809
BNB/USDT:USDT,1h,is,long_only,baseline,False,0.8529515079235287,142,142,0,292,0.36007003594618303,0.1560262599203026,0.575002325303451,0.0,200,0,950,16.06886306615608
BNB/USDT:USDT,1h,oos,long_only,baseline,False,0.11604628788947358,78,78,0,159,-0.02818472020549108,-0.11446920347070154,0.07091777046956467,0.0,200,0,465,0.11524915844570272
XRP/USDT:USDT,15m,is,long_only,baseline,False,3.7808507153430093,613,613,0,1321,1.4109970142587742,0.8770354963351289,2.1905188062980456,0.0,200,0,3781,1.5036555645816407
XRP/USDT:USDT,15m,oos,long_only,baseline,False,0.5204465160153122,320,320,0,803,0.05782356727487877,-0.10115628749561911,0.25716454241216036,0.0,200,0,1952,0.8594664931685101
XRP/USDT:USDT,1h,is,long_only,baseline,False,1.1599659258078006,153,153,0,293,0.6413459945397713,0.3646313028278471,0.9256167056738672,0.0,200,0,943,1.5036555645816407
XRP/USDT:USDT,1h,oos,long_only,baseline,False,0.17480439699666167,92,92,0,219,0.051816970343934156,-0.07320635793651145,0.1711853988392375,0.025,200,0,501,0.8647279856232641
TRX/USDT:USDT,15m,is,long_only,baseline,False,0.5135176448144882,450,450,0,1309,0.04554374414598768,-0.1399334129444227,0.260160974435101,0.0,200,0,3745,3.2109452736318405
TRX/USDT:USDT,15m,oos,long_only,baseline,False,-0.0027572221401802382,79,79,0,638,-0.006380034205986365,-0.04950747337193607,0.041823326784473286,0.42,200,0,1913,1.6015470834319996
TRX/USDT:USDT,1h,is,long_only,baseline,False,0.9194723486066446,162,162,0,329,0.4966040779209554,0.2646700835740214,0.7479696532476824,0.0,200,0,930,3.2179401993355476
TRX/USDT:USDT,1h,oos,long_only,baseline,False,0.05744229855136036,65,65,0,166,0.02908090063854169,-0.04021690913627881,0.09986186028622761,0.23,200,0,456,1.595144253507804
DOGE/USDT:USDT,15m,is,long_only,baseline,False,3.6774203098521188,597,597,0,1286,0.9679105445606295,0.49819721841235787,1.4679372113825735,0.0,200,0,3798,37.553481694185216
DOGE/USDT:USDT,15m,oos,long_only,baseline,False,0.6483078606887095,381,381,0,798,0.2632088896176362,0.06721190169374112,0.5176537507383125,0.0,200,0,1982,-0.31249414190645797
DOGE/USDT:USDT,1h,is,long_only,baseline,False,1.1849491401941639,143,143,0,282,0.6244226545803216,0.3664484183291735,0.9031544583496518,0.0,200,0,931,37.553481694185216
DOGE/USDT:USDT,1h,oos,long_only,baseline,False,0.0952252746068114,89,89,0,171,0.06979357822410327,-0.06566425741292933,0.20514398132702683,0.345,200,0,490,-0.313523631258774
LINK/USDT:USDT,15m,is,long_only,baseline,False,2.3683833233884086,665,665,0,1360,0.3932999065532502,0.02494587662195736,0.8673081646557679,0.0,200,0,3925,-0.12034383954154737
LINK/USDT:USDT,15m,oos,long_only,baseline,False,0.5800684108497249,369,369,0,888,-0.00853935389013005,-0.19142656718340995,0.17180258737033127,0.0,200,0,1980,-0.19051627384960723
LINK/USDT:USDT,1h,is,long_only,baseline,False,0.7244274842059378,174,174,0,353,0.6027112673339972,0.3236628203914537,0.9182386012084709,0.2,200,0,971,-0.1124235916074674
