lens,universe,scope,segment,exclude_symbol,num_cells,num_trades,win_rate,total_return,max_drawdown,peak_concurrency,max_concurrent_risk,max_open_notional_ratio,liquidation_events,clamped_entries,skipped_cell_busy,skipped_notional
baseline,15,all,full,LINK,28,4327,0.5927894615206841,783070.7238324033,0.12512084823094077,11,0.1104292200963405,5.0,0,1735,917,5
baseline,15,all,full,LTC,28,4359,0.5937141546226199,1083732.246647598,0.13485070702941104,12,0.12043388010398919,5.000000000000001,0,1734,918,2
baseline,15,all,full,ADA,28,4302,0.594374709437471,944896.7721373205,0.1329537749861033,12,0.1204338801039892,5.000000000000001,0,1710,887,5
baseline,15,all,full,DOT,28,4342,0.5921234454168586,805290.1261514124,0.12888276364016218,11,0.11043388010398918,5.0,0,1732,907,4
baseline,15,all,full,BCH,28,4344,0.5893186003683242,630119.5032032763,0.1443780218197437,12,0.12043388010398919,5.0,0,1714,911,6
baseline,15,all,full,ETC,28,4337,0.5888863269541158,556636.4994458781,0.1428020999231057,10,0.10043388010398917,5.000000000000001,0,1739,905,6
baseline,15,all,full,ATOM,28,4327,0.5916339265079732,714899.7277347672,0.14855701346655206,11,0.1104338801039892,5.0,0,1747,904,7
baseline,15,all,full,XLM,28,4373,0.5931854562085525,1025044.7565729141,0.14197599455368975,12,0.12043388010398919,5.0,0,1717,930,7
baseline,15,1h,oos_warm,,15,1286,0.5497667185069984,10.883418888318893,0.13999423561094473,6,0.05592886450718982,4.999999999999999,0,754,272,0
baseline,15,1h,full,,15,3716,0.5920344456404736,65010.577013052985,0.1399942356109456,6,0.06053099934620802,5.0,0,1753,789,1
baseline,15,4h,oos_warm,,15,351,0.5584045584045584,1.8813233168507109,0.09330117359323514,7,0.06535375294728063,3.920625589798354,0,42,84,0
baseline,15,4h,full,,15,939,0.5867944621938233,32.52921412102631,0.17695053335939193,7,0.06999999999999999,3.9206255897983535,0,83,189,0
baseline,19,all,oos_warm,,38,2204,0.5549001814882033,113.59224727165862,0.21489814910756366,9,0.08876322221704135,5.0,0,1001,485,19
