symbol,timeframe,segment,window,entry_mode,take_profit_r,offset_bps,retap_mode,position_mode,portfolio_leverage,combine_obs,max_zone_width_atr,limit_valid_bars,fill,seed,start_time,end_time,num_bars,num_trades,win_rate,total_return,max_drawdown,sharpe,profit_factor,mean_r,fill_rate,eligible_setups,num_filled,funding_coverage
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1600128000000,1784674800000,51264,254,0.610236220472441,0.9893945855778715,0.050880373680385,27.19484204630147,1.7427683645198049,0.5255905511811023,0.709278350515464,485,344,0.8647003745318352
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1600128000000,1723158000000,34176,169,0.6568047337278107,0.8817102472013572,0.04261686530739744,35.93680302703918,2.1680600423929235,0.6420118343195266,0.738255033557047,298,220,0.7970505617977528
BTC/USDT:USDT,1h,oos_warm,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1723161600000,1784674800000,17088,85,0.5176470588235295,0.0572268437909981,0.05088037368038528,7.760397282354685,1.186567695105639,0.29411764705882354,0.6666666666666666,186,124,1.0
BTC/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1723161600000,1784674800000,17088,85,0.5176470588235295,0.0572268437909981,0.05088037368038528,7.760397282354685,1.186567695105639,0.29411764705882354,0.6666666666666666,186,124,1.0
BTC/USDT:USDT,2h,full,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1600128000000,1784671200000,25632,120,0.6083333333333333,0.48688265642973527,0.04580640454963048,20.733175458060508,1.833997525316535,0.5208333333333334,0.7219730941704036,223,161,0.8647003745318352
BTC/USDT:USDT,2h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1600128000000,1723154400000,17088,80,0.6125,0.3625890535014647,0.04580640454963048,23.623965766128286,1.9897561569535513,0.53125,0.7,150,105,0.7970505617977528
BTC/USDT:USDT,2h,oos_warm,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1723161600000,1784671200000,8544,40,0.6,0.09121870061180362,0.03408726764964041,14.463802716385622,1.571590762267798,0.5,0.7671232876712328,73,56,1.0
BTC/USDT:USDT,2h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1723161600000,1784671200000,8544,40,0.6,0.09121870061180362,0.03408726764964041,14.463802716385622,1.571590762267798,0.5,0.7671232876712328,73,56,1.0
BTC/USDT:USDT,4h,full,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1600128000000,1784664000000,12816,52,0.6346153846153846,0.2580248461440513,0.05256470016774714,17.960288868970725,2.120250439696164,0.5865384615384616,0.6976744186046512,86,60,0.8647003745318352
BTC/USDT:USDT,4h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1600128000000,1723147200000,8544,37,0.6756756756756757,0.22117994693551135,0.05256470016774714,22.27062267546892,2.5872358589403226,0.6891891891891891,0.6557377049180327,61,40,0.7970505617977528
BTC/USDT:USDT,4h,oos_warm,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1723161600000,1784664000000,4272,15,0.5333333333333333,0.030171556043808778,0.046766141931767945,7.871352314692047,1.4049838523098848,0.3333333333333333,0.8,25,20,1.0
BTC/USDT:USDT,4h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1723161600000,1784664000000,4272,15,0.5333333333333333,0.030171556043808778,0.046766141931767945,7.871352314692047,1.4049838523098848,0.3333333333333333,0.8,25,20,1.0
ETH/USDT:USDT,1h,full,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1600128000000,1784674800000,51264,250,0.628,1.291865427922825,0.09923531382306282,30.471102140182655,2.1279876095366745,0.57,0.6825053995680346,463,316,0.8647003745318352
ETH/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1600128000000,1723158000000,34176,159,0.5723270440251572,0.4273802016549262,0.09923531382306282,19.94184776909066,1.5640933778810497,0.4308176100628931,0.6909722222222222,288,199,0.7970505617977528
ETH/USDT:USDT,1h,oos_warm,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1723161600000,1784674800000,17088,91,0.7252747252747253,0.6056446805592521,0.02133027532346156,52.5781911751818,3.2301096694737645,0.8131868131868132,0.6685714285714286,175,117,1.0
ETH/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1723161600000,1784674800000,17088,88,0.7159090909090909,0.5541904731200539,0.021330275323461538,50.32659300954799,3.0789243683766045,0.7897727272727273,0.6666666666666666,171,114,1.0
ETH/USDT:USDT,2h,full,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1600128000000,1784671200000,25632,130,0.5692307692307692,0.4633047185509753,0.04791979977714152,16.94988326983277,1.647383373552456,0.4230769230769231,0.6610878661087866,239,158,0.8647003745318352
ETH/USDT:USDT,2h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1600128000000,1723154400000,17088,78,0.5512820512820513,0.24196140970615743,0.04791979977714152,15.686225963931086,1.5594134289240276,0.3782051282051282,0.6666666666666666,138,92,0.7970505617977528
ETH/USDT:USDT,2h,oos_warm,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1723161600000,1784671200000,8544,52,0.5961538461538461,0.17822076202608095,0.025957895948020285,18.82200189285024,1.781771527589123,0.49038461538461536,0.6534653465346535,101,66,1.0
ETH/USDT:USDT,2h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1723161600000,1784671200000,8544,48,0.6041666666666666,0.17306339116005712,0.025450523260225743,19.912989593991508,1.8432481486628758,0.5104166666666666,0.6391752577319587,97,62,1.0
ETH/USDT:USDT,4h,full,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1600128000000,1784664000000,12816,68,0.6176470588235294,0.36797233243013305,0.04711524117818985,18.144179414812896,2.1175042952561793,0.5441176470588235,0.7,120,84,0.8647003745318352
ETH/USDT:USDT,4h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1600128000000,1723147200000,8544,43,0.6046511627906976,0.19818600958073077,0.04711524117818985,16.581818927915382,1.983735092469398,0.5116279069767442,0.7162162162162162,74,53,0.7970505617977528
ETH/USDT:USDT,4h,oos_warm,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1723161600000,1784664000000,4272,25,0.64,0.1417028086555727,0.021519118346970754,20.462079315620173,2.32834770741276,0.6,0.6739130434782609,46,31,1.0
ETH/USDT:USDT,4h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1723161600000,1784664000000,4272,22,0.5909090909090909,0.09348490631605255,0.02151911834697082,15.338473444274525,1.9068270167466825,0.4772727272727273,0.7,40,28,1.0
SOL/USDT:USDT,1h,full,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1600128000000,1784674800000,51264,280,0.5464285714285714,0.9917816651373589,0.07808988476747407,20.42664578601776,1.541109787084852,0.36607142857142855,0.7168674698795181,498,357,0.8764044943820225
SOL/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1600128000000,1723158000000,34176,187,0.5294117647058824,0.4754535649909289,0.0742376085663804,16.964550412388643,1.4109666936119734,0.3235294117647059,0.7467948717948718,312,233,0.8146067415730337
SOL/USDT:USDT,1h,oos_warm,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1723161600000,1784674800000,17088,93,0.5806451612903226,0.3499453404686463,0.04095675731964187,27.91081261971392,1.763854560211743,0.45161290322580644,0.6666666666666666,186,124,1.0
SOL/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1723161600000,1784674800000,17088,87,0.5747126436781609,0.3063432069392269,0.04405544250917245,26.691423643263697,1.7213686966853055,0.4367816091954023,0.6536312849162011,179,117,1.0
SOL/USDT:USDT,2h,full,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1600128000000,1784671200000,25632,136,0.6176470588235294,0.8527849438520574,0.04495639401679082,25.703753230375494,2.111688585831007,0.5441176470588235,0.6965811965811965,234,163,0.8764044943820225
SOL/USDT:USDT,2h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1600128000000,1723154400000,17088,91,0.6153846153846154,0.5417351648459797,0.03174146590129161,26.516439302254337,2.1895268176528804,0.5384615384615384,0.738255033557047,149,110,0.8146067415730337
SOL/USDT:USDT,2h,oos_warm,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1723161600000,1784671200000,8544,45,0.6222222222222222,0.20175305467405033,0.044956394016790975,23.746571608687912,1.997955451154683,0.5555555555555556,0.6235294117647059,85,53,1.0
SOL/USDT:USDT,2h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1723161600000,1784671200000,8544,39,0.6410256410256411,0.18758332941950703,0.03128353459582673,26.037663590632835,2.1507423423407572,0.6025641025641025,0.5949367088607594,79,47,1.0
SOL/USDT:USDT,4h,full,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1600128000000,1784664000000,12816,76,0.5789473684210527,0.33646072631085044,0.04127244900984847,14.83467162665423,1.8611040088547086,0.4473684210526316,0.6984126984126984,126,88,0.8764044943820225
SOL/USDT:USDT,4h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1600128000000,1723147200000,8544,38,0.6052631578947368,0.18396233963451014,0.021101881258520097,17.311087806082032,2.067427964437208,0.5131578947368421,0.6111111111111112,72,44,0.8146067415730337
SOL/USDT:USDT,4h,oos_warm,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1723161600000,1784664000000,4272,38,0.5526315789473685,0.1288034100167548,0.04127244900984839,12.251722167284656,1.6982842823572322,0.3815789473684211,0.8148148148148148,54,44,1.0
SOL/USDT:USDT,4h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1723161600000,1784664000000,4272,32,0.53125,0.08700831926875599,0.04127244900984824,10.02308711985432,1.5402378353965431,0.328125,0.7872340425531915,47,37,1.0
BNB/USDT:USDT,1h,full,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1600128000000,1784674800000,51264,220,0.6090909090909091,1.067979652057256,0.07825526785664368,30.46907029835178,1.8867665454576352,0.5227272727272727,0.7030878859857482,421,296,0.8647003745318352
BNB/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1600128000000,1723158000000,34176,142,0.6619718309859155,0.8529515079235287,0.046145444488873075,39.431083907585204,2.37438540927067,0.6549295774647887,0.6859205776173285,277,190,0.7970505617977528
BNB/USDT:USDT,1h,oos_warm,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1723161600000,1784674800000,17088,78,0.5128205128205128,0.11604628788947358,0.0782552678566434,13.834738414793797,1.3683585199477586,0.28205128205128205,0.7361111111111112,144,106,1.0
BNB/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1723161600000,1784674800000,17088,78,0.5128205128205128,0.11604628788947358,0.0782552678566434,13.834738414793797,1.3683585199477586,0.28205128205128205,0.7361111111111112,144,106,1.0
BNB/USDT:USDT,2h,full,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1600128000000,1784671200000,25632,110,0.6,0.4372065549895562,0.050022862428574566,19.89684601223862,1.8625221190019807,0.5,0.635,200,127,0.8647003745318352
BNB/USDT:USDT,2h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1600128000000,1723154400000,17088,72,0.5972222222222222,0.26212835098232046,0.031835560192388465,19.0854792507279,1.8007674233124515,0.4930555555555556,0.6694214876033058,121,81,0.7970505617977528
BNB/USDT:USDT,2h,oos_warm,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1723161600000,1784671200000,8544,38,0.6052631578947368,0.1387166399288717,0.04291082778859928,21.280508635702695,1.9751121883102722,0.5131578947368421,0.5822784810126582,79,46,1.0
BNB/USDT:USDT,2h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1723161600000,1784671200000,8544,38,0.6052631578947368,0.1387166399288717,0.04291082778859928,21.280508635702695,1.9751121883102722,0.5131578947368421,0.5822784810126582,79,46,1.0
BNB/USDT:USDT,4h,full,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1600128000000,1784664000000,12816,61,0.6229508196721312,0.3620290124854666,0.03655780647703523,19.996060101150057,2.334977606839748,0.5573770491803278,0.6635514018691588,107,71,0.8647003745318352
BNB/USDT:USDT,4h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1600128000000,1723147200000,8544,40,0.625,0.2251429162465778,0.03637846249162794,19.90176723486443,2.3653520984854106,0.5625,0.647887323943662,71,46,0.7970505617977528
BNB/USDT:USDT,4h,oos_warm,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1723161600000,1784664000000,4272,21,0.6190476190476191,0.11173071681976599,0.036557806477035396,19.689081413787644,2.2878548989329377,0.5476190476190477,0.6944444444444444,36,25,1.0
BNB/USDT:USDT,4h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1723161600000,1784664000000,4272,20,0.6,0.09574202653707779,0.036557806477035264,17.70181623562617,2.1196653832046204,0.5,0.6857142857142857,35,24,1.0
XRP/USDT:USDT,1h,full,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,24,baseline,0,1600128000000,1784674800000,51264,246,0.6219512195121951,1.510248694624167,0.09908367511846773,33.72585735963874,1.920429407385144,0.5548780487804879,0.6549586776859504,484,317,0.8647003745318352
