symbol,timeframe,segment,window,entry_mode,take_profit_r,offset_bps,retap_mode,position_mode,portfolio_leverage,combine_obs,max_zone_width_atr,fill,seed,start_time,end_time,num_bars,num_trades,win_rate,total_return,max_drawdown,sharpe,profit_factor,mean_r,fill_rate,eligible_setups,num_filled,funding_coverage,arm
SOL/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752476400000,17552,188,0.4840425531914893,0.2380711959746975,0.0862008205352722,9.59177738522881,1.2366038057673752,0.2101063829787234,0.802247191011236,445,357,1.0,Cadopt
SOL/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784070000000,8776,111,0.4954954954954955,0.1442999768104746,0.0475125649035213,10.270416349708125,1.227671758519353,0.2387387387387387,0.625,232,145,1.0,A
SOL/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784070000000,8776,102,0.5,0.1563735567395382,0.0401721421419969,11.857598885211322,1.270463766407131,0.25,0.5972850678733032,221,132,1.0,B
SOL/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784070000000,8776,68,0.4117647058823529,-0.0457406277326741,0.0947880759554471,-5.1017660085699506,0.8869651710934652,0.0294117647058823,0.4298642533936652,221,95,1.0,C
SOL/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784070000000,8776,77,0.3896103896103896,-0.0972434580422514,0.15036831507456,-10.521169340743148,0.7933246015187639,-0.0259740259740259,0.6877828054298643,221,152,1.0,Cadopt
BNB/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752476400000,17552,192,0.4479166666666667,0.0696190938771978,0.1259037954086755,3.5251231433184396,1.0646885330258884,0.1197916666666666,0.5620915032679739,459,258,1.0,A
BNB/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752476400000,17552,179,0.4525139664804469,0.0909966710839384,0.117026490532793,4.646238222048652,1.090244298700377,0.1312849162011173,0.5357142857142857,448,240,1.0,B
BNB/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752476400000,17552,126,0.492063492063492,0.1406091892315908,0.0986830738724918,9.484430513839552,1.2074435652944293,0.2301587301587301,0.4084821428571428,448,183,1.0,C
BNB/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752476400000,17552,146,0.5,0.164494325123583,0.0814755105101669,9.484296993856884,1.202674769720369,0.25,0.7388392857142857,448,331,1.0,Cadopt
BNB/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784070000000,8776,108,0.4259259259259259,-0.0737723160823774,0.1869781159056906,-5.760755298707685,0.86518933040839,0.0648148148148148,0.6574074074074074,216,142,1.0,A
BNB/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784070000000,8776,99,0.4444444444444444,-0.0414044585158031,0.1640292095048014,-3.1681555918430395,0.9190719197920232,0.1111111111111111,0.6341463414634146,205,130,1.0,B
BNB/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784070000000,8776,78,0.4358974358974359,-0.0722017040990895,0.130000098359106,-7.998332343572341,0.8205872796841384,0.0897435897435897,0.5463414634146342,205,112,1.0,C
BNB/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784070000000,8776,90,0.4555555555555555,-0.0511132456571875,0.1535566199400096,-4.7175429012813055,0.8836870907820372,0.1388888888888889,0.7902439024390244,205,162,1.0,Cadopt
XRP/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752476400000,17552,219,0.5205479452054794,0.5287475735757453,0.1305054526007644,16.22719509833554,1.4069046130140188,0.3013698630136986,0.5986696230598669,451,270,1.0,A
XRP/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752476400000,17552,203,0.5073891625615764,0.3935693202744784,0.1166117922007284,13.68087522958274,1.3284725145095782,0.2684729064039409,0.5766590389016019,437,252,1.0,B
XRP/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752476400000,17552,157,0.5414012738853503,0.4075213738739175,0.070522487788583,18.42265497091264,1.472074651380978,0.3535031847133758,0.4645308924485126,437,203,1.0,C
XRP/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1689292800000,1752476400000,17552,196,0.5408163265306123,0.5669608952644613,0.0808139792704531,19.278796619535292,1.4839778367646297,0.3520408163265306,0.7437070938215103,437,325,1.0,Cadopt
XRP/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784070000000,8776,101,0.4257425742574257,-0.0656271129723312,0.1263841864647488,-5.302059354305203,0.8767888835190384,0.0643564356435643,0.5876777251184834,211,124,1.0,A
XRP/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784070000000,8776,90,0.4333333333333333,-0.0496305894644656,0.1283354271029419,-4.287699253601997,0.895007122390004,0.0833333333333333,0.5517241379310345,203,112,1.0,B
XRP/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,,baseline,0,1752480000000,1784070000000,8776,65,0.3846153846153846,-0.1123653640306533,0.1638821382098565,-16.15761561889305,0.6809697080448704,-0.0384615384615384,0.3990147783251231,203,81,1.0,C
