timeframe,month,filled,guard_rejected,guard_reject_rate,ceiling_below_guard,ceiling_share_of_rejects,median_stop_width_pct,p10_stop_width_pct,p90_stop_width_pct,median_zone_ceiling_pct,path_observed,path_unfilled,median_path_delta_bps,path_deeper_share,path_guard_reject_rate,engine_guard_reject_rate_on_path_subset
15m,ALL,17542,4808,0.27408505301561964,3450,0.7175540765391015,0.4582532498516295,0.1720930728871779,1.0044292774490011,0.5133452478986267,15546,1996,0.0,0.18892319567734464,0.2512543419529139,0.24681590119644925
15m,2020-09,107,23,0.21495327102803738,17,0.7391304347826086,0.4947992762370247,0.2411417738571274,1.1108315991984672,0.5561580946062614,88,19,0.0,0.18181818181818182,0.19318181818181818,0.20454545454545456
15m,2020-10,189,45,0.23809523809523808,31,0.6888888888888889,0.4292591960840936,0.194872978883218,0.7246913228501451,0.4542824869331431,171,18,0.0,0.17543859649122806,0.2222222222222222,0.21637426900584794
15m,2020-11,255,43,0.16862745098039217,24,0.5581395348837209,0.611962369134148,0.2550587061271125,1.4422413479626215,0.6300700416147433,220,35,0.0,0.18181818181818182,0.10909090909090909,0.1
15m,2020-12,238,23,0.09663865546218488,7,0.30434782608695654,0.679643286688145,0.304534663582578,1.3226032430226449,0.7227986117714589,204,34,0.0,0.11274509803921569,0.0392156862745098,0.0392156862745098
15m,2021-01,288,10,0.034722222222222224,1,0.1,1.0719850071830441,0.5411465173546235,2.238869522161484,1.211701936534801,238,50,0.0,0.15126050420168066,0.008403361344537815,0.008403361344537815
15m,2021-02,196,5,0.025510204081632654,0,0.0,1.0957393230812351,0.5535062630619313,2.3430679512424115,1.1357899775682256,167,29,0.0,0.1317365269461078,0.023952095808383235,0.023952095808383235
15m,2021-03,192,34,0.17708333333333334,4,0.11764705882352941,0.6232471340691799,0.2631334228157244,1.1267405866878692,0.7054712392351261,171,21,0.0,0.19883040935672514,0.13450292397660818,0.13450292397660818
15m,2021-04,272,14,0.051470588235294115,0,0.0,0.9761965779627084,0.405354511977039,1.8799773332864076,1.0788217102110016,245,27,0.0,0.18775510204081633,0.044897959183673466,0.04081632653061224
15m,2021-05,274,5,0.01824817518248175,0,0.0,1.166676369904957,0.5483755228210444,2.791060413194522,1.3413128288258802,248,26,0.0,0.14516129032258066,0.012096774193548387,0.012096774193548387
15m,2021-06,270,13,0.04814814814814815,0,0.0,0.7554443465097883,0.4058248415015285,1.373080379349856,0.8592145685509616,244,26,0.0,0.27049180327868855,0.04918032786885246,0.036885245901639344
15m,2021-07,215,29,0.13488372093023257,3,0.10344827586206896,0.5510781285843429,0.2745983211499023,0.9584631484641843,0.6236399824634647,196,19,0.0,0.1683673469387755,0.11734693877551021,0.10714285714285714
15m,2021-08,238,21,0.08823529411764706,2,0.09523809523809523,0.6890753544073872,0.3171562822248743,1.1597892887134766,0.7899463798192612,217,21,0.0,0.29493087557603687,0.07834101382488479,0.07373271889400922
15m,2021-09,229,15,0.06550218340611354,4,0.26666666666666666,0.6834693161534561,0.323269576374113,1.330930797230499,0.7579985140197139,205,24,0.0,0.18536585365853658,0.07317073170731707,0.05853658536585366
15m,2021-10,247,37,0.14979757085020243,9,0.24324324324324326,0.4924647312549932,0.2495788984159832,0.8473635294965615,0.5972521146905657,212,35,0.0,0.25,0.12735849056603774,0.12264150943396226
15m,2021-11,293,42,0.14334470989761092,10,0.23809523809523808,0.540753149912355,0.2232035163287229,0.9161898190310056,0.5804830199594823,256,37,0.0,0.1875,0.11328125,0.1015625
15m,2021-12,319,27,0.08463949843260188,12,0.4444444444444444,0.5879198024672273,0.3144824911051099,1.123313205582754,0.6676142592715864,281,38,0.0,0.1708185053380783,0.0711743772241993,0.060498220640569395
15m,2022-01,279,28,0.1003584229390681,13,0.4642857142857143,0.7033891191637173,0.3159686240461395,1.3504756769743764,0.7138745118319355,254,25,0.0,0.14173228346456693,0.06692913385826772,0.07086614173228346
15m,2022-02,213,22,0.10328638497652583,7,0.3181818181818182,0.6041538339708481,0.2887202444729159,1.0300532109100065,0.6857099044739426,186,27,0.0,0.1827956989247312,0.10752688172043011,0.08064516129032258
15m,2022-03,227,48,0.21145374449339208,15,0.3125,0.5128043879081872,0.2193120645921572,0.9006878726038358,0.5649350358972693,201,26,0.0,0.208955223880597,0.1890547263681592,0.1791044776119403
15m,2022-04,297,60,0.20202020202020202,43,0.7166666666666667,0.4569505819022638,0.2232258379234781,0.8075541138656285,0.5139832334488339,257,40,0.0,0.17509727626459143,0.17120622568093385,0.16731517509727625
15m,2022-05,257,23,0.08949416342412451,14,0.6086956521739131,0.7031538519959357,0.3197416721972873,1.44445366816043,0.778166649748736,217,40,0.0,0.16129032258064516,0.08294930875576037,0.07834101382488479
15m,2022-06,329,24,0.0729483282674772,4,0.16666666666666666,0.739726859010054,0.3708962968853247,1.20424722454504,0.8077948088123642,292,37,0.0,0.1815068493150685,0.0547945205479452,0.0547945205479452
15m,2022-07,269,33,0.12267657992565056,21,0.6363636363636364,0.5539325220429969,0.2782823899302427,0.9718987138041526,0.6091739078701488,242,27,0.0,0.21074380165289255,0.1322314049586777,0.11983471074380166
15m,2022-08,255,38,0.14901960784313725,23,0.6052631578947368,0.501202980433166,0.2333679605542406,0.8119722955310753,0.5307841191422619,240,15,0.0,0.1875,0.13333333333333333,0.13333333333333333
15m,2022-09,237,41,0.1729957805907173,16,0.3902439024390244,0.4807496788798223,0.2459650986672467,0.9407816169763532,0.552910294479194,223,14,0.0,0.17937219730941703,0.17040358744394618,0.17488789237668162
15m,2022-10,216,94,0.4351851851851852,80,0.851063829787234,0.3192293843397432,0.1498064448393053,0.633370258463659,0.35408428270828607,182,34,0.0,0.17032967032967034,0.3791208791208791,0.36813186813186816
15m,2022-11,252,38,0.15079365079365079,23,0.6052631578947368,0.5793618461372468,0.2600333570134593,1.2293096264327408,0.6051397808083663,224,28,0.0,0.13392857142857142,0.12053571428571429,0.11160714285714286
15m,2022-12,197,103,0.5228426395939086,102,0.9902912621359223,0.2829236089576546,0.142494072227268,0.5776520233593868,0.2927683469536303,178,19,0.0,0.16292134831460675,0.5056179775280899,0.5
15m,2023-01,147,72,0.4897959183673469,58,0.8055555555555556,0.3066644413420941,0.1313054260559799,0.7302433969631251,0.3720984975635995,126,21,0.0,0.30158730158730157,0.49206349206349204,0.47619047619047616
15m,2023-02,196,71,0.3622448979591837,56,0.7887323943661971,0.3610822892044781,0.1514343992142393,0.7161622165277344,0.40461788273154786,165,31,0.0,0.20606060606060606,0.296969696969697,0.28484848484848485
15m,2023-03,251,79,0.3147410358565737,50,0.6329113924050633,0.4162106177941351,0.1824424020574336,0.8419767321659775,0.4346105416178485,225,26,0.0,0.20444444444444446,0.29333333333333333,0.29333333333333333
15m,2023-04,227,92,0.4052863436123348,74,0.8043478260869565,0.3452789176517467,0.1511458784036797,0.699695874062742,0.3535281985222545,207,20,0.0,0.13526570048309178,0.357487922705314,0.36231884057971014
15m,2023-05,160,105,0.65625,83,0.7904761904761904,0.2307139670492904,0.1222565773895903,0.4350862518975122,0.2907666402581743,140,20,0.0,0.24285714285714285,0.6285714285714286,0.6214285714285714
15m,2023-06,205,75,0.36585365853658536,67,0.8933333333333333,0.3763603714900666,0.1413650653985148,0.659882815910202,0.3915389657039004,188,17,0.0,0.15425531914893617,0.3351063829787234,0.34574468085106386
15m,2023-07,218,94,0.43119266055045874,85,0.9042553191489362,0.3224267430195955,0.1178178857263655,0.7876717212518048,0.3591704911793752,187,31,0.0,0.18181818181818182,0.39037433155080214,0.3582887700534759
15m,2023-08,237,156,0.6582278481012658,133,0.8525641025641025,0.2453730167616071,0.083198964145435,0.4219477645981241,0.2621853251727182,198,39,0.0,0.21717171717171718,0.6363636363636364,0.6414141414141414
15m,2023-09,194,130,0.6701030927835051,123,0.9461538461538461,0.23050761504987072,0.1220509394437288,0.4424541595668416,0.24535140370894787,167,27,0.0,0.24550898203592814,0.6706586826347305,0.6646706586826348
15m,2023-10,249,148,0.5943775100401606,131,0.8851351351351351,0.2614211832328295,0.1071308094339922,0.7680343753554613,0.2900004794362786,223,26,0.0,0.22869955156950672,0.5650224215246636,0.5650224215246636
