symbol,timeframe,segment,offset_bps,assumption,seed,penetration_bps,dropout_rate,num_trades,win_rate,total_return,max_drawdown,profit_factor,sharpe,mean_r,eligible_setups,num_filled,fill_rate,num_dropped,num_penetrations
BTC/USDT:USDT,15m,full,0.0,baseline,0,0.0,0.0,428,0.4953271028037383,0.07230950827450469,0.12702224717538088,1.0395401922247005,4.306364242547007,0.2383177570093458,2418,698,0.28866832092638545,0,1
BTC/USDT:USDT,15m,full,2.0,baseline,0,0.0,0.0,440,0.4818181818181818,0.01600293467059055,0.14971681366501108,1.0084660644845254,1.5881461937073942,0.20454545454545456,2418,703,0.2907361455748553,0,1
BTC/USDT:USDT,15m,full,5.0,baseline,0,0.0,0.0,461,0.4598698481561822,-0.11929523220657356,0.2192936272093656,0.9388557696213341,-5.029006202071768,0.14967462039045554,2418,707,0.2923904052936311,0,1
BTC/USDT:USDT,15m,full,10.0,baseline,0,0.0,0.0,474,0.41983122362869196,-0.3260185424310584,0.3474495189232,0.8245336098380156,-16.50436594120929,0.049578059071729956,2418,712,0.2944582299421009,0,1
BTC/USDT:USDT,15m,full,20.0,baseline,0,0.0,0.0,513,0.4015594541910331,-0.46007918218443217,0.47115207071261717,0.7682080357082886,-23.447711015722902,0.003898635477582846,2418,720,0.2977667493796526,0,1
BTC/USDT:USDT,15m,full,0.0,pen_5bp,0,5.0,0.0,400,0.47,-0.054296435779750206,0.15029486774676376,0.9683231266385195,-2.1115970781953854,0.175,2418,643,0.26592224979321755,0,1
BTC/USDT:USDT,15m,full,2.0,pen_5bp,0,5.0,0.0,423,0.4657210401891253,-0.0623082509435535,0.1558090978275169,0.9654287975908001,-2.3732085158627876,0.16430260047281323,2418,666,0.27543424317617865,0,1
BTC/USDT:USDT,15m,full,5.0,pen_5bp,0,5.0,0.0,456,0.45394736842105265,-0.1461277693954662,0.22929868842827344,0.9233556551266319,-6.513488075827999,0.13486842105263158,2418,696,0.2878411910669975,0,1
BTC/USDT:USDT,15m,full,10.0,pen_5bp,0,5.0,0.0,473,0.4186046511627907,-0.3293505321534486,0.35166244752292825,0.8224914309942543,-16.748382981442955,0.046511627906976744,2418,707,0.2923904052936311,0,1
BTC/USDT:USDT,15m,full,20.0,pen_5bp,0,5.0,0.0,513,0.4015594541910331,-0.46008598477002927,0.47120249622297833,0.7682157085032607,-23.44811841418176,0.003898635477582846,2418,719,0.2973531844499586,0,1
BTC/USDT:USDT,15m,full,0.0,pen_5bp_drop_50,0,5.0,0.5,226,0.43805309734513276,-0.13025663474136198,0.17261691535241955,0.866126092117635,-12.054814199396773,0.09513274336283185,2418,320,0.13234077750206782,323,1
BTC/USDT:USDT,15m,full,0.0,pen_5bp_drop_50,1,5.0,0.5,237,0.45569620253164556,-0.05385526991494116,0.16352192309718197,0.9507199220217054,-3.9451821793748914,0.13924050632911392,2418,333,0.13771712158808933,310,1
BTC/USDT:USDT,15m,full,0.0,pen_5bp_drop_50,2,5.0,0.5,230,0.46956521739130436,-0.02839597415642129,0.1340253462402958,0.9715563064482984,-1.7551884416467867,0.17391304347826086,2418,320,0.13234077750206782,323,0
BTC/USDT:USDT,15m,full,2.0,pen_5bp_drop_50,0,5.0,0.5,240,0.425,-0.1847555800170776,0.23099357766445514,0.8209798392916932,-17.213914986992506,0.0625,2418,331,0.1368899917287014,335,1
BTC/USDT:USDT,15m,full,2.0,pen_5bp_drop_50,1,5.0,0.5,242,0.45454545454545453,-0.06165264333446666,0.1601470768300928,0.9428829933981615,-4.543945214127354,0.13636363636363635,2418,343,0.14185277088502896,323,0
