symbol,timeframe,segment,arm,lens,cost,num_candidates,num_trades,win_rate,total_return,max_drawdown
SOL/USDT:USDT,2h,full,off,baseline,base,163,136,0.6176470588235294,0.8527849438520574,0.0449563940167908
SOL/USDT:USDT,2h,full,on,baseline,base,260,188,0.5957446808510638,1.1642230907321105,0.0583281986196558
SOL/USDT:USDT,2h,is,off,baseline,base,110,91,0.6153846153846154,0.5417351648459797,0.0317414659012916
SOL/USDT:USDT,2h,is,on,baseline,base,173,127,0.5984251968503937,0.7389165698775668,0.0417748866922753
SOL/USDT:USDT,2h,oos_warm,off,baseline,base,53,45,0.6222222222222222,0.2017530546740503,0.0449563940167909
SOL/USDT:USDT,2h,oos_warm,on,baseline,base,87,61,0.5901639344262295,0.2445813262245741,0.0583281986196556
SOL/USDT:USDT,2h,oos,off,baseline,base,47,39,0.6410256410256411,0.187583329419507,0.0312835345958267
SOL/USDT:USDT,2h,oos,on,baseline,base,72,52,0.5961538461538461,0.2069631314652915,0.036553243652106
SOL/USDT:USDT,4h,full,off,baseline,base,88,76,0.5789473684210527,0.3364607263108504,0.0412724490098484
SOL/USDT:USDT,4h,full,on,baseline,base,128,95,0.5684210526315789,0.4114802965350533,0.0412724490098485
SOL/USDT:USDT,4h,is,off,baseline,base,44,38,0.6052631578947368,0.1839623396345101,0.02110188125852
SOL/USDT:USDT,4h,is,on,baseline,base,59,49,0.5714285714285714,0.1982244476954079,0.0322911556763675
SOL/USDT:USDT,4h,oos_warm,off,baseline,base,44,38,0.5526315789473685,0.1288034100167548,0.0412724490098483
SOL/USDT:USDT,4h,oos_warm,on,baseline,base,69,46,0.5652173913043478,0.1779765462554267,0.0412724490098482
SOL/USDT:USDT,4h,oos,off,baseline,base,37,32,0.53125,0.0870083192687559,0.0412724490098482
SOL/USDT:USDT,4h,oos,on,baseline,base,55,37,0.5135135135135135,0.0859160561631104,0.0423970134248622
BNB/USDT:USDT,1h,full,off,baseline,base,296,220,0.6090909090909091,1.067979652057256,0.0782552678566436
BNB/USDT:USDT,1h,full,on,baseline,base,420,286,0.5979020979020979,1.336521808995186,0.1161549955085246
BNB/USDT:USDT,1h,is,off,baseline,base,190,142,0.6619718309859155,0.8529515079235287,0.046145444488873
BNB/USDT:USDT,1h,is,on,baseline,base,267,191,0.6492146596858639,1.1963472444125942,0.0464450656767841
BNB/USDT:USDT,1h,oos_warm,off,baseline,base,106,78,0.5128205128205128,0.1160462878894735,0.0782552678566434
BNB/USDT:USDT,1h,oos_warm,on,baseline,base,153,95,0.4947368421052631,0.0638216770773335,0.10987697038943
BNB/USDT:USDT,1h,oos,off,baseline,base,106,78,0.5128205128205128,0.1160462878894735,0.0782552678566434
BNB/USDT:USDT,1h,oos,on,baseline,base,153,95,0.4947368421052631,0.0638216770773335,0.10987697038943
BNB/USDT:USDT,2h,full,off,baseline,base,127,110,0.6,0.4372065549895562,0.0500228624285745
BNB/USDT:USDT,2h,full,on,baseline,base,199,149,0.6040268456375839,0.7404735163692975,0.0429108277885995
BNB/USDT:USDT,2h,is,off,baseline,base,81,72,0.5972222222222222,0.2621283509823204,0.0318355601923884
BNB/USDT:USDT,2h,is,on,baseline,base,132,100,0.59,0.440506206253098,0.0409907500073687
BNB/USDT:USDT,2h,oos_warm,off,baseline,base,46,38,0.6052631578947368,0.1387166399288717,0.0429108277885992
BNB/USDT:USDT,2h,oos_warm,on,baseline,base,67,49,0.6326530612244898,0.2082374298799064,0.0429108277885995
BNB/USDT:USDT,2h,oos,off,baseline,base,46,38,0.6052631578947368,0.1387166399288717,0.0429108277885992
BNB/USDT:USDT,2h,oos,on,baseline,base,67,49,0.6326530612244898,0.2082374298799064,0.0429108277885995
BNB/USDT:USDT,4h,full,off,baseline,base,71,61,0.6229508196721312,0.3620290124854666,0.0365578064770352
BNB/USDT:USDT,4h,full,on,baseline,base,121,87,0.5977011494252874,0.464456562574909,0.0508040071320479
BNB/USDT:USDT,4h,is,off,baseline,base,46,40,0.625,0.2251429162465778,0.0363784624916279
BNB/USDT:USDT,4h,is,on,baseline,base,81,57,0.5964912280701754,0.2783325506457955,0.0508040071320479
BNB/USDT:USDT,4h,oos_warm,off,baseline,base,25,21,0.6190476190476191,0.1117307168197659,0.0365578064770353
BNB/USDT:USDT,4h,oos_warm,on,baseline,base,40,30,0.6,0.1455990554532045,0.0428885389645906
BNB/USDT:USDT,4h,oos,off,baseline,base,24,20,0.6,0.0957420265370777,0.0365578064770352
