symbol,timeframe,segment,window,entry_mode,take_profit_r,offset_bps,fill,seed,start_time,end_time,num_bars,num_trades,win_rate,total_return,max_drawdown,sharpe,profit_factor,mean_r,fill_rate,eligible_setups,num_filled,funding_coverage
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,0.0,baseline,0,1689433200000,1784106000000,26299,221,0.5067873303167421,0.2398815532619159,0.09936575966948973,9.043706735711352,1.2221842071680284,0.2669683257918552,0.5016722408026756,598,300,1.0
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,0.0,pen_5bp,0,1689433200000,1784106000000,26299,209,0.4880382775119617,0.12960364906277827,0.1118439865102003,5.600671318041426,1.1271863918982885,0.22009569377990432,0.45819397993311034,598,274,1.0
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,0,1689433200000,1784106000000,26299,123,0.4634146341463415,-0.036418556455976796,0.126095262424534,-2.213783262470789,0.9395169156970761,0.15853658536585366,0.24581939799331104,598,147,1.0
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,1,1689433200000,1784106000000,26299,113,0.4690265486725664,0.013353293048612068,0.08387480986680465,1.5128193218424193,1.0228988691123144,0.17256637168141592,0.22742474916387959,598,136,1.0
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,2,1689433200000,1784106000000,26299,114,0.47368421052631576,0.031305736470427836,0.11190329119125782,2.84576377430013,1.053227713092459,0.18421052631578946,0.225752508361204,598,135,1.0
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,3,1689433200000,1784106000000,26299,117,0.452991452991453,-0.012548259176683315,0.08095102751489386,-0.4607716157382392,0.9785796845275052,0.13247863247863248,0.23411371237458195,598,140,1.0
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,4,1689433200000,1784106000000,26299,119,0.5042016806722689,0.12246217047181163,0.061904788185073105,9.027474460966785,1.2150703973163208,0.2605042016806723,0.22408026755852842,598,134,1.0
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,0.0,baseline,0,1689433200000,1752544800000,17532,131,0.48854961832061067,0.03547677340080954,0.09936575966948973,2.872279182040349,1.0549609611375346,0.22137404580152673,0.504424778761062,339,171,1.0
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,0.0,pen_5bp,0,1689433200000,1752544800000,17532,123,0.4715447154471545,-0.012220886446722033,0.1118439865102003,-0.40538317460867473,0.9800002346149991,0.17886178861788618,0.45722713864306785,339,155,1.0
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,0.0,pen_5bp_drop_50,0,1689433200000,1752544800000,17532,74,0.44594594594594594,-0.06792028076793158,0.126095262424534,-8.195398569467308,0.8208240591798174,0.11486486486486487,0.26548672566371684,339,90,1.0
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,0.0,pen_5bp_drop_50,1,1689433200000,1752544800000,17532,66,0.4696969696969697,-0.0059988596928054905,0.08387480986680465,-0.2759242371362228,0.982693637960823,0.17424242424242425,0.22123893805309736,339,75,1.0
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,0.0,pen_5bp_drop_50,2,1689433200000,1752544800000,17532,70,0.4714285714285714,0.0011332499933172585,0.10821146222301077,0.6360399507301053,1.0030508704447332,0.17857142857142858,0.2359882005899705,339,80,1.0
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,0.0,pen_5bp_drop_50,3,1689433200000,1752544800000,17532,73,0.4383561643835616,-0.045465397315186416,0.06556359194320237,-5.108891834434847,0.8823400503066453,0.0958904109589041,0.24778761061946902,339,84,1.0
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,0.0,pen_5bp_drop_50,4,1689433200000,1752544800000,17532,60,0.48333333333333334,0.004917920649792722,0.061904788185073105,1.2139162782774309,1.0168840377113608,0.20833333333333334,0.20353982300884957,339,69,1.0
BTC/USDT:USDT,1h,oos,0,zone_limit,1.5,0.0,baseline,0,1752548400000,1784106000000,8767,74,0.4864864864864865,0.08230160590746054,0.05197145781825852,9.606781454310514,1.2259976435018682,0.21621621621621623,0.45652173913043476,230,105,1.0
BTC/USDT:USDT,1h,oos,0,zone_limit,1.5,0.0,pen_5bp,0,1752548400000,1784106000000,8767,70,0.45714285714285713,0.033652867421132035,0.06869231120186357,4.543475165079568,1.093910744877521,0.14285714285714285,0.41739130434782606,230,96,1.0
BTC/USDT:USDT,1h,oos,0,zone_limit,1.5,0.0,pen_5bp_drop_50,0,1752548400000,1784106000000,8767,49,0.4897959183673469,0.04329671184351028,0.06536903265877445,7.928995376529847,1.1784200413626922,0.22448979591836735,0.26521739130434785,230,61,1.0
BTC/USDT:USDT,1h,oos,0,zone_limit,1.5,0.0,pen_5bp_drop_50,1,1752548400000,1784106000000,8767,40,0.425,-0.0263246343870087,0.07836169537242456,-5.260023117688308,0.8781240799258017,0.0625,0.21739130434782608,230,50,1.0
BTC/USDT:USDT,1h,oos,0,zone_limit,1.5,0.0,pen_5bp_drop_50,2,1752548400000,1784106000000,8767,43,0.4418604651162791,0.006078001461686654,0.07607920072421354,1.6970339681528201,1.0263995852932033,0.10465116279069768,0.24782608695652175,230,57,1.0
BTC/USDT:USDT,1h,oos,0,zone_limit,1.5,0.0,pen_5bp_drop_50,3,1752548400000,1784106000000,8767,40,0.35,-0.08132377151298698,0.10553323365571014,-18.299863550377072,0.6518088579817917,-0.125,0.2391304347826087,230,55,1.0
BTC/USDT:USDT,1h,oos,0,zone_limit,1.5,0.0,pen_5bp_drop_50,4,1752548400000,1784106000000,8767,39,0.4358974358974359,-0.008669793493848192,0.07987677364222515,-1.3980440208869753,0.9592930832321653,0.08974358974358974,0.1956521739130435,230,45,1.0
BTC/USDT:USDT,4h,full,0,zone_limit,1.5,0.0,baseline,0,1689436800000,1784102400000,6575,55,0.45454545454545453,0.029401570186055142,0.07577321743087852,2.2716965419024673,1.0889152505411448,0.13636363636363635,0.5289855072463768,138,73,1.0
BTC/USDT:USDT,4h,full,0,zone_limit,1.5,0.0,pen_5bp,0,1689436800000,1784102400000,6575,53,0.4339622641509434,0.0034036804363206104,0.07577643032750135,0.5259866438824147,1.0105459090564766,0.08490566037735849,0.5072463768115942,138,70,1.0
BTC/USDT:USDT,4h,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,0,1689436800000,1784102400000,6575,34,0.4117647058823529,-0.017200326212972322,0.05890297695847782,-1.65240287725658,0.9200859477411701,0.029411764705882353,0.30434782608695654,138,42,1.0
BTC/USDT:USDT,4h,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,1,1689436800000,1784102400000,6575,26,0.5,0.044182872992341436,0.03832713009893336,6.5210751040593795,1.3094037421797486,0.25,0.2391304347826087,138,33,1.0
BTC/USDT:USDT,4h,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,2,1689436800000,1784102400000,6575,33,0.3939393939393939,-0.031905859107837026,0.06587475714848631,-3.500435615571271,0.8500728924508228,-0.015151515151515152,0.2898550724637681,138,40,1.0
BTC/USDT:USDT,4h,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,3,1689436800000,1784102400000,6575,35,0.5142857142857142,0.07339281368319607,0.04583317336058474,7.837867442876088,1.397978193535296,0.2857142857142857,0.3115942028985507,138,43,1.0
