symbol,timeframe,segment,side,trigger_time,label,mfe_r,r_multiple,zone_width_atr,stop_width_atr,volume_pctl,rsi_ema_slope,rvol_sma20,rvol_sma50,reg_4h_trend,reg_4h_ema_slope,reg_4h_vol_pctl,reg_4h_dev_pctl,reg_1d_trend,reg_1d_ema_slope,reg_1d_vol_pctl,reg_1d_dev_pctl,band_lower_slope_3_atr,band_lower_slope_3_pct,band_lower_slope_5_atr,band_lower_slope_5_pct
BTC/USDT:USDT,15m,is,long,1600445700000,winner,1.767009162287522,1.5,1.0394362366478291,1.1102827181481634,,-1.9192963870576136,0.9659622988097204,1.1512535536770514,0.011145957761228509,0.0012630903796814006,0.1141552511415525,0.0867579908675799,0.014404760756967061,,,0.0395738203957382,-0.4135866969263118,-0.0011652439113802682,-0.367129361242958,-0.0010343544801043336
BTC/USDT:USDT,15m,is,long,1600566300000,winner,1.595313482004558,1.5,1.2186151819254931,1.29592099841927,,-1.967871956099863,2.770872649990205,2.4387327513753507,0.026291130039425514,0.0018649415295881853,0.0700152207001522,0.2176560121765601,0.02682863475029329,,,0.0806697108066971,-0.5352452347751598,-0.0013783009094442931,-0.33044938439404575,-0.0008509345949188027
BTC/USDT:USDT,15m,is,long,1601458200000,winner,1.5272921584917507,1.5,1.2252317990283768,1.3028286245987204,,-0.43078887905561203,1.6098084492230933,2.0961573523490538,-0.0030186508909776366,0.00011928324436867002,0.045662100456621,0.015220700152207,0.006031229848265651,-0.001144000134702608,0.0916030534351145,0.0258751902587519,-0.1988465110290015,-0.0005116838887577952,-0.12313194807891029,-0.0003168505884126406
BTC/USDT:USDT,15m,is,long,1603412100000,winner,1.5898781124077934,1.5,0.9819147433954498,1.0159037506171136,,-2.133048117521639,1.275986599811866,1.7569600707904933,0.15135715616156142,0.01246123249509522,0.441400304414003,0.8249619482496194,0.19169577849624808,0.0074882227531092435,0.07938931297709924,0.4611872146118721,-0.24766976722116213,-0.0014556506216801212,-0.20489187657576127,-0.0012042284807753053
BTC/USDT:USDT,15m,is,long,1603470600000,winner,1.773596481434746,1.5,1.1146214544322894,1.1665967019673338,,-2.1061137561621024,1.146068995788645,0.6156743400537368,0.14084337102986844,0.012925672782916621,0.3424657534246575,0.8158295281582952,0.19169577849624808,0.0074882227531092435,0.08091603053435115,0.4627092846270928,-0.2775490944374347,-0.0010592224888206212,-0.1806197634999081,-0.000689306934372619
BTC/USDT:USDT,15m,is,long,1603604700000,winner,8.038424723191554,1.5,1.1410570303358036,1.194264979426926,,-2.0485122857545406,1.146068995788645,0.6156743400537368,0.15888245862404626,0.012298043354020363,0.2009132420091324,0.84779299847793,0.20008053300102557,0.009677803818526504,0.06870229007633588,0.4916286149162861,0.2187171942636971,0.000793336152825655,0.14691449737241358,0.0005328917213487266
BTC/USDT:USDT,15m,is,long,1603734300000,winner,1.895564730492149,1.5,0.730791783246583,0.7648688985575957,,-1.4470571670954513,1.146068995788645,0.6156743400537368,0.11751556439074129,0.011669035325829066,0.30441400304414,0.7382039573820396,0.18983630788942873,0.010808233535775931,0.08854961832061069,0.4520547945205479,-0.39834003713230554,-0.0023220794042099445,-0.4850553274267335,-0.002827576644890016
BTC/USDT:USDT,15m,is,long,1604093400000,ambiguous,0.5297820170956405,-1.0,0.9555724875350643,0.853328396535707,,-0.7141918419156355,0.8569826776472881,0.7809642724609783,0.12753908588262575,0.010608999673952573,0.5296803652968036,0.771689497716895,0.2179947580145225,0.015492753474055116,0.19236641221374046,0.5251141552511416,-0.02192817168576988,-9.93677203848064e-05,-0.05212326363051098,-0.0002361970692404454
BTC/USDT:USDT,15m,is,long,1604457000000,instant_death,0.3556351612014522,-1.0,1.0681132496944556,1.1014386744547444,,-1.053759464893652,3.154800458732139,1.9174192983958336,0.13360483380137977,0.009116544191992879,0.3942161339421613,0.7960426179604262,0.2547061017550507,0.01756364282401132,0.22290076335877862,0.5875190258751902,0.0926247611474982,0.0005536139640017067,0.07393548646345253,0.0004419090234008345
BTC/USDT:USDT,15m,is,long,1604475900000,winner,2.592138402494627,1.5,0.9298585733074579,0.969145098029694,,-1.207423934028391,1.1365598900865326,0.987756471991335,0.12199423717712254,0.009454777585490595,0.4398782343987823,0.7549467275494672,0.2547061017550507,0.01756364282401132,0.22442748091603054,0.589041095890411,-0.020302290124477266,-0.00010181050382907742,-0.011992177424379398,-6.0137532174843266e-05
BTC/USDT:USDT,15m,is,long,1604779200000,winner,1.52773953188237,1.5,0.8978070873912026,0.9179081117447802,,-1.7218212701523399,1.826788172948362,2.266603952567204,0.1368657977234098,0.018209484827033523,0.7884322678843226,0.8082191780821918,0.3812372801679116,0.018882131012027695,0.2931297709923664,0.7884322678843226,-0.6469271544160768,-0.006352184911332286,-0.5845305349753437,-0.0057395118123226745
BTC/USDT:USDT,15m,is,long,1604934000000,winner,1.9117499237247975,1.5,0.3913985180333222,0.4108529748705291,,-1.5929106930807748,1.5607964856511334,0.6409338031230446,0.20516890885585193,0.014313059340174978,0.7245053272450532,0.9254185692541856,0.3615783411234732,0.020950693811369027,0.4488549618320611,0.7777777777777778,-0.16863902342438902,-0.0017178577865906658,-0.1538905444554609,-0.001567620973528822
BTC/USDT:USDT,15m,is,long,1604937600000,winner,1.541018769160401,1.5,1.003628283105448,1.0225133068752108,,-0.8977379296489474,0.5724315775554584,0.9035607405058831,0.14246526213792454,0.015048031726961402,0.821917808219178,0.8188736681887366,0.3615783411234732,0.020950693811369027,0.45038167938931295,0.7792998477929984,-0.2794139038957076,-0.002923750749699796,-0.3327654856144915,-0.0034820147618807615
BTC/USDT:USDT,15m,is,long,1605126600000,winner,1.5526795333332102,1.5,0.8119648742779959,0.8444229778908797,,-2.464705493715023,0.8738036751858295,1.371307688160824,0.17913023531344652,0.013379663295362342,0.5951293759512938,0.8888888888888888,0.33667534257860376,0.02290474460230115,0.467175572519084,0.7549467275494672,0.13650448838132598,0.0008393995935413077,0.16834094992698412,0.0010351698073863401
