symbol,timeframe,segment,arm,num_bars,num_trades,win_rate,total_return,max_drawdown,sharpe,mean_r,fill_rate,eligible_setups,num_filled,buy_hold
BTC/USDT:USDT,1h,is,long_only,17552,74,0.6081081081081081,0.1719537157828775,0.0508803736803852,25.16528982627247,0.5202702702702703,0.6756756756756757,148,100,2.904079957756246
BTC/USDT:USDT,1h,is,short_only,17552,82,0.5609756097560976,0.029703600200519,0.0624626554531297,4.784207811837578,0.4024390243902439,0.6170212765957447,188,116,2.904079957756246
BTC/USDT:USDT,1h,is,both,17552,156,0.5833333333333334,0.2067649604100048,0.0883948632556003,14.764086260143849,0.4583333333333333,0.6428571428571429,336,216,2.904079957756246
BTC/USDT:USDT,1h,oos,long_only,8776,30,0.4333333333333333,-0.0239370427044554,0.0637545295931072,-9.021990156568856,0.0833333333333333,0.6144578313253012,83,51,-0.4695280111553433
BTC/USDT:USDT,1h,oos,short_only,8776,31,0.6129032258064516,0.0492666460880445,0.0435612360061527,18.945386829321397,0.532258064516129,0.6024096385542169,83,50,-0.4695280111553433
BTC/USDT:USDT,1h,oos,both,8776,61,0.5245901639344263,0.0241503055722752,0.0548242303862117,4.969466340255824,0.3114754098360656,0.608433734939759,166,101,-0.4695280111553433
ETH/USDT:USDT,1h,is,long_only,17552,79,0.6329113924050633,0.2447052074812056,0.041728300303765,28.86729893321833,0.5822784810126582,0.6516129032258065,155,101,0.5045006747304785
ETH/USDT:USDT,1h,is,short_only,17552,90,0.5666666666666667,0.203387505376073,0.0516997699947454,19.965084392893765,0.4166666666666667,0.7005988023952096,167,117,0.5045006747304785
ETH/USDT:USDT,1h,is,both,17552,169,0.5976331360946746,0.4978626945594158,0.042724528617346,23.987764037885693,0.4940828402366864,0.6770186335403726,322,218,0.5045006747304785
ETH/USDT:USDT,1h,oos,long_only,8776,43,0.7674418604651163,0.3131940269187882,0.0114766406848707,69.12510592729099,0.9186046511627908,0.7037037037037037,81,57,-0.3776426295974515
ETH/USDT:USDT,1h,oos,short_only,8776,45,0.5333333333333333,0.067965222300208,0.0598141163439284,13.393267721901164,0.3333333333333333,0.7283950617283951,81,59,-0.3776426295974515
ETH/USDT:USDT,1h,oos,both,8776,88,0.6477272727272727,0.4024455508816296,0.0338081791767572,36.677002952715455,0.6193181818181818,0.7160493827160493,162,116,-0.3776426295974515
SOL/USDT:USDT,1h,is,long_only,17552,97,0.5154639175257731,0.1811395767178653,0.0780898847674739,14.753733912300511,0.2886597938144329,0.7616279069767442,172,131,4.691092883155781
SOL/USDT:USDT,1h,is,short_only,17552,132,0.5606060606060606,0.3333513302751203,0.0939610798612856,18.58121983040551,0.4015151515151515,0.7077625570776256,219,155,4.691092883155781
SOL/USDT:USDT,1h,is,both,17552,229,0.5414847161572053,0.5748740258573587,0.0586573482053287,16.99477601500414,0.3537117903930131,0.731457800511509,391,286,4.691092883155781
SOL/USDT:USDT,1h,oos,long_only,8776,32,0.4375,-0.0068957917939555,0.0673074333421471,-1.4397523147215938,0.09375,0.56,75,42,-0.5352087439526967
SOL/USDT:USDT,1h,oos,short_only,8776,37,0.4324324324324324,-0.0362229836775279,0.0838540603666576,-8.654283771276587,0.081081081081081,0.5844155844155844,77,45,-0.5352087439526967
SOL/USDT:USDT,1h,oos,both,8776,69,0.4347826086956521,-0.0428689893178869,0.1130498811520398,-5.286915042787662,0.0869565217391304,0.5723684210526315,152,87,-0.5352087439526967
BNB/USDT:USDT,1h,is,long_only,17552,64,0.5625,0.1543075661751507,0.0279646361677802,22.40007528534207,0.40625,0.6575342465753424,146,96,1.7387059279349089
BNB/USDT:USDT,1h,is,short_only,17552,80,0.5,0.0556140463265322,0.0462762756249725,7.566837315062528,0.25,0.6787878787878788,165,112,1.7387059279349089
