symbol,timeframe,segment,arm,num_bars,num_trades,win_rate,total_return,max_drawdown,sharpe,mean_r,fill_rate,eligible_setups,num_filled,buy_hold
BNB/USDT:USDT,1h,is,both,17552,144,0.5277777777777778,0.2185032806354811,0.0713362253846925,14.434056335394375,0.3194444444444444,0.6688102893890675,311,208,1.7387059279349089
BNB/USDT:USDT,1h,oos,long_only,8776,36,0.5277777777777778,0.0176907816738659,0.0673144082953646,5.323120758114872,0.3194444444444444,0.7910447761194029,67,53,-0.1740271531728354
BNB/USDT:USDT,1h,oos,short_only,8776,30,0.6,0.0498047355889295,0.0220743149069214,19.102863164893336,0.4655172413793103,0.6724137931034483,58,39,-0.1740271531728354
BNB/USDT:USDT,1h,oos,both,8776,66,0.5606060606060606,0.0683766019664233,0.0645616053854359,11.15039272686727,0.3846153846153846,0.736,125,92,-0.1740271531728354
XRP/USDT:USDT,1h,is,long_only,17552,85,0.6,0.3571219775859183,0.0340216681717776,32.38946866577216,0.5,0.6855345911949685,159,109,2.7753382690834822
XRP/USDT:USDT,1h,is,short_only,17552,89,0.6067415730337079,0.3183200036103703,0.0416713791920592,29.62305158916157,0.5168539325842697,0.7152317880794702,151,108,2.7753382690834822
XRP/USDT:USDT,1h,is,both,17552,174,0.603448275862069,0.7891210503907805,0.0411008067563254,31.08219402528048,0.5086206896551724,0.7,310,217,2.7753382690834822
XRP/USDT:USDT,1h,oos,long_only,8776,46,0.5,0.0010710319663105,0.0990836751184681,0.6598247080702522,0.25,0.5818181818181818,110,64,-0.6271351387630457
XRP/USDT:USDT,1h,oos,short_only,8776,46,0.5652173913043478,0.0779896649846063,0.0324359372178929,16.336624016051694,0.4130434782608695,0.7012987012987013,77,54,-0.6271351387630457
XRP/USDT:USDT,1h,oos,both,8776,91,0.5384615384615384,0.084357322860768,0.0913382476035147,9.231851194460551,0.3461538461538461,0.6310160427807486,187,118,-0.6271351387630457
TRX/USDT:USDT,1h,is,long_only,17552,57,0.5789473684210527,0.0783182247881846,0.0399790540874695,15.621501135090524,0.4473684210526316,0.7256637168141593,113,82,2.7044954800879553
TRX/USDT:USDT,1h,is,short_only,17552,47,0.4468085106382978,-0.021574048854027,0.0630768336270041,-6.116448823514277,0.1170212765957446,0.6428571428571429,126,81,2.7044954800879553
TRX/USDT:USDT,1h,is,both,17552,104,0.5192307692307693,0.055054534726418,0.0489351389489223,6.73448315431216,0.2980769230769231,0.6820083682008368,239,163,2.7044954800879553
TRX/USDT:USDT,1h,oos,long_only,8776,31,0.5483870967741935,0.0172520096458074,0.0310470312545593,8.616786834284207,0.3709677419354839,0.7529411764705882,85,64,0.0743428213331574
TRX/USDT:USDT,1h,oos,short_only,8776,28,0.5357142857142857,0.0194926743740983,0.0339946753980107,10.885541078101683,0.3392857142857143,0.6625,80,53,0.0743428213331574
TRX/USDT:USDT,1h,oos,both,8776,59,0.5423728813559322,0.0370809718262296,0.059567675874572,9.766428653161013,0.3559322033898305,0.7090909090909091,165,117,0.0743428213331574
BTC/USDT:USDT,15m,is,long_only,70208,193,0.5440414507772021,0.14718666894722737,0.07786616736453092,21.703009609957714,0.3601036269430052,0.7496382054992764,691,518,2.900357839741186
BTC/USDT:USDT,15m,is,short_only,70208,131,0.5343511450381679,0.018306273824378515,0.04424901231784962,5.0150409679449925,0.33587786259541985,0.6666666666666666,627,418,2.900357839741186
BTC/USDT:USDT,15m,is,both,70208,324,0.5401234567901234,0.16818738223664914,0.07392434020620828,15.290849379541218,0.35030864197530864,0.7101669195751138,1318,936,2.900357839741186
BTC/USDT:USDT,15m,oos,long_only,35104,61,0.5573770491803278,0.015894403381469965,0.039948527454788815,9.249541927719587,0.39344262295081966,0.7508305647840532,301,226,-0.46876948255955997
BTC/USDT:USDT,15m,oos,short_only,35104,61,0.4918032786885246,0.002199820298386112,0.03581849829887965,1.7389927254055269,0.22950819672131148,0.6820652173913043,368,251,-0.46876948255955997
BTC/USDT:USDT,15m,oos,both,35104,122,0.5245901639344263,0.018129188511046414,0.051138394490905625,5.546523104773583,0.3114754098360656,0.7130044843049327,669,477,-0.46876948255955997
ETH/USDT:USDT,15m,is,long_only,70208,249,0.5461847389558233,0.23863109400441118,0.06716887238616706,23.121146372625795,0.3654618473895582,0.7285921625544267,689,502,0.5135007458975633
ETH/USDT:USDT,15m,is,short_only,70208,246,0.5203252032520326,0.0071954388073512746,0.0790592239767186,1.4599529203274653,0.3008130081300813,0.7478753541076487,706,528,0.5135007458975633
ETH/USDT:USDT,15m,is,both,70208,495,0.5333333333333333,0.2475435882461992,0.09387116136112499,13.127027537989422,0.3333333333333333,0.7383512544802867,1395,1030,0.5135007458975633
ETH/USDT:USDT,15m,oos,long_only,35104,139,0.5467625899280576,0.06718849207587227,0.06587582894412711,14.181536107807505,0.3669064748201439,0.6981627296587927,381,266,-0.37563719922875793
ETH/USDT:USDT,15m,oos,short_only,35104,112,0.5625,0.10471481161837747,0.07314713450671564,27.65624720177937,0.40625,0.6521739130434783,322,210,-0.37563719922875793
ETH/USDT:USDT,15m,oos,both,35104,251,0.5537848605577689,0.17893893398489671,0.06669340156802858,20.05844812975049,0.3844621513944223,0.6770981507823614,703,476,-0.37563719922875793
SOL/USDT:USDT,15m,is,long_only,70208,425,0.5647058823529412,0.9153052328099762,0.06398279890061943,34.64092710088858,0.4117647058823529,0.7422552664188352,807,599,5.425963644748473
SOL/USDT:USDT,15m,is,short_only,70208,386,0.5077720207253886,0.17824192387214935,0.12910655416969652,10.821257506966667,0.2694300518134715,0.7105263157894737,798,567,5.425963644748473
SOL/USDT:USDT,15m,is,both,70208,811,0.5376078914919852,1.25669292230842,0.08378036924357984,23.66579653373652,0.344019728729963,0.7264797507788162,1605,1166,5.425963644748473
SOL/USDT:USDT,15m,oos,long_only,35104,178,0.6123595505617978,0.32535311191140026,0.03301924323839759,45.44407174583056,0.5308988764044944,0.7450980392156863,357,266,-0.5328090292369574
SOL/USDT:USDT,15m,oos,short_only,35104,138,0.4782608695652174,-0.012900414565341271,0.07826778529686162,-1.9482487934106834,0.1956521739130435,0.7247191011235955,356,258,-0.5328090292369574
SOL/USDT:USDT,15m,oos,both,35104,316,0.5537974683544303,0.30825550732227874,0.0571650819763241,24.233053575470432,0.38449367088607594,0.7349228611500701,713,524,-0.5328090292369574
BNB/USDT:USDT,15m,is,long_only,70208,182,0.5,0.038369694498998796,0.059936589297976434,6.560056719566809,0.25,0.7283333333333334,600,437,1.7524629103228069
BNB/USDT:USDT,15m,is,short_only,70208,183,0.5027322404371585,-0.018713537991961494,0.11279916891684334,-2.859506290166874,0.2568306010928962,0.7044854881266491,758,534,1.7524629103228069
BNB/USDT:USDT,15m,is,both,70208,365,0.5013698630136987,0.018938123771289245,0.13782751686458725,2.1450476661308446,0.2534246575342466,0.7150220913107511,1358,971,1.7524629103228069
BNB/USDT:USDT,15m,oos,long_only,35104,94,0.5319148936170213,0.03711505471000728,0.047300136837334035,12.359466848362358,0.32978723404255317,0.7197640117994101,339,244,-0.17551263169819864
BNB/USDT:USDT,15m,oos,short_only,35104,63,0.47619047619047616,-0.03254203574612238,0.07467597145870095,-16.78352784808393,0.19047619047619047,0.6752873563218391,348,235,-0.17551263169819864
BNB/USDT:USDT,15m,oos,both,35104,157,0.5095541401273885,0.00336521952679268,0.10142829636371552,1.226061512679691,0.27388535031847133,0.6972343522561864,687,479,-0.17551263169819864
XRP/USDT:USDT,15m,is,long_only,70208,277,0.5703971119133574,0.5088283337718064,0.042375889950464936,35.653310890182624,0.4259927797833935,0.6788856304985337,682,463,2.605949768349183
XRP/USDT:USDT,15m,is,short_only,70208,277,0.5776173285198556,0.3548725671374761,0.08641319695757564,30.29030989118262,0.44404332129963897,0.7014157014157014,777,545,2.605949768349183
XRP/USDT:USDT,15m,is,both,70208,554,0.5740072202166066,1.0442701179471656,0.048060952272702295,33.09675742322554,0.43501805054151627,0.6908841672378341,1459,1008,2.605949768349183
XRP/USDT:USDT,15m,oos,long_only,35104,147,0.5782312925170068,0.17512161533245435,0.06062616203143372,33.23702325654298,0.445578231292517,0.7335092348284961,379,278,-0.6218819125404118
XRP/USDT:USDT,15m,oos,short_only,35104,137,0.5109489051094891,0.040849606739446605,0.06622308343627306,8.96425157474841,0.2773722627737226,0.7074468085106383,376,266,-0.6218819125404118
XRP/USDT:USDT,15m,oos,both,35104,284,0.545774647887324,0.22312487118980642,0.09368158605627806,21.282951521531395,0.3644366197183099,0.7205298013245033,755,544,-0.6218819125404118
TRX/USDT:USDT,15m,is,long_only,70208,87,0.4942528735632184,0.007522512504275073,0.056527692593964035,3.227197193189924,0.23563218390804597,0.7495361781076066,539,404,2.727719729563614
TRX/USDT:USDT,15m,is,short_only,70208,44,0.38636363636363635,-0.04521526690978189,0.07017596869029112,-35.33642839933148,-0.03409090909090909,0.7443729903536977,622,463,2.727719729563614
TRX/USDT:USDT,15m,is,both,70208,131,0.4580152671755725,-0.038032886816219434,0.11384801728313908,-8.899979587364323,0.1450381679389313,0.7467700258397932,1161,867,2.727719729563614
TRX/USDT:USDT,15m,oos,long_only,35104,16,0.4375,-0.014290732800009573,0.02194741924887512,-36.537651255336456,0.09375,0.7661016949152543,295,226,0.07622414590629756
TRX/USDT:USDT,15m,oos,short_only,35104,11,0.6363636363636364,0.00870034985546663,0.009671322148947102,34.19796167226102,0.5909090909090909,0.6885813148788927,289,199,0.07622414590629756
TRX/USDT:USDT,15m,oos,both,35104,27,0.5185185185185185,-0.005714717319594092,0.022232884201846676,-8.479749068755357,0.2962962962962963,0.7277397260273972,584,425,0.07622414590629756
