segment,symbol,timeframe,reason,exit_ms,is_long,stop_price,exit_price,quantity,notional,bar_high,bar_low,bar_range_bp,adverse_bp,charged_slippage_bp
full,BNB/USDT:USDT,15m,stop_loss,1600181520000,True,27.884,27.870058,162.6305288645057,4534.789666857877,28.03,27.869,57.60389273511203,5.37942906326229,5.0000000000000435
full,DOT/USDT:USDT,15m,stop_loss,1600197960000,True,5.173,5.1704135,1537.3404624935026,7952.662212478889,5.186,5.166,38.63987635239485,13.531799729363373,4.999999999999233
full,BNB/USDT:USDT,15m,stop_loss,1600333140000,True,26.575,26.561712500000002,369.8662563616979,9829.195762812122,26.703,26.45,95.19688446559935,47.03668861712136,4.999999999998875
full,LINK/USDT:USDT,15m,stop_loss,1600338780000,True,10.55,10.544725000000001,592.3804175347419,6249.613404991528,10.605,10.526,74.77166248639499,22.748815165877637,4.999999999999291
full,SOL/USDT:USDT,15m,stop_loss,1600333380000,True,2.4316,2.4303842,3999.0039589509174,9723.978026585051,2.4495,2.4209,117.44415243101166,44.0039480177658,4.999999999999042
full,BNB/USDT:USDT,15m,stop_loss,1600359600000,True,26.093,26.079953500000002,221.27027087954113,5773.605178059866,26.197,26.058,53.200650655439425,13.413559192120546,4.999999999999219
full,LTC/USDT:USDT,15m,stop_loss,1600402140000,True,48.19,48.165905,206.65565109384076,9958.735826212185,48.44,48.18,53.819085075553296,2.0751193193604505,4.9999999999990745
full,XRP/USDT:USDT,15m,stop_loss,1600437060000,True,0.2509,0.25077455000000004,39524.68147775587,9916.742582768948,0.2513,0.2506,27.894002789401632,11.956954962137203,4.9999999999988605
full,ADA/USDT:USDT,15m,stop_loss,1600430400000,True,0.0926,0.0925537,107635.01927073918,9967.00278447045,0.09275,0.0926,16.18559482060937,0.0,4.999999999999905
full,DOGE/USDT:USDT,15m,stop_loss,1600431660000,True,0.00279,0.002788605,3572366.107599985,9966.901440203957,0.002793,0.002788,17.91793585378891,7.168458781361404,4.999999999999839
full,LTC/USDT:USDT,15m,stop_loss,1600442820000,True,48.18,48.155910000000006,205.60799136061013,9906.193023754196,48.29,48.06,47.74260508562468,24.906600249065473,4.999999999998745
