symbol,timeframe,segment,window,entry_mode,take_profit_r,offset_bps,retap_mode,position_mode,portfolio_leverage,combine_obs,fill,seed,start_time,end_time,num_bars,num_trades,win_rate,total_return,max_drawdown,sharpe,profit_factor,mean_r,fill_rate,eligible_setups,num_filled,funding_coverage
BTC/USDT:USDT,15m,full,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1689292800000,1784072700000,105312,789,0.4968314321926489,0.3553195117342535,0.14604802360172722,9.486998236398907,1.0933733307380222,0.2420785804816223,0.8010244286840031,2538,2033,1.0
BTC/USDT:USDT,15m,full,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1784072700000,105312,820,0.4975609756097561,0.2801155975981592,0.1853332229460145,7.928541133881001,1.0726071402027255,0.24390243902439024,0.800705467372134,2835,2270,1.0
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1689292800000,1752479100000,70208,515,0.5048543689320388,0.2922309054724026,0.13210729037267321,12.159437762562545,1.1231837136664955,0.2621359223300971,0.7945205479452054,1679,1334,1.0
BTC/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752479100000,70208,531,0.5178907721280602,0.3895838281702823,0.11448409325322606,15.678483058459877,1.1638283905295743,0.2947269303201507,0.7960596379126731,1878,1495,1.0
BTC/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1752480000000,1784072700000,35104,249,0.4738955823293173,0.01601115300152487,0.138306907134252,2.1974980076013315,1.0158840047609714,0.18473895582329317,0.8093480934809348,813,658,1.0
BTC/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752480000000,1784072700000,35104,263,0.4600760456273764,-0.05738427538314609,0.13994660164667228,-4.535553748097638,0.941657917349997,0.15019011406844107,0.806881243063263,901,727,1.0
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1689292800000,1784070000000,26328,261,0.5057471264367817,0.26580466815712134,0.12393219358100074,8.556995912580076,1.2063331828808361,0.26436781609195403,0.7452830188679245,636,474,1.0
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1784070000000,26328,273,0.5018315018315018,0.19918823255781845,0.14226507795464371,6.582598970661334,1.150815730161573,0.25457875457875456,0.7441520467836257,684,509,1.0
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1689292800000,1752476400000,17552,159,0.48427672955974843,0.054258549197080355,0.12393219358100074,3.5040037707467167,1.0699643437881625,0.21069182389937108,0.7617728531855956,361,275,1.0
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752476400000,17552,164,0.4878048780487805,0.031649104963708485,0.14226507795464371,2.2391734347678063,1.0402710638755481,0.21951219512195122,0.7643979057591623,382,292,1.0
BTC/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1752480000000,1784070000000,8776,86,0.5,0.0874599550898185,0.06334809229830843,8.973307395469886,1.2043801864099466,0.25,0.6938775510204082,245,170,1.0
BTC/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752480000000,1784070000000,8776,91,0.4835164835164835,0.0574113146932812,0.0959809726255433,5.97434878530997,1.127146144656497,0.2087912087912088,0.6842105263157895,266,182,1.0
BTC/USDT:USDT,4h,full,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1689292800000,1784059200000,6582,68,0.5147058823529411,0.1262496505334042,0.08269122241041559,6.990535097211506,1.3342671768110037,0.2867647058823529,0.8055555555555556,144,116,1.0
BTC/USDT:USDT,4h,full,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1784059200000,6582,72,0.5277777777777778,0.14918135476768402,0.08340052611814014,7.74465502440226,1.3735432680715414,0.3194444444444444,0.8,160,128,1.0
BTC/USDT:USDT,4h,is,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1689292800000,1752465600000,4388,41,0.5853658536585366,0.13927185571600476,0.03145513385229236,12.65541364826105,1.7171515142941394,0.4634146341463415,0.7875,80,63,1.0
BTC/USDT:USDT,4h,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752465600000,4388,41,0.6097560975609756,0.16036967296454605,0.0313824180210323,14.621601064859158,1.8577243346514538,0.524390243902439,0.7613636363636364,88,67,1.0
BTC/USDT:USDT,4h,oos,0,zone_limit,1.5,2.0,every_tap,single,,True,baseline,0,1752480000000,1784059200000,2194,16,0.3125,-0.04354703581730209,0.04614836089390774,-10.856258978598888,0.6088979473356037,-0.21875,0.8095238095238095,42,34,1.0
BTC/USDT:USDT,4h,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752480000000,1784059200000,2194,20,0.35,-0.04143857523553834,0.04657382402467756,-8.128956313815054,0.6889253882430699,-0.125,0.8333333333333334,48,40,1.0
