timeframe,segment,feature,axis,n,positive_rate,correlation,p_value,hypothesis_sign,direction_matches,permutations
15m,is,trend_dev,death_vs_rest,5280,0.09640151515151515,0.023675120112243687,0.09,-1,False,2000
15m,is,trend_dev,death_vs_winner,3583,0.14205972648618476,0.048849324535848566,0.0035,-1,False,2000
15m,is,volume_pctl,death_vs_rest,5280,0.09640151515151515,-0.042326509870055005,0.001,-1,True,2000
15m,is,volume_pctl,death_vs_winner,3583,0.14205972648618476,-0.058204365271032586,0.0,-1,True,2000
15m,is,vol_balance,death_vs_rest,5280,0.09640151515151515,0.02160939361224204,0.1305,0,False,2000
15m,is,vol_balance,death_vs_winner,3583,0.14205972648618476,0.030074753392976133,0.0895,0,False,2000
15m,is,rsi_slope_5_3,death_vs_rest,5280,0.09640151515151515,0.02311086439378708,0.088,-1,False,2000
15m,is,rsi_slope_5_3,death_vs_winner,3583,0.14205972648618476,0.036433180170851544,0.0255,-1,False,2000
15m,is,rsi_slope_10_5,death_vs_rest,5280,0.09640151515151515,0.033960929565533586,0.0125,-1,False,2000
15m,is,rsi_slope_10_5,death_vs_winner,3583,0.14205972648618476,0.041963120739284696,0.0125,-1,False,2000
15m,is,rsi_slope_14_5,death_vs_rest,5280,0.09640151515151515,0.01697846188120708,0.2145,-1,False,2000
15m,is,rsi_slope_14_5,death_vs_winner,3583,0.14205972648618476,0.024308878069724538,0.1435,-1,False,2000
15m,is,zone_width_atr,death_vs_rest,5280,0.09640151515151515,0.13136097138775052,0.0,0,False,2000
15m,is,zone_width_atr,death_vs_winner,3583,0.14205972648618476,0.17874223558398972,0.0,0,False,2000
15m,is,freshness_bars,death_vs_rest,5280,0.09640151515151515,-0.02449268322500257,0.0685,1,False,2000
15m,is,freshness_bars,death_vs_winner,3583,0.14205972648618476,-0.03640692725761421,0.0225,1,False,2000
15m,is,prior_taps,death_vs_rest,5280,0.09640151515151515,0.03870693297438672,0.0095,1,True,2000
15m,is,prior_taps,death_vs_winner,3583,0.14205972648618476,0.048001650203501674,0.0055,1,True,2000
15m,is,approach_mom,death_vs_rest,5280,0.09640151515151515,0.045088803985250545,0.0005,-1,False,2000
15m,is,approach_mom,death_vs_winner,3583,0.14205972648618476,0.0734698543588031,0.0,-1,False,2000
15m,is,tap_rsi,death_vs_rest,5280,0.09640151515151515,0.05716907769208271,0.0,-1,False,2000
15m,is,tap_rsi,death_vs_winner,3583,0.14205972648618476,0.08990650562484194,0.0,-1,False,2000
15m,is,stop_width_frac,death_vs_rest,5280,0.09640151515151515,0.025429559300337384,0.061,-1,False,2000
15m,is,stop_width_frac,death_vs_winner,3583,0.14205972648618476,0.02306662128795603,0.147,-1,False,2000
15m,is,stop_width_atr,death_vs_rest,5280,0.09640151515151515,0.1461531738581722,0.0,-1,False,2000
15m,is,stop_width_atr,death_vs_winner,3583,0.14205972648618476,0.19305067029324524,0.0,-1,False,2000
15m,is,rsi_ema_slope,death_vs_rest,5280,0.09640151515151515,0.06031299829183694,0.0,-1,False,2000
15m,is,rsi_ema_slope,death_vs_winner,3583,0.14205972648618476,0.08353627853172636,0.0,-1,False,2000
15m,is,rsi_ema_curv,death_vs_rest,5280,0.09640151515151515,0.03809700586897745,0.006,-1,False,2000
15m,is,rsi_ema_curv,death_vs_winner,3583,0.14205972648618476,0.05500048592557758,0.0,-1,False,2000
15m,is,rsi_ema_death_shape,death_vs_rest,5280,0.09640151515151515,-0.022398211350721363,0.1135,1,False,2000
15m,is,rsi_ema_death_shape,death_vs_winner,3583,0.14205972648618476,-0.04039479896037025,0.016,1,False,2000
15m,oos,trend_dev,death_vs_rest,2567,0.14102064666926373,0.04940738491922585,0.0105,-1,False,2000
15m,oos,trend_dev,death_vs_winner,1779,0.2034851039910062,0.07540734492551511,0.002,-1,False,2000
15m,oos,volume_pctl,death_vs_rest,2567,0.14102064666926373,-0.04863700356912183,0.096,-1,True,2000
15m,oos,volume_pctl,death_vs_winner,1779,0.2034851039910062,-0.07184667826362982,0.0385,-1,True,2000
15m,oos,vol_balance,death_vs_rest,2567,0.14102064666926373,-0.011510438194828072,0.572,0,False,2000
15m,oos,vol_balance,death_vs_winner,1779,0.2034851039910062,0.0010320672558343823,0.9615,0,False,2000
15m,oos,rsi_slope_5_3,death_vs_rest,2567,0.14102064666926373,0.016262868510523353,0.41,-1,False,2000
15m,oos,rsi_slope_5_3,death_vs_winner,1779,0.2034851039910062,0.025607046613003292,0.269,-1,False,2000
15m,oos,rsi_slope_10_5,death_vs_rest,2567,0.14102064666926373,0.014961307304194774,0.448,-1,False,2000
15m,oos,rsi_slope_10_5,death_vs_winner,1779,0.2034851039910062,0.02497604261419686,0.2805,-1,False,2000
15m,oos,rsi_slope_14_5,death_vs_rest,2567,0.14102064666926373,0.017010863423437207,0.3815,-1,False,2000
15m,oos,rsi_slope_14_5,death_vs_winner,1779,0.2034851039910062,0.026347121588284055,0.2755,-1,False,2000
15m,oos,zone_width_atr,death_vs_rest,2567,0.14102064666926373,0.16633828180647345,0.0,0,False,2000
15m,oos,zone_width_atr,death_vs_winner,1779,0.2034851039910062,0.2081791722962193,0.0,0,False,2000
15m,oos,freshness_bars,death_vs_rest,2567,0.14102064666926373,-0.05251863051012473,0.004,1,False,2000
15m,oos,freshness_bars,death_vs_winner,1779,0.2034851039910062,-0.07057054013576655,0.0015,1,False,2000
15m,oos,prior_taps,death_vs_rest,2567,0.14102064666926373,0.012986717344874369,0.5215,1,True,2000
15m,oos,prior_taps,death_vs_winner,1779,0.2034851039910062,0.009893617951095803,0.672,1,True,2000
15m,oos,approach_mom,death_vs_rest,2567,0.14102064666926373,0.07795956583454387,0.0,-1,False,2000
15m,oos,approach_mom,death_vs_winner,1779,0.2034851039910062,0.10673506963894447,0.0,-1,False,2000
15m,oos,tap_rsi,death_vs_rest,2567,0.14102064666926373,0.1021128052111976,0.0,-1,False,2000
15m,oos,tap_rsi,death_vs_winner,1779,0.2034851039910062,0.13736821724866066,0.0,-1,False,2000
15m,oos,stop_width_frac,death_vs_rest,2567,0.14102064666926373,0.03645422857787823,0.093,-1,False,2000
15m,oos,stop_width_frac,death_vs_winner,1779,0.2034851039910062,0.03493108667954019,0.184,-1,False,2000
15m,oos,stop_width_atr,death_vs_rest,2567,0.14102064666926373,0.17363028951188345,0.0,-1,False,2000
15m,oos,stop_width_atr,death_vs_winner,1779,0.2034851039910062,0.2211073865320757,0.0,-1,False,2000
15m,oos,rsi_ema_slope,death_vs_rest,2567,0.14102064666926373,0.05048807366680986,0.0075,-1,False,2000
15m,oos,rsi_ema_slope,death_vs_winner,1779,0.2034851039910062,0.06348581552754996,0.0085,-1,False,2000
15m,oos,rsi_ema_curv,death_vs_rest,2567,0.14102064666926373,0.07270909428400402,0.0005,-1,False,2000
15m,oos,rsi_ema_curv,death_vs_winner,1779,0.2034851039910062,0.08610825866179041,0.0005,-1,False,2000
15m,oos,rsi_ema_death_shape,death_vs_rest,2567,0.14102064666926373,-0.05252006813167629,0.01,1,False,2000
15m,oos,rsi_ema_death_shape,death_vs_winner,1779,0.2034851039910062,-0.0576122601736492,0.0125,1,False,2000
1h,is,trend_dev,death_vs_rest,1448,0.10497237569060773,-0.015197982759134804,0.6005,-1,True,2000
1h,is,trend_dev,death_vs_winner,1044,0.14559386973180077,-0.0012041224087417093,0.969,-1,True,2000
1h,is,volume_pctl,death_vs_rest,1448,0.10497237569060773,-0.03050008082631659,0.2465,-1,True,2000
1h,is,volume_pctl,death_vs_winner,1044,0.14559386973180077,-0.042198496987053545,0.166,-1,True,2000
1h,is,vol_balance,death_vs_rest,1448,0.10497237569060773,0.020337658679697983,0.464,0,False,2000
1h,is,vol_balance,death_vs_winner,1044,0.14559386973180077,0.022189842070580397,0.521,0,False,2000
1h,is,rsi_slope_5_3,death_vs_rest,1448,0.10497237569060773,0.016579351690411605,0.536,-1,False,2000
1h,is,rsi_slope_5_3,death_vs_winner,1044,0.14559386973180077,0.018801781052547935,0.5245,-1,False,2000
1h,is,rsi_slope_10_5,death_vs_rest,1448,0.10497237569060773,0.006882625630415071,0.7915,-1,False,2000
1h,is,rsi_slope_10_5,death_vs_winner,1044,0.14559386973180077,-0.002177391195036476,0.95,-1,True,2000
1h,is,rsi_slope_14_5,death_vs_rest,1448,0.10497237569060773,0.027165281727956972,0.3085,-1,False,2000
1h,is,rsi_slope_14_5,death_vs_winner,1044,0.14559386973180077,0.0279105626646357,0.367,-1,False,2000
1h,is,zone_width_atr,death_vs_rest,1448,0.10497237569060773,0.15309023410483355,0.0,0,False,2000
1h,is,zone_width_atr,death_vs_winner,1044,0.14559386973180077,0.2106204090439386,0.0,0,False,2000
1h,is,freshness_bars,death_vs_rest,1448,0.10497237569060773,-0.021377799668233187,0.407,1,False,2000
1h,is,freshness_bars,death_vs_winner,1044,0.14559386973180077,-0.032187115680205186,0.2965,1,False,2000
1h,is,prior_taps,death_vs_rest,1448,0.10497237569060773,0.049804342571517696,0.0595,1,True,2000
1h,is,prior_taps,death_vs_winner,1044,0.14559386973180077,0.056306266007311784,0.074,1,True,2000
1h,is,approach_mom,death_vs_rest,1448,0.10497237569060773,0.030504460305875482,0.2485,-1,False,2000
1h,is,approach_mom,death_vs_winner,1044,0.14559386973180077,0.04575686006219664,0.127,-1,False,2000
1h,is,tap_rsi,death_vs_rest,1448,0.10497237569060773,0.0315478527086194,0.235,-1,False,2000
1h,is,tap_rsi,death_vs_winner,1044,0.14559386973180077,0.054474147394866154,0.0695,-1,False,2000
1h,is,stop_width_frac,death_vs_rest,1448,0.10497237569060773,0.09921484406450508,0.0005,-1,False,2000
1h,is,stop_width_frac,death_vs_winner,1044,0.14559386973180077,0.10575647994338319,0.001,-1,False,2000
1h,is,stop_width_atr,death_vs_rest,1448,0.10497237569060773,0.1743598254702248,0.0,-1,False,2000
1h,is,stop_width_atr,death_vs_winner,1044,0.14559386973180077,0.23947510749240697,0.0,-1,False,2000
1h,is,rsi_ema_slope,death_vs_rest,1448,0.10497237569060773,0.0185800083634547,0.4805,-1,False,2000
1h,is,rsi_ema_slope,death_vs_winner,1044,0.14559386973180077,0.018467153070242385,0.544,-1,False,2000
1h,is,rsi_ema_curv,death_vs_rest,1448,0.10497237569060773,0.030127812435473914,0.256,-1,False,2000
1h,is,rsi_ema_curv,death_vs_winner,1044,0.14559386973180077,0.0365203512863175,0.2375,-1,False,2000
1h,is,rsi_ema_death_shape,death_vs_rest,1448,0.10497237569060773,0.000920212238638345,1.0,1,True,2000
1h,is,rsi_ema_death_shape,death_vs_winner,1044,0.14559386973180077,-0.0034096844712866786,0.924,1,False,2000
1h,oos,trend_dev,death_vs_rest,769,0.14044213263979194,0.03859123298673569,0.2865,-1,False,2000
1h,oos,trend_dev,death_vs_winner,530,0.2037735849056604,0.08081078744489727,0.0585,-1,False,2000
1h,oos,volume_pctl,death_vs_rest,769,0.14044213263979194,-0.02984998936308778,0.5115,-1,True,2000
1h,oos,volume_pctl,death_vs_winner,530,0.2037735849056604,-0.05693492718393662,0.346,-1,True,2000
1h,oos,vol_balance,death_vs_rest,769,0.14044213263979194,0.07424520092439536,0.069,0,False,2000
1h,oos,vol_balance,death_vs_winner,530,0.2037735849056604,0.0907527136661538,0.065,0,False,2000
1h,oos,rsi_slope_5_3,death_vs_rest,769,0.14044213263979194,-0.002467677269193953,0.9475,-1,True,2000
1h,oos,rsi_slope_5_3,death_vs_winner,530,0.2037735849056604,-0.0199908801608834,0.6275,-1,True,2000
1h,oos,rsi_slope_10_5,death_vs_rest,769,0.14044213263979194,-0.00782408160354963,0.824,-1,True,2000
1h,oos,rsi_slope_10_5,death_vs_winner,530,0.2037735849056604,0.00907136426613853,0.8285,-1,False,2000
1h,oos,rsi_slope_14_5,death_vs_rest,769,0.14044213263979194,-0.02576976689831952,0.461,-1,True,2000
1h,oos,rsi_slope_14_5,death_vs_winner,530,0.2037735849056604,-0.013055017404164808,0.7545,-1,True,2000
1h,oos,zone_width_atr,death_vs_rest,769,0.14044213263979194,0.17037859744143988,0.0,0,False,2000
1h,oos,zone_width_atr,death_vs_winner,530,0.2037735849056604,0.2273394402095704,0.0,0,False,2000
1h,oos,freshness_bars,death_vs_rest,769,0.14044213263979194,-0.06331094986533622,0.073,1,False,2000
1h,oos,freshness_bars,death_vs_winner,530,0.2037735849056604,-0.09888869187303527,0.0165,1,False,2000
1h,oos,prior_taps,death_vs_rest,769,0.14044213263979194,-0.008816437347000073,0.8375,1,False,2000
1h,oos,prior_taps,death_vs_winner,530,0.2037735849056604,-0.015597416769357796,0.7495,1,False,2000
1h,oos,approach_mom,death_vs_rest,769,0.14044213263979194,0.03827647507707839,0.311,-1,False,2000
1h,oos,approach_mom,death_vs_winner,530,0.2037735849056604,0.05343376808725804,0.2155,-1,False,2000
1h,oos,tap_rsi,death_vs_rest,769,0.14044213263979194,0.06970401127903014,0.047,-1,False,2000
