symbol,timeframe,segment,short_trades,wins,stops,unclosed,net_r_sum,net_pp_sum,funding_coverage_gap
TRX/USDT:USDT,4h,is,25,15,10,0,10.378511936471805,18.26290202848553,False
TRX/USDT:USDT,4h,oos_warm,17,6,11,0,-4.449218232453517,-2.327024544273388,False
TRX/USDT:USDT,4h,oos,17,6,11,0,-4.449218232453517,-2.327024544273388,False
TRX/USDT:USDT,1h,full,195,94,101,0,4.3288609422621205,11.134598772509532,False
TRX/USDT:USDT,1h,is,129,63,66,0,7.761960977678564,12.284378870152187,False
TRX/USDT:USDT,1h,oos_warm,66,31,35,0,-3.4331000354164454,-1.1497800976426515,False
TRX/USDT:USDT,1h,oos,64,31,33,0,-1.160799453538169,1.1360677213955026,False
TRX/USDT:USDT,2h,full,103,50,53,0,6.069571536813182,1.4441392907608335,False
TRX/USDT:USDT,2h,is,72,37,35,0,11.039233571141969,5.6958471991686945,False
TRX/USDT:USDT,2h,oos_warm,31,13,18,0,-4.969662034328787,-4.251707908407863,False
TRX/USDT:USDT,2h,oos,28,13,15,0,-1.490938594292188,-1.3857729006300739,False
DOGE/USDT:USDT,4h,full,47,27,20,0,17.16657948043754,21.033551799705908,True
DOGE/USDT:USDT,4h,is,30,21,9,0,20.2185695082751,36.09077263599568,True
DOGE/USDT:USDT,4h,oos_warm,17,6,11,0,-3.0519900278375607,-15.05722083628978,True
DOGE/USDT:USDT,4h,oos,16,6,10,0,-2.0062696074174764,-12.723609901981721,True
DOGE/USDT:USDT,1h,full,267,155,112,0,89.72225637801503,118.43445413216813,True
DOGE/USDT:USDT,1h,is,158,94,63,1,59.598696137546064,87.33995081328935,True
DOGE/USDT:USDT,1h,oos_warm,109,60,49,0,29.233408661267852,29.84700524354759,True
DOGE/USDT:USDT,1h,oos,92,51,41,0,25.376218962357253,26.480061338222395,True
DOGE/USDT:USDT,2h,full,117,66,51,0,39.08906763325088,87.90940428836119,True
DOGE/USDT:USDT,2h,is,71,44,27,0,33.577022740085255,69.650841379385,True
DOGE/USDT:USDT,2h,oos_warm,46,22,24,0,5.512044893165607,18.25856290897616,True
DOGE/USDT:USDT,2h,oos,37,18,19,0,4.828015755873924,8.260387710059659,True
LINK/USDT:USDT,4h,full,86,40,46,0,9.144164129162956,3.4796267860455288,True
LINK/USDT:USDT,4h,is,59,30,29,0,12.540183622832915,8.375876514264258,True
LINK/USDT:USDT,4h,oos_warm,27,10,17,0,-3.3960194936699573,-4.896249728218728,True
LINK/USDT:USDT,4h,oos,22,8,14,0,-3.2171988517002306,-5.189037449414939,True
LINK/USDT:USDT,1h,full,362,198,164,0,93.54695631615655,109.55267989857032,True
LINK/USDT:USDT,1h,is,219,114,105,0,41.638535270864374,44.25915502190274,True
LINK/USDT:USDT,1h,oos_warm,143,84,59,0,51.90842104529228,65.29352487666759,True
LINK/USDT:USDT,1h,oos,116,66,50,0,36.32436938288838,40.923546158448744,True
LINK/USDT:USDT,2h,full,174,96,78,0,51.31039490400929,66.40854613580896,True
LINK/USDT:USDT,2h,is,117,62,55,0,28.904824297161312,37.07885992625263,True
LINK/USDT:USDT,2h,oos_warm,57,34,23,0,22.405570606847967,29.329686209556336,True
LINK/USDT:USDT,2h,oos,40,22,18,0,10.850080916097454,8.560922159697563,True
LTC/USDT:USDT,4h,full,65,39,26,0,27.298221891003713,37.429316659685774,True
LTC/USDT:USDT,4h,is,44,26,18,0,17.590524781680703,29.178778321920515,True
LTC/USDT:USDT,4h,oos_warm,21,13,8,0,9.707697109323014,8.250538337765265,True
LTC/USDT:USDT,4h,oos,13,7,6,0,3.257130749952494,0.29656687874888377,True
LTC/USDT:USDT,1h,full,317,189,128,0,114.17076578667697,110.95003759596317,True
LTC/USDT:USDT,1h,is,212,128,84,0,82.24117675139985,81.81455608133064,True
LTC/USDT:USDT,1h,oos_warm,105,61,44,0,31.929589035277147,29.135481514632477,True
LTC/USDT:USDT,1h,oos,94,56,38,0,31.497129965035242,29.881787251187998,True
LTC/USDT:USDT,2h,full,144,78,66,0,37.47055536005884,45.65476652097732,True
LTC/USDT:USDT,2h,is,94,50,44,0,23.257703863760803,32.9382086441663,True
LTC/USDT:USDT,2h,oos_warm,50,28,22,0,14.21285149629804,12.716557876811022,True
LTC/USDT:USDT,2h,oos,43,23,20,0,9.202011709379914,5.239657266638262,True
