guard,multiple,segment,num_trades,p10,median,p90
0.003,1.5,full,49431,0.0038597848751736564,0.008608235529573184,0.026801826773497583
0.003,1.5,is,34606,0.003996416092172798,0.009278597092494975,0.028794681070555217
0.003,1.5,oos_warm,14825,0.0036454499482128076,0.007237420176222316,0.02123150442201098
0.003,1.5,oos,14525,0.0036417429515113045,0.007188415755405703,0.020718949027490077
0.004,1.5,full,44202,0.004849327753496846,0.009630193456937419,0.028172490254267372
0.004,1.5,is,31377,0.004968249935484413,0.010292771668976006,0.030683027158938076
0.004,1.5,oos_warm,12825,0.004640996004560448,0.00832343112858329,0.02292610196942087
0.004,1.5,oos,12543,0.004640996004560448,0.008254622748269333,0.022471255067787473
0.005,1.5,full,39578,0.005812332583315396,0.010692252492622775,0.02994018613768476
0.005,1.5,is,28489,0.005907422761250798,0.011237752449509994,0.032047495356845715
0.005,1.5,oos_warm,11089,0.005613858092241483,0.009451175539697019,0.024526876944741885
0.005,1.5,oos,10833,0.0056127540697871936,0.009356283023071222,0.024150286499183455
0.006,1.5,full,35339,0.006836804574774188,0.011874781719765255,0.03175858656717798
0.006,1.5,is,25701,0.0069532915645915865,0.012389614415972828,0.03389597357593056
0.006,1.5,oos_warm,9638,0.0066225513114689,0.010627284601474128,0.026648783813808398
0.006,1.5,oos,9395,0.00662018373327774,0.010557846418559617,0.026060194915249104
0.008,1.5,full,28580,0.008864327389407482,0.014282214205136517,0.03493229827962881
0.008,1.5,is,21209,0.008919813466730696,0.014710560971582486,0.03686744313728932
0.008,1.5,oos_warm,7371,0.008737635598039568,0.013181310857752825,0.02997889114951413
0.008,1.5,oos,7143,0.008727982839847721,0.013075324464782294,0.029424471769630943
