scope,unit,offset_ms,dropped,n_stop,n_tp,delta,z,full_delta,sign_kept
self,coin,-43200000,BNBUSDT,5354,3961,0.0002097556678,0.3126239702,0.0004108647234,True
self,coin,-21600000,BNBUSDT,5354,3961,0.001222669027,2.320137862,0.001259874314,True
self,coin,-7200000,BNBUSDT,5354,3961,0.0006422034885,1.693911884,0.0006981595297,True
self,coin,-3600000,BNBUSDT,5354,3961,0.000853949028,2.777204422,0.0008610310438,True
self,coin,-1800000,BNBUSDT,5354,3961,0.0007762368127,2.988544366,0.000782389081,True
self,coin,-300000,BNBUSDT,5354,3961,9.19143049e-06,0.05774022516,-3.166905846e-06,False
self,usdt,-86400000,BNBUSDT,5354,3961,0.02576747466,8.471706348,0.02515943317,True
self,usdt,-43200000,BNBUSDT,5354,3961,0.02992195311,9.707340805,0.0287019601,True
self,usdt,-21600000,BNBUSDT,5354,3961,0.03133088925,10.52536209,0.0297971118,True
self,usdt,-7200000,BNBUSDT,5354,3961,0.02746355208,10.40921522,0.0262820967,True
self,usdt,-3600000,BNBUSDT,5354,3961,0.02742764153,10.41516703,0.02626371154,True
self,usdt,-1800000,BNBUSDT,5354,3961,0.02743803078,10.48990339,0.02629085619,True
self,usdt,-300000,BNBUSDT,5354,3961,0.01516584979,8.551658698,0.01458579518,True
btc,coin,-86400000,BNBUSDT,5354,3961,0.002477222001,3.810355657,0.002515522051,True
btc,coin,-43200000,BNBUSDT,5354,3961,0.001578911756,3.135139184,0.001569918634,True
btc,coin,-21600000,BNBUSDT,5354,3961,0.00179511544,4.221779476,0.001966887277,True
btc,coin,-7200000,BNBUSDT,5354,3961,0.001144723118,4.419158977,0.0011943967,True
btc,coin,-3600000,BNBUSDT,5354,3961,0.0008559447044,4.157384268,0.000919091142,True
btc,coin,-1800000,BNBUSDT,5354,3961,0.000725404964,4.344974582,0.0007778655766,True
btc,coin,-300000,BNBUSDT,5354,3961,0.000156749947,1.852788826,0.0001760584683,True
btc,usdt,-86400000,BNBUSDT,5354,3961,0.007631885814,6.708065736,0.007835372468,True
btc,usdt,-43200000,BNBUSDT,5354,3961,0.006275573215,6.568447104,0.006190313929,True
btc,usdt,-21600000,BNBUSDT,5354,3961,0.006582720583,8.001278248,0.006656553544,True
btc,usdt,-7200000,BNBUSDT,5354,3961,0.004514158005,8.237527059,0.004517508284,True
btc,usdt,-3600000,BNBUSDT,5354,3961,0.004169451766,8.396725721,0.004230507833,True
btc,usdt,-1800000,BNBUSDT,5354,3961,0.0041227031,9.127847362,0.004166911581,True
btc,usdt,-300000,BNBUSDT,5354,3961,0.00194260563,8.019095672,0.002007448594,True
self,coin,-86400000,BTCUSDT,5410,3965,-0.002251788699,2.263286722,-0.002057375843,True
self,coin,-43200000,BTCUSDT,5410,3965,0.0006336313364,0.9446854995,0.0004108647234,True
self,coin,-21600000,BTCUSDT,5410,3965,0.001422394615,2.706222125,0.001259874314,True
self,coin,-7200000,BTCUSDT,5410,3965,0.0008131547323,2.143024606,0.0006981595297,True
self,coin,-3600000,BTCUSDT,5410,3965,0.0009852358886,3.180805971,0.0008610310438,True
self,coin,-1800000,BTCUSDT,5410,3965,0.0008864130502,3.357588454,0.000782389081,True
self,coin,-300000,BTCUSDT,5410,3965,-1.436158816e-05,0.08923372494,-3.166905846e-06,True
self,usdt,-86400000,BTCUSDT,5410,3965,0.02747568817,8.956187185,0.02515943317,True
self,usdt,-43200000,BTCUSDT,5410,3965,0.03146110793,10.162337,0.0287019601,True
self,usdt,-21600000,BTCUSDT,5410,3965,0.03229595996,10.81790046,0.0297971118,True
self,usdt,-7200000,BTCUSDT,5410,3965,0.02847098882,10.72970014,0.0262820967,True
self,usdt,-3600000,BTCUSDT,5410,3965,0.02844779386,10.73540044,0.02626371154,True
self,usdt,-1800000,BTCUSDT,5410,3965,0.02845265998,10.80520011,0.02629085619,True
self,usdt,-300000,BTCUSDT,5410,3965,0.01565146066,8.781468016,0.01458579518,True
btc,coin,-86400000,BTCUSDT,5410,3965,0.002661300284,4.037677154,0.002515522051,True
btc,coin,-43200000,BTCUSDT,5410,3965,0.001878172497,3.686310832,0.001569918634,True
btc,coin,-21600000,BTCUSDT,5410,3965,0.00218153412,5.069703602,0.001966887277,True
btc,coin,-7200000,BTCUSDT,5410,3965,0.001346193331,5.165539474,0.0011943967,True
btc,coin,-3600000,BTCUSDT,5410,3965,0.001047053682,5.07815492,0.000919091142,True
btc,coin,-1800000,BTCUSDT,5410,3965,0.0008810606508,5.242367851,0.0007778655766,True
btc,coin,-300000,BTCUSDT,5410,3965,0.000177583551,2.098227572,0.0001760584683,True
btc,usdt,-86400000,BTCUSDT,5410,3965,0.008830243628,7.578020075,0.007835372468,True
btc,usdt,-43200000,BTCUSDT,5410,3965,0.007241594341,7.4021682,0.006190313929,True
btc,usdt,-21600000,BTCUSDT,5410,3965,0.007402044963,8.765193397,0.006656553544,True
btc,usdt,-7200000,BTCUSDT,5410,3965,0.005059199757,8.990727981,0.004517508284,True
btc,usdt,-3600000,BTCUSDT,5410,3965,0.004748803589,9.29800816,0.004230507833,True
btc,usdt,-1800000,BTCUSDT,5410,3965,0.004657740312,10.00717431,0.004166911581,True
btc,usdt,-300000,BTCUSDT,5410,3965,0.002123218289,8.552275077,0.002007448594,True
self,coin,-86400000,DOGEUSDT,5262,3858,-0.002459797774,2.508721902,-0.002057375843,True
self,coin,-43200000,DOGEUSDT,5262,3858,-0.0002009402425,0.30767561,0.0004108647234,False
self,coin,-21600000,DOGEUSDT,5262,3858,0.0005900491504,1.153696171,0.001259874314,True
self,coin,-7200000,DOGEUSDT,5262,3858,0.0001305902067,0.3547483262,0.0006981595297,True
self,coin,-3600000,DOGEUSDT,5262,3858,0.0003197914719,1.085511712,0.0008610310438,True
self,coin,-1800000,DOGEUSDT,5262,3858,0.0003288648054,1.323350356,0.000782389081,True
self,coin,-300000,DOGEUSDT,5262,3858,-0.0002853114216,1.900625197,-3.166905846e-06,True
self,usdt,-86400000,DOGEUSDT,5262,3858,0.01865678712,6.948076088,0.02515943317,True
self,usdt,-43200000,DOGEUSDT,5262,3858,0.02194084015,8.179670418,0.0287019601,True
self,usdt,-21600000,DOGEUSDT,5262,3858,0.02299458297,8.855195853,0.0297971118,True
self,usdt,-7200000,DOGEUSDT,5262,3858,0.02014374336,8.712112724,0.0262820967,True
self,usdt,-3600000,DOGEUSDT,5262,3858,0.02014130756,8.728239037,0.02626371154,True
self,usdt,-1800000,DOGEUSDT,5262,3858,0.02041273668,8.877172408,0.02629085619,True
self,usdt,-300000,DOGEUSDT,5262,3858,0.01129643572,7.281725639,0.01458579518,True
btc,coin,-86400000,DOGEUSDT,5262,3858,0.00236210405,3.551714396,0.002515522051,True
btc,coin,-43200000,DOGEUSDT,5262,3858,0.00136932834,2.666038163,0.001569918634,True
btc,coin,-21600000,DOGEUSDT,5262,3858,0.001604885419,3.707659772,0.001966887277,True
btc,coin,-7200000,DOGEUSDT,5262,3858,0.0009075749508,3.42768093,0.0011943967,True
btc,coin,-3600000,DOGEUSDT,5262,3858,0.0007272907869,3.458032899,0.000919091142,True
btc,coin,-1800000,DOGEUSDT,5262,3858,0.000619482376,3.620940106,0.0007778655766,True
btc,coin,-300000,DOGEUSDT,5262,3858,0.000143701274,1.628745665,0.0001760584683,True
btc,usdt,-86400000,DOGEUSDT,5262,3858,0.007051283681,6.072129647,0.007835372468,True
btc,usdt,-43200000,DOGEUSDT,5262,3858,0.005429067761,5.610127475,0.006190313929,True
btc,usdt,-21600000,DOGEUSDT,5262,3858,0.005732520375,6.894694156,0.006656553544,True
