arm,label,combine_obs,retap_mode,segment,adopted_arm,num_cells,num_symbols,num_trades,win_rate,mean_net_r,gross_r,slippage_r,entry_fee_r,take_profit_fee_r,stop_fee_r,other_fee_r,funding_r,cost_r,identity_max_abs,stop_width_p50,stop_width_p90,entry_in_zone_p50,retap_trades,retap_trade_share,reentry_trades,zone_retap_and_reentry,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,liquidation_events,symbols_below_gate,min_symbol_trades,net_r_stderr,long_trades,short_trades,long_win_rate,short_win_rate,long_mean_net_r,short_mean_net_r,long_net_r_sum,short_net_r_sum,btc_return_corr,btc_days,scope
long_only,롱 온리(채택 북),False,every_tap,full,True,12,12,36270,0.40612076095947064,-0.1109008466798269,0.015296183152257082,0.045516926005140144,0.030786364785083748,0.012582653619655756,0.03639095398262545,4.3800510888454865e-06,0.0009157513884904999,0.12619702983208558,2.842170943040401e-14,0.00704829288400787,0.016861467624792247,-0.012421001021447494,11403,0.31439205955334987,4172,1761,-22.375212729812386,18.502852203299827,-1.2092845191630486,11,269.52323806156676,269.52323806156676,31962,0,2015,0.0067316227295792595,36270,0,0.40612076095947064,,-0.1109008466798269,,-4022.3737090773216,0.0,0.33124297293636185,2127,15m
long_only,롱 온리(채택 북),False,every_tap,oos_warm,True,12,12,10988,0.40698944302875867,-0.1219410124485253,0.01745472906191884,0.05043259621642222,0.034299571005405594,0.014130023464646951,0.040311445939297676,1.4457995357883673e-05,0.0002076468893132393,0.13939574151044395,2.842170943040401e-14,0.006128585805237571,0.013256463071777492,-0.014934693877552202,3487,0.3173461958500182,1072,461,-7.4647584658431265,7.217542249304146,-1.0342521329283267,9,53.64457099692437,53.64457099692437,9788,0,372,0.012286237304748274,10988,0,0.40698944302875867,,-0.1219410124485253,,-1339.887844784396,0.0,0.40042081226617315,709,15m
long_only,롱 온리(채택 북),False,every_tap,full,True,12,12,10284,0.3999416569428238,-0.08059976132818777,-0.00021535770375557644,0.028869851336922703,0.01955472264972171,0.0080067390434107,0.02308257769441912,1.755434586895454e-06,0.0008687574653705666,0.08038440362443217,2.842170943040401e-14,0.012930859677118814,0.031796731276604866,-0.00583391975892761,3046,0.29618825359782186,1207,454,-6.533209089538501,6.388432626193879,-1.022662282255433,10,11.370045481157097,11.370045481157097,8043,0,724,0.012410657508197259,10284,0,0.3999416569428238,,-0.08059976132818777,,-828.887945499083,0.0,0.28819893961091037,1606,1h
long_only,롱 온리(채택 북),False,every_tap,oos_warm,True,12,12,3109,0.3959472499195883,-0.10086584483174328,-0.010361768615446165,0.033262907477227696,0.02225314522309113,0.008945909878475445,0.02659121416414923,5.806654645105452e-06,-0.0005549071812912061,0.09050407621629725,2.842170943040401e-14,0.011181505941090051,0.026672566292230217,-0.006026304331943745,943,0.3033129623673207,299,111,-2.243280403115834,1.9809749284668234,-1.1324123141992626,9,1.1923055983435236,1.1923055983435236,1278,0,185,0.022629701616945375,3109,0,0.3959472499195883,,-0.10086584483174328,,-313.59191158188986,0.0,0.34944017825963913,548,1h
long_only,롱 온리(채택 북),False,every_tap,full,True,12,12,5263,0.40509215276458294,-0.0457707669505423,0.012930193652559286,0.020762274595877473,0.014385090000094799,0.006082766200473393,0.016600342857816364,1.1719090491382862e-06,0.0008693150397904077,0.05870096060310174,2.842170943040401e-14,0.019132086770673067,0.045814062661601845,-0.003982465753423588,1514,0.28766863005890175,645,228,-2.2250310675930947,1.9435356611086527,-1.1448367591690436,10,18.866457185780853,18.866457185780853,1791,0,399,0.01724430475240985,5263,0,0.40509215276458294,,-0.0457707669505423,,-240.89154646070415,0.0,0.2652042682753992,1108,2h
long_only,롱 온리(채택 북),False,every_tap,oos_warm,True,12,12,1727,0.39722061378112333,-0.0737934447997131,-0.00633954302639258,0.024369771057545488,0.01694682014379867,0.007197643812174097,0.019482497566842213,3.571370773372785e-06,-0.0005464021778133176,0.06745390177332058,2.842170943040401e-14,0.015689582903890595,0.035448308796802594,-0.004785395414604351,507,0.29357266936884774,200,69,-1.2292772925064432,1.2263733969339428,-1.0023678722807918,10,10.740227286066963,10.740227286066963,475,0,119,0.030081626351513034,1727,0,0.39722061378112333,,-0.0737934447997131,,-127.44127916910452,0.0,0.3015459824261597,380,2h
long_only,롱 온리(채택 북),False,every_tap,full,True,12,12,2597,0.4073931459376203,-0.024094560118193675,0.018788714098077766,0.01507625581423084,0.010696417611938527,0.00466967302906512,0.012053180322999416,1.7938260609192378e-06,0.0003859536119766944,0.04288327421627146,2.842170943040401e-14,0.026428871440314704,0.06306192165992797,-0.002900736261138351,759,0.2922603003465537,287,95,-0.6305620699035599,0.9244921108225688,-0.6820632242524125,9,0.49240878374383823,0.49240878374383823,0,0,191,0.02443952763493122,2597,0,0.4073931459376203,,-0.024094560118193675,,-62.57357262694897,0.0,0.23202224663745052,671,4h
long_only,롱 온리(채택 북),False,every_tap,oos_warm,True,12,12,868,0.391705069124424,-0.0703216276772527,-0.019822245953101343,0.018983044741341337,0.012640510864888207,0.005043328519160173,0.015173475563334746,5.367011843556752e-06,-0.001346344976416561,0.05049938172415144,2.842170943040401e-14,0.02186180067194633,0.04797668711792689,-0.004464524765727504,262,0.30184331797235026,79,31,-0.5003739804819456,0.7741538403424424,-0.6463495424379838,8,0.25702561305496663,0.25702561305496663,0,0,59,0.04215670802989306,868,0,0.391705069124424,,-0.0703216276772527,,-61.03917282385534,0.0,0.352454673977522,228,4h
short_only,숏만,False,every_tap,full,False,12,12,31540,0.4076727964489537,-0.11367674171320623,0.01921329284475336,0.0490260111962885,0.032987428056361845,0.013373180919275003,0.03923850058939389,1.91877211970863e-06,-0.0017370049754800495,0.13289003455795947,2.842170943040401e-14,0.006417993799743715,0.01501111817278845,-0.01206091954022619,9940,0.3151553582752061,2682,1062,-19.87992297731231,17.60301797264656,-1.1293474225955942,10,6.270137542985535,6.270137542985535,30078,0,1505,0.007250435063561654,0,31540,,0.4076727964489537,,-0.11367674171320623,0.0,-3585.3644336345246,-0.3218495054395744,2101,15m
short_only,숏만,False,every_tap,oos_warm,False,12,12,9764,0.40290864399836135,-0.13754581850409991,0.007372721868447419,0.05344460311416781,0.03560049363398472,0.014221177843941717,0.04277086225058386,6.1980820007794125e-06,-0.001124794552131924,0.14491854037254684,2.842170943040401e-14,0.005816401426184481,0.01280234244860715,-0.013552100979902788,3107,0.31820975010241703,794,319,-7.016894537863114,6.453916574811506,-1.087230436979742,8,10.744968296397314,10.744968296397314,8332,0,301,0.013054121897908845,0,9764,,0.40290864399836135,,-0.13754581850409991,0.0,-1342.9973718740316,-0.3713167199140741,694,15m
