symbol,timeframe,segment,fill,seed,real_total_return,real_num_trades,real_long,real_short,pool_size,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,bucket_fallback_count
BTC/USDT:USDT,15m,is,baseline,0,0.32123133736330345,533,533,0,1725,-0.04199559338882779,-0.21317743891532756,0.15041192036792073,0.0,200,0
BTC/USDT:USDT,15m,is,pen_5bp,0,0.15902811405389766,500,500,0,1625,-0.0925691958243424,-0.27130698593384833,0.09106113874652219,0.01,200,0
BTC/USDT:USDT,15m,oos,baseline,0,0.025310032813136787,253,253,0,847,-0.10197189910133897,-0.21165334258641377,0.039652921568163586,0.03,200,0
BTC/USDT:USDT,15m,oos,pen_5bp,0,-0.02550118808760617,244,244,0,807,-0.12965891277313432,-0.23241104502147872,-0.016338350317053663,0.04,200,0
BTC/USDT:USDT,1h,is,baseline,0,0.030370377890139206,161,161,0,375,-0.013450265042242275,-0.14414232454649936,0.12583835518768138,0.255,200,0
BTC/USDT:USDT,1h,is,pen_5bp,0,-0.01784744220052853,154,154,0,365,-0.025827778342914377,-0.1616344485337635,0.1344642840743025,0.44,200,0
BTC/USDT:USDT,1h,oos,baseline,0,0.11562966756703062,91,91,0,252,0.031409249657495274,-0.05200995436055637,0.12424424280682196,0.06,200,0
BTC/USDT:USDT,1h,oos,pen_5bp,0,0.07745784087069606,89,89,0,245,0.018227260929694594,-0.07884668619634576,0.12073667649510808,0.15,200,0
ETH/USDT:USDT,15m,is,baseline,0,0.036259406162898085,627,627,0,1693,-0.16022740245518435,-0.33345219826711436,0.015273733781559712,0.02,200,0
ETH/USDT:USDT,15m,is,pen_5bp,0,-0.1228616231139984,595,595,0,1603,-0.18890609921305837,-0.3472620101698707,-0.008249877000620109,0.255,200,0
ETH/USDT:USDT,15m,oos,baseline,0,0.6081230916532456,341,341,0,968,0.14840515359051848,-0.037957518825121585,0.33761484293828764,0.0,200,0
ETH/USDT:USDT,15m,oos,pen_5bp,0,0.42174989663226187,318,318,0,924,0.08343539094806587,-0.09639689716397698,0.29828399686956,0.0,200,0
ETH/USDT:USDT,1h,is,baseline,0,0.1325629166860257,176,176,0,454,0.06978800659247936,-0.09201516408848874,0.22512811889486348,0.225,200,0
ETH/USDT:USDT,1h,is,pen_5bp,0,0.11784091585811347,175,175,0,447,0.0643693075128143,-0.0870897507999709,0.21853179008846838,0.275,200,0
ETH/USDT:USDT,1h,oos,baseline,0,0.3293255251110881,102,102,0,236,0.1426358655558489,0.01341083115947131,0.28291449628532667,0.005,200,0
ETH/USDT:USDT,1h,oos,pen_5bp,0,0.29252778296783255,99,99,0,234,0.13304248627917306,-0.00679676653580118,0.261799842799098,0.005,200,0
SOL/USDT:USDT,15m,is,baseline,0,0.9239273300540506,794,794,0,1751,-0.0701975420177573,-0.33271296624646796,0.22291713523800064,0.0,200,0
SOL/USDT:USDT,15m,is,pen_5bp,0,0.46856264739668296,749,749,0,1709,-0.1578263765757582,-0.37011368816804996,0.0754585697960114,0.0,200,0
SOL/USDT:USDT,15m,oos,baseline,0,0.20689974148899856,358,358,0,859,0.00019610237359187307,-0.1740970627108756,0.19157058302044389,0.015,200,0
