symbol,timeframe,start_time,end_time,num_bars,rsi_oversold,rsi_overbought,total_return,max_drawdown,win_rate,profit_factor,sharpe,num_trades,seed,entry_mode,rsi_mode,combine_obs,sizing_mode,risk_per_trade,funding_coverage
ETH/USDT:USDT,4h,1657713600000,1783915200000,8765,25.0,75.0,-0.305535098034575,0.305535098034575,0.36,0.4441747347891554,-0.6800403321118655,25,0,close,closed_bar,True,full_position,,1.0
ETH/USDT:USDT,4h,1657713600000,1783915200000,8765,30.0,70.0,-0.45218505946947835,0.45218505946947835,0.325,0.3932909618791291,-1.0160877689432344,40,0,close,closed_bar,True,full_position,,1.0
ETH/USDT:USDT,1d,1626220800000,1783900800000,1826,30.0,70.0,-0.35491032265641625,0.47868155302215976,0.25,0.39629505822692757,-0.4289815035226407,12,0,close,closed_bar,True,full_position,,1.0
ETH/USDT:USDT,1d,1626220800000,1783900800000,1826,20.0,80.0,-0.23759419173307597,0.2554758364520221,0.0,0.0,-0.9570324255289706,4,0,close,closed_bar,True,full_position,,1.0
ETH/USDT:USDT,1d,1626220800000,1783900800000,1826,25.0,75.0,-0.2649471047340391,0.2821872078133389,0.0,0.0,-1.0463150134436208,5,0,close,closed_bar,True,full_position,,1.0
SOL/USDT:USDT,15m,1689257700000,1783920600000,105182,20.0,80.0,0.007585995493598056,0.15537473257725634,0.39655172413793105,1.0202262670487654,0.07455326630912318,58,0,close,closed_bar,True,full_position,,1.0
SOL/USDT:USDT,15m,1689257700000,1783920600000,105182,25.0,75.0,-0.17101991801063032,0.20877346319300943,0.41379310344827586,0.8446394762496872,-0.3674198308775232,174,0,close,closed_bar,True,full_position,,1.0
SOL/USDT:USDT,15m,1689257700000,1783920600000,105182,30.0,70.0,-0.45242202265211556,0.4606210989136652,0.4547677261613692,0.7566308278271633,-0.995128570873737,409,0,close,closed_bar,True,full_position,,1.0
SOL/USDT:USDT,1h,1689238800000,1783918800000,26301,20.0,80.0,-0.0042579457070100035,0.15886730955000036,0.5,0.98078370955603,0.0273028965001532,24,0,close,closed_bar,True,full_position,,1.0
SOL/USDT:USDT,1h,1689238800000,1783918800000,26301,25.0,75.0,-0.13890125375469378,0.3133961401141724,0.43103448275862066,0.7635089483479468,-0.3549992206890155,58,0,close,closed_bar,True,full_position,,1.0
SOL/USDT:USDT,1h,1689238800000,1783918800000,26301,30.0,70.0,-0.36868497884066354,0.4994392211614472,0.44545454545454544,0.5912494973518693,-0.9254205706040662,110,0,close,closed_bar,True,full_position,,1.0
SOL/USDT:USDT,2h,1689242400000,1783915200000,13150,20.0,80.0,-0.14047915590265492,0.2183547630348535,0.4,0.5611231808190834,-0.5857468125325722,10,0,close,closed_bar,True,full_position,,1.0
SOL/USDT:USDT,2h,1689242400000,1783915200000,13150,25.0,75.0,-0.30314437678295136,0.3943827974063239,0.39285714285714285,0.5166423652858877,-0.9793581515125369,28,0,close,closed_bar,True,full_position,,1.0
SOL/USDT:USDT,2h,1689242400000,1783915200000,13150,30.0,70.0,-0.39380234090213273,0.4847600181462755,0.423728813559322,0.5770526218558885,-1.0432023869194267,59,0,close,closed_bar,True,full_position,,1.0
SOL/USDT:USDT,4h,1657713600000,1783915200000,8765,20.0,80.0,0.0019108157291189854,0.22065146223007243,0.3333333333333333,1.0066429327686885,0.044301223869408546,9,0,close,closed_bar,True,full_position,,1.0
SOL/USDT:USDT,4h,1657713600000,1783915200000,8765,25.0,75.0,-0.03045545146875411,0.3870517603965428,0.375,0.9551905242981298,0.015545037606540475,24,0,close,closed_bar,True,full_position,,1.0
SOL/USDT:USDT,4h,1657713600000,1783915200000,8765,30.0,70.0,-0.22125833469878872,0.4388536329506954,0.39215686274509803,0.816435029799174,-0.26057269333967714,51,0,close,closed_bar,True,full_position,,1.0
SOL/USDT:USDT,1d,1626220800000,1783900800000,1826,20.0,80.0,-0.21886917703559466,0.3397597585641989,0.25,0.29932485036525824,-0.43192501777315945,4,0,close,closed_bar,True,full_position,,1.0
SOL/USDT:USDT,1d,1626220800000,1783900800000,1826,30.0,70.0,-0.44120755611004586,0.5416138151880141,0.2857142857142857,0.20410418702269797,-0.8036213886301293,7,0,close,closed_bar,True,full_position,,1.0
SOL/USDT:USDT,1d,1626220800000,1783900800000,1826,25.0,75.0,-0.4298634572417139,0.5106728719627309,0.2,0.13700693351110485,-0.8038742823747825,5,0,close,closed_bar,True,full_position,,1.0
