symbol,timeframe,support_n,segment,zones_switched,short_fills,wins,stops,unclosed,collapse_r_sum,stop_r_sum,net_r_sum,net_pp_sum,funding_coverage_gap
SOL/USDT:USDT,4h,3,oos_warm,0,0,0,0,0,0.0,0.0,0.0,0.0,False
SOL/USDT:USDT,4h,3,oos,0,0,0,0,0,0.0,0.0,0.0,0.0,False
BNB/USDT:USDT,4h,0,full,28,58,20,38,0,30.000000000000007,-38.0,-10.99433129921166,-33.335564467651,False
BNB/USDT:USDT,4h,0,is,19,41,13,28,0,19.499999999999996,-28.0,-10.595119805031464,-28.45508336815005,False
BNB/USDT:USDT,4h,0,oos_warm,9,17,7,10,0,10.500000000000009,-10.0,-0.3992114941802001,-4.88048109950096,False
BNB/USDT:USDT,4h,0,oos,8,15,6,9,0,9.000000000000007,-9.0,-0.8120839643396573,-5.943121402803689,False
BNB/USDT:USDT,4h,1,full,9,12,6,6,0,9.000000000000009,-6.0,2.3736276505160863,3.984955476215283,False
BNB/USDT:USDT,4h,1,is,7,9,4,5,0,6.000000000000001,-5.0,0.5317086442953265,-0.4758150870634661,False
BNB/USDT:USDT,4h,1,oos_warm,2,3,2,1,0,3.0000000000000075,-1.0,1.84191900622076,4.460770563278749,False
BNB/USDT:USDT,4h,1,oos,1,2,1,1,0,1.500000000000005,-1.0,0.3833152772154422,0.7066546533705882,False
BNB/USDT:USDT,4h,2,full,2,2,1,1,0,1.5000000000000022,-1.0,0.401736404341642,1.6765294025033648,False
BNB/USDT:USDT,4h,2,is,1,1,0,1,0,0.0,-1.0,-1.0568673246636755,-2.077586507404796,False
BNB/USDT:USDT,4h,2,oos_warm,1,1,1,0,0,1.5000000000000022,0.0,1.4586037290053178,3.754115909908161,False
BNB/USDT:USDT,4h,2,oos,0,0,0,0,0,0.0,0.0,0.0,0.0,False
BNB/USDT:USDT,4h,3,full,0,0,0,0,0,0.0,0.0,0.0,0.0,False
BNB/USDT:USDT,4h,3,is,0,0,0,0,0,0.0,0.0,0.0,0.0,False
BNB/USDT:USDT,4h,3,oos_warm,0,0,0,0,0,0.0,0.0,0.0,0.0,False
BNB/USDT:USDT,4h,3,oos,0,0,0,0,0,0.0,0.0,0.0,0.0,False
XRP/USDT:USDT,4h,0,full,22,27,13,14,0,19.500000000000007,-14.0,4.193635253156055,9.303960712969657,False
XRP/USDT:USDT,4h,0,is,15,18,8,10,0,11.999999999999996,-10.0,1.312678856504479,4.713658399747048,False
XRP/USDT:USDT,4h,0,oos_warm,7,9,5,4,0,7.500000000000012,-4.0,2.880956396651576,4.59030231322261,False
XRP/USDT:USDT,4h,0,oos,7,9,5,4,0,7.500000000000012,-4.0,2.880956396651576,4.59030231322261,False
XRP/USDT:USDT,4h,1,full,1,2,0,2,0,0.0,-2.0,-2.094128990648141,-5.051729528478862,False
XRP/USDT:USDT,4h,1,is,1,2,0,2,0,0.0,-2.0,-2.094128990648141,-5.051729528478862,False
XRP/USDT:USDT,4h,1,oos_warm,0,0,0,0,0,0.0,0.0,0.0,0.0,False
XRP/USDT:USDT,4h,1,oos,0,0,0,0,0,0.0,0.0,0.0,0.0,False
XRP/USDT:USDT,4h,2,full,1,1,0,1,0,0.0,-1.0,-1.0476214258333296,-2.5272082642394316,False
XRP/USDT:USDT,4h,2,is,1,1,0,1,0,0.0,-1.0,-1.0476214258333296,-2.5272082642394316,False
XRP/USDT:USDT,4h,2,oos_warm,0,0,0,0,0,0.0,0.0,0.0,0.0,False
XRP/USDT:USDT,4h,2,oos,0,0,0,0,0,0.0,0.0,0.0,0.0,False
XRP/USDT:USDT,4h,3,full,0,0,0,0,0,0.0,0.0,0.0,0.0,False
XRP/USDT:USDT,4h,3,is,0,0,0,0,0,0.0,0.0,0.0,0.0,False
XRP/USDT:USDT,4h,3,oos_warm,0,0,0,0,0,0.0,0.0,0.0,0.0,False
XRP/USDT:USDT,4h,3,oos,0,0,0,0,0,0.0,0.0,0.0,0.0,False
TRX/USDT:USDT,4h,0,full,30,58,15,43,0,22.50000000000001,-43.0,-26.58665651084086,-35.508186973081266,False
TRX/USDT:USDT,4h,0,is,19,40,9,31,0,13.500000000000032,-31.0,-20.82061680770334,-30.80288230108262,False
TRX/USDT:USDT,4h,0,oos_warm,11,18,6,12,0,8.999999999999979,-12.0,-5.766039703137525,-4.70530467199865,False
TRX/USDT:USDT,4h,0,oos,11,18,6,12,0,8.999999999999979,-12.0,-5.766039703137525,-4.70530467199865,False
TRX/USDT:USDT,4h,1,full,8,17,7,10,0,10.500000000000032,-10.0,-1.099904738623927,-2.694731973979536,False
TRX/USDT:USDT,4h,1,is,5,13,5,8,0,7.500000000000033,-8.0,-1.5974850931402271,-2.480499703515571,False
TRX/USDT:USDT,4h,1,oos_warm,3,4,2,2,0,3.0,-2.0,0.4975803545163,-0.2142322704639658,False
TRX/USDT:USDT,4h,1,oos,3,4,2,2,0,3.0,-2.0,0.4975803545163,-0.2142322704639658,False
TRX/USDT:USDT,4h,2,full,3,6,3,3,0,4.500000000000014,-3.0,0.9757841749321976,0.8264961542719578,False
TRX/USDT:USDT,4h,2,is,2,5,2,3,0,3.0000000000000138,-3.0,-0.4143929524752172,-0.5492609999999585,False
TRX/USDT:USDT,4h,2,oos_warm,1,1,1,0,0,1.5,0.0,1.3901771274074148,1.3757571542719162,False
TRX/USDT:USDT,4h,2,oos,1,1,1,0,0,1.5,0.0,1.3901771274074148,1.3757571542719162,False
TRX/USDT:USDT,4h,3,full,1,2,1,1,0,1.5000000000000069,-1.0,0.3516141475247665,0.4660502480315132,False
TRX/USDT:USDT,4h,3,is,1,2,1,1,0,1.5000000000000069,-1.0,0.3516141475247665,0.4660502480315132,False
TRX/USDT:USDT,4h,3,oos_warm,0,0,0,0,0,0.0,0.0,0.0,0.0,False
TRX/USDT:USDT,4h,3,oos,0,0,0,0,0,0.0,0.0,0.0,0.0,False
DOGE/USDT:USDT,4h,0,full,31,74,14,60,0,21.000000000000018,-60.0,-42.87138726181901,-111.858950765376,True
DOGE/USDT:USDT,4h,0,is,16,42,4,38,0,6.000000000000009,-38.0,-34.14879139927035,-101.96707348556592,True
DOGE/USDT:USDT,4h,0,oos_warm,15,32,10,22,0,15.000000000000004,-22.0,-8.722595862548676,-9.891877279810148,True
DOGE/USDT:USDT,4h,0,oos,11,19,9,10,0,13.5,-10.0,2.719435841289796,7.428396431375536,True
DOGE/USDT:USDT,4h,1,full,15,28,6,22,0,9.000000000000014,-22.0,-14.622939318923352,-34.081647952607156,True
DOGE/USDT:USDT,4h,1,is,9,15,2,13,0,3.0000000000000058,-13.0,-10.78481958436366,-31.858313306710933,True
DOGE/USDT:USDT,4h,1,oos_warm,6,13,4,9,0,6.000000000000009,-9.0,-3.838119734559693,-2.2233346458962004,True
DOGE/USDT:USDT,4h,1,oos,3,3,3,0,0,4.5000000000000036,0.0,4.3652456213844495,10.53240842068971,True
DOGE/USDT:USDT,4h,2,full,3,6,0,6,0,0.0,-6.0,-6.406930003677456,-11.105867376235604,True
DOGE/USDT:USDT,4h,2,is,2,2,0,2,0,0.0,-2.0,-2.127557472477463,-4.276790823190796,True
DOGE/USDT:USDT,4h,2,oos_warm,1,4,0,4,0,0.0,-4.0,-4.279372531199992,-6.829076553044805,True
DOGE/USDT:USDT,4h,2,oos,0,0,0,0,0,0.0,0.0,0.0,0.0,True
DOGE/USDT:USDT,4h,3,full,1,3,0,3,0,0.0,-3.0,-3.2095293983999937,-5.1218074147836035,True
DOGE/USDT:USDT,4h,3,is,0,0,0,0,0,0.0,0.0,0.0,0.0,True
DOGE/USDT:USDT,4h,3,oos_warm,1,3,0,3,0,0.0,-3.0,-3.2095293983999937,-5.1218074147836035,True
DOGE/USDT:USDT,4h,3,oos,0,0,0,0,0,0.0,0.0,0.0,0.0,True
LINK/USDT:USDT,4h,0,full,24,48,11,37,0,16.499999999999986,-37.0,-22.422053010979663,-87.53289136791406,True
LINK/USDT:USDT,4h,0,is,17,35,8,27,0,11.999999999999986,-27.0,-16.26658572700199,-75.69550128563114,True
LINK/USDT:USDT,4h,0,oos_warm,7,13,3,10,0,4.5,-10.0,-6.1554672839776625,-11.83739008228294,True
LINK/USDT:USDT,4h,0,oos,7,13,3,10,0,4.5,-10.0,-6.1554672839776625,-11.83739008228294,True
LINK/USDT:USDT,4h,1,full,9,15,5,10,0,7.499999999999995,-10.0,-3.0841829763563897,-31.164032682708452,True
LINK/USDT:USDT,4h,1,is,5,9,3,6,0,4.499999999999995,-6.0,-1.782926805448904,-29.026911708740087,True
LINK/USDT:USDT,4h,1,oos_warm,4,6,2,4,0,3.0,-4.0,-1.3012561709074857,-2.1371209739683663,True
LINK/USDT:USDT,4h,1,oos,4,6,2,4,0,3.0,-4.0,-1.3012561709074857,-2.1371209739683663,True
LINK/USDT:USDT,4h,2,full,2,5,0,5,0,0.0,-5.0,-5.110715493922825,-34.69336276299546,True
