arm,symbol,timeframe,width_label,width_threshold,guard,total_taps,surviving_taps,survival_share,adopted_point,below_sample_gate
proximal,BTC/USDT:USDT,15m,0.60,0.6,0.002,6865,313,0.04559359067734887,False,False
proximal,BTC/USDT:USDT,15m,0.60,0.6,0.0025,6865,237,0.03452294246176257,False,False
proximal,BTC/USDT:USDT,15m,0.60,0.6,0.003,6865,186,0.027093954843408593,False,False
proximal,BTC/USDT:USDT,15m,0.60,0.6,0.004,6865,105,0.01529497450837582,False,False
proximal,BTC/USDT:USDT,15m,0.60,0.6,0.005,6865,59,0.008594319009468318,False,False
mid,BTC/USDT:USDT,15m,off,,0.0,6865,6865,1.0,False,False
mid,BTC/USDT:USDT,15m,off,,0.002,6865,4654,0.677931536780772,False,False
mid,BTC/USDT:USDT,15m,off,,0.0025,6865,3733,0.5437727603787327,False,False
mid,BTC/USDT:USDT,15m,off,,0.003,6865,2996,0.4364166059723234,False,False
mid,BTC/USDT:USDT,15m,off,,0.004,6865,1958,0.2852148579752367,False,False
mid,BTC/USDT:USDT,15m,off,,0.005,6865,1347,0.19621267297887837,False,False
mid,BTC/USDT:USDT,15m,2.60,2.6,0.0,6865,5741,0.8362709395484341,False,False
mid,BTC/USDT:USDT,15m,2.60,2.6,0.002,6865,3583,0.5219227967953387,False,False
mid,BTC/USDT:USDT,15m,2.60,2.6,0.0025,6865,2721,0.39635833940276766,False,False
mid,BTC/USDT:USDT,15m,2.60,2.6,0.003,6865,2037,0.2967225054624909,False,False
mid,BTC/USDT:USDT,15m,2.60,2.6,0.004,6865,1182,0.17217771303714494,False,False
mid,BTC/USDT:USDT,15m,2.60,2.6,0.005,6865,697,0.10152949745083759,False,False
mid,BTC/USDT:USDT,15m,1.80,1.8,0.0,6865,4515,0.6576839038601602,False,False
mid,BTC/USDT:USDT,15m,1.80,1.8,0.002,6865,2512,0.3659140568099053,False,False
mid,BTC/USDT:USDT,15m,1.80,1.8,0.0025,6865,1792,0.261034231609614,False,False
mid,BTC/USDT:USDT,15m,1.80,1.8,0.003,6865,1242,0.18091769847050254,False,False
mid,BTC/USDT:USDT,15m,1.80,1.8,0.004,6865,634,0.09235251274581209,False,False
mid,BTC/USDT:USDT,15m,1.80,1.8,0.005,6865,331,0.04821558630735615,False,False
mid,BTC/USDT:USDT,15m,1.55,1.55,0.0,6865,3885,0.5659140568099054,False,False
mid,BTC/USDT:USDT,15m,1.55,1.55,0.002,6865,2002,0.29162418062636564,False,False
mid,BTC/USDT:USDT,15m,1.55,1.55,0.0025,6865,1363,0.19854333576110705,False,False
mid,BTC/USDT:USDT,15m,1.55,1.55,0.003,6865,905,0.13182811361981064,False,False
mid,BTC/USDT:USDT,15m,1.55,1.55,0.004,6865,422,0.06147123088128186,False,False
mid,BTC/USDT:USDT,15m,1.55,1.55,0.005,6865,211,0.03073561544064093,False,False
mid,BTC/USDT:USDT,15m,1.28,1.28,0.0,6865,2955,0.4304442825928623,False,False
mid,BTC/USDT:USDT,15m,1.28,1.28,0.002,6865,1283,0.1868900218499636,False,False
mid,BTC/USDT:USDT,15m,1.28,1.28,0.0025,6865,818,0.1191551347414421,False,False
mid,BTC/USDT:USDT,15m,1.28,1.28,0.003,6865,524,0.07632920611798981,True,False
mid,BTC/USDT:USDT,15m,1.28,1.28,0.004,6865,231,0.0336489439184268,False,False
mid,BTC/USDT:USDT,15m,1.28,1.28,0.005,6865,116,0.016897305171158047,False,False
mid,BTC/USDT:USDT,15m,1.15,1.15,0.0,6865,2497,0.3637290604515659,False,False
mid,BTC/USDT:USDT,15m,1.15,1.15,0.002,6865,977,0.14231609613983975,False,False
mid,BTC/USDT:USDT,15m,1.15,1.15,0.0025,6865,604,0.08798252002913329,False,False
mid,BTC/USDT:USDT,15m,1.15,1.15,0.003,6865,385,0.056081573197378005,False,False
mid,BTC/USDT:USDT,15m,1.15,1.15,0.004,6865,164,0.023889293517844138,False,False
mid,BTC/USDT:USDT,15m,1.15,1.15,0.005,6865,82,0.011944646758922069,False,False
mid,BTC/USDT:USDT,15m,1.00,1.0,0.0,6865,1943,0.2830298616168973,False,False
mid,BTC/USDT:USDT,15m,1.00,1.0,0.002,6865,656,0.09555717407137655,False,False
mid,BTC/USDT:USDT,15m,1.00,1.0,0.0025,6865,380,0.055353241077931534,False,False
mid,BTC/USDT:USDT,15m,1.00,1.0,0.003,6865,230,0.033503277494537506,False,False
mid,BTC/USDT:USDT,15m,1.00,1.0,0.004,6865,102,0.014857975236707939,False,False
mid,BTC/USDT:USDT,15m,1.00,1.0,0.005,6865,51,0.007428987618353969,False,False
mid,BTC/USDT:USDT,15m,0.90,0.9,0.0,6865,1579,0.23000728332119447,False,False
mid,BTC/USDT:USDT,15m,0.90,0.9,0.002,6865,475,0.06919155134741442,False,False
mid,BTC/USDT:USDT,15m,0.90,0.9,0.0025,6865,259,0.03772760378732702,False,False
mid,BTC/USDT:USDT,15m,0.90,0.9,0.003,6865,158,0.023015294974508375,False,False
mid,BTC/USDT:USDT,15m,0.90,0.9,0.004,6865,72,0.010487982520029132,False,False
mid,BTC/USDT:USDT,15m,0.90,0.9,0.005,6865,38,0.005535324107793154,False,False
mid,BTC/USDT:USDT,15m,0.80,0.8,0.0,6865,1191,0.1734887108521486,False,False
mid,BTC/USDT:USDT,15m,0.80,0.8,0.002,6865,316,0.04603058994901675,False,False
mid,BTC/USDT:USDT,15m,0.80,0.8,0.0025,6865,176,0.02563729060451566,False,False
mid,BTC/USDT:USDT,15m,0.80,0.8,0.003,6865,109,0.015877640203932994,False,False
mid,BTC/USDT:USDT,15m,0.80,0.8,0.004,6865,50,0.007283321194464676,False,False
mid,BTC/USDT:USDT,15m,0.80,0.8,0.005,6865,27,0.003932993445010925,False,False
mid,BTC/USDT:USDT,15m,0.60,0.6,0.0,6865,551,0.08026219956300072,False,False
mid,BTC/USDT:USDT,15m,0.60,0.6,0.002,6865,123,0.017916970138383104,False,False
mid,BTC/USDT:USDT,15m,0.60,0.6,0.0025,6865,65,0.009468317552804079,False,False
mid,BTC/USDT:USDT,15m,0.60,0.6,0.003,6865,38,0.005535324107793154,False,False
mid,BTC/USDT:USDT,15m,0.60,0.6,0.004,6865,17,0.0024763292061179896,False,True
mid,BTC/USDT:USDT,15m,0.60,0.6,0.005,6865,10,0.0014566642388929353,False,True
proximal,BTC/USDT:USDT,1h,off,,0.0,1741,1741,1.0,False,False
proximal,BTC/USDT:USDT,1h,off,,0.002,1741,1734,0.9959793222286043,False,False
proximal,BTC/USDT:USDT,1h,off,,0.0025,1741,1720,0.9879379666858128,False,False
proximal,BTC/USDT:USDT,1h,off,,0.003,1741,1700,0.9764503159103963,False,False
