symbol,timeframe,segment,window,entry_mode,take_profit_r,offset_bps,retap_mode,position_mode,portfolio_leverage,combine_obs,max_zone_width_atr,fill,seed,start_time,end_time,num_bars,num_trades,win_rate,total_return,max_drawdown,sharpe,profit_factor,mean_r,fill_rate,eligible_setups,num_filled,funding_coverage
TRX/USDT:USDT,1d,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1723161600000,1784592000000,712,1,0.0,-0.0086824909812707,0.0086824909812707,,0.0,-1.0,0.2,5,1,1.0
DOGE/USDT:USDT,1d,full,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1600128000000,1784592000000,2136,14,0.7142857142857143,0.1113121692759943,0.010329567954321,12.461924615620136,3.4476667935970675,0.7857142857142857,0.5833333333333334,24,14,0.0
DOGE/USDT:USDT,1d,is,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1600128000000,1723075200000,1424,8,0.875,0.0968014331093036,0.0101288012550295,25.285881083280486,9.62530410979054,1.1875,0.8,10,8,0.0
DOGE/USDT:USDT,1d,oos_warm,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1723161600000,1784592000000,712,6,0.5,0.0132300485107451,0.0103295679543209,3.1723953909043794,1.4236230331420647,0.25,0.4285714285714285,14,6,0.0
DOGE/USDT:USDT,1d,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1723161600000,1784592000000,712,4,0.5,0.0090187291409962,0.0101980147320539,3.0824627797791235,1.436631485790924,0.25,0.3333333333333333,12,4,0.0
LINK/USDT:USDT,1d,full,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1600128000000,1784592000000,2136,10,0.5,0.0222297244079862,0.0201057708337495,3.320977373924971,1.4264451202134771,0.25,0.6086956521739131,23,14,0.0
LINK/USDT:USDT,1d,is,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1600128000000,1723075200000,1424,5,0.6,0.0235734741999589,0.0101337731601787,6.677831950921946,2.1366030925974107,0.5,0.7272727272727273,11,8,0.0
LINK/USDT:USDT,1d,oos_warm,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1723161600000,1784592000000,712,5,0.4,-0.0013128024766596,0.0102375628895337,-0.2628131358620328,0.957188646684564,0.0,0.5,12,6,0.0
LINK/USDT:USDT,1d,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1723161600000,1784592000000,712,3,0.3333333333333333,-0.0056397394105071,0.0102136603113376,-2.4025706257485924,0.722657749933832,-0.1666666666666666,0.4,10,4,0.0
LTC/USDT:USDT,1d,full,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1600128000000,1784592000000,2136,13,0.7692307692307693,0.1202476199300672,0.0201388698846842,15.599264727599609,4.906227280151384,0.9230769230769232,0.6818181818181818,22,15,0.0
LTC/USDT:USDT,1d,is,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1600128000000,1723075200000,1424,10,0.7,0.0741093356338689,0.0201388698846842,11.547362823653575,3.407431504550967,0.75,0.6875,16,11,0.0
LTC/USDT:USDT,1d,oos_warm,0,zone_limit,1.5,2.0,every_tap,single,,False,1.28,baseline,0,1723161600000,1784592000000,712,3,1.0,0.042954923456624,0.0,264.37673259060574,,1.5,0.6666666666666666,6,4,0.0
