scope,arm,width_label,width_threshold,guard,reentry,segment,num_cells,num_symbols,num_trades,win_rate,total_return,mean_net_r,max_drawdown,peak_concurrency,liquidation_events,symbols_below_gate,min_symbol_trades,adopted_point,exclude
15m+1h+2h+4h,bollinger,1.28,1.28,0.003,True,full,44,11,27686,0.4087986708083508,-0.9999999917409113,-0.1029617512844426,0.9999999942175724,13,0,0,1755,False,-BCH
15m+1h+2h+4h,bollinger,1.28,1.28,0.003,True,oos_warm,44,11,8677,0.402558487956667,-0.999476971908423,-0.131680080383908,0.9995729103110064,10,0,0,333,False,-BCH
15m+1h+2h+4h,bollinger,1.28,1.28,0.003,True,full,44,11,28146,0.4073758260498827,-0.9999999964695786,-0.1057664734278772,0.9999999979645072,12,0,0,1756,False,-BNB
15m+1h+2h+4h,bollinger,1.28,1.28,0.003,True,oos_warm,44,11,8959,0.4046210514566358,-0.9994091684474732,-0.1249802558065089,0.9995329705046616,11,0,0,340,False,-BNB
15m+1h+2h+4h,bollinger,1.28,1.28,0.003,True,full,44,11,28368,0.4058093626621545,-0.9999999981476946,-0.1087674556502817,0.9999999984040976,14,0,0,1765,False,-BTC
15m+1h+2h+4h,bollinger,1.28,1.28,0.003,True,oos_warm,44,11,8991,0.401735068401735,-0.9996005107697554,-0.1316964687507598,0.9996529769474144,12,0,0,340,False,-BTC
15m+1h+2h+4h,bollinger,1.28,1.28,0.003,True,full,44,11,27619,0.4066041493174988,-0.9999999966736824,-0.1090321308417087,0.9999999973414768,14,0,0,1763,False,-DOGE
15m+1h+2h+4h,bollinger,1.28,1.28,0.003,True,oos_warm,44,11,8573,0.4042925463664995,-0.9991798912264224,-0.1281227670035884,0.999336907324427,11,0,0,342,False,-DOGE
15m+1h+2h+4h,bollinger,1.28,1.28,0.003,True,full,44,11,27586,0.4082868121510911,-0.9999999892425327,-0.1048679539380311,0.9999999923627952,14,0,0,1757,False,-DOT
15m+1h+2h+4h,bollinger,1.28,1.28,0.003,True,oos_warm,44,11,8685,0.4018422567645365,-0.999406176389724,-0.1337875992285543,0.999471762418257,11,0,0,340,False,-DOT
15m+1h+2h+4h,bollinger,1.28,1.28,0.003,True,full,44,11,27951,0.4082143751565239,-0.999999992979703,-0.1035728761362838,0.9999999947617698,14,0,0,1759,False,-ETH
15m+1h+2h+4h,bollinger,1.28,1.28,0.003,True,oos_warm,44,11,8686,0.4019111213446926,-0.9995269539348414,-0.1323332780887937,0.9996447085574344,11,0,0,341,False,-ETH
15m+1h+2h+4h,bollinger,1.28,1.28,0.003,True,full,44,11,27674,0.4084700440847004,-0.9999999892612595,-0.1047356020885906,0.9999999933129098,14,0,0,1758,False,-LINK
15m+1h+2h+4h,bollinger,1.28,1.28,0.003,True,oos_warm,44,11,8700,0.404367816091954,-0.9992235753033332,-0.1276699765791019,0.9993952504420056,11,0,0,341,False,-LINK
