scope,arm,fill,segment,exclude_symbol,num_cells,num_symbols,num_trades,win_rate,total_return,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,liquidation_events
all,long_only,baseline,full,,27,9,4570,0.5975929978118162,31000.162480529667,0.1299669332623393,238523.45902442408,12,0.1079015706927413,0
all,long_only,baseline,is,,27,9,2961,0.61870989530564,6748.639678590233,0.1299669332623393,51925.82073909558,11,0.1079015706927413,0
all,long_only,baseline,oos_warm,,27,9,1598,0.5563204005006258,29.673039792278846,0.1559142803141034,190.31636956217108,12,0.1135906961972122,0
all,long_only,baseline,oos,,27,9,1525,0.5449180327868852,17.122410924195194,0.1559142803141033,109.81938851079296,8,0.0804345124223702,0
all,long_only,baseline,full,ETH,24,8,4037,0.5964825365370324,12710.257794137382,0.1224126365804987,103831.25589962356,12,0.1071603198130938,0
all,long_only,baseline,is,ETH,24,8,2635,0.6242884250474383,4262.271426573703,0.1224126365804987,34818.88427238333,11,0.1071603198130938,0
all,long_only,baseline,oos_warm,ETH,24,8,1396,0.5429799426934098,12.975643580019948,0.1556688805435412,83.35412662256927,9,0.0887495830533052,0
all,long_only,baseline,oos,ETH,24,8,1338,0.531390134529148,7.947089687093316,0.1556688805435409,51.051241965284746,8,0.0759372433249035,0
all,long_only,baseline,full,SOL,24,8,3971,0.5995970788214555,15791.866468091226,0.1396692476718266,113066.16690022222,11,0.1079015706927413,0
all,long_only,baseline,is,SOL,24,8,2576,0.6238354037267081,3487.6829180232317,0.1396692476718266,24971.01528188978,11,0.1079015706927413,0
all,long_only,baseline,oos_warm,SOL,24,8,1391,0.5535585909417685,15.263458837126617,0.1595089746096553,95.69028247143336,11,0.1068638342877472,0
all,long_only,baseline,oos,SOL,24,8,1344,0.5431547619047619,10.163096121669255,0.1595089746096548,63.71488592751633,8,0.0804345124223702,0
all,long_only,baseline,full,DOGE,24,8,4085,0.598531211750306,19813.101247560357,0.118106065932024,167756.8471289509,11,0.1071603198130939,0
all,long_only,baseline,is,DOGE,24,8,2659,0.6171493042497179,3821.409919143953,0.118106065932024,32355.746413087418,11,0.1071603198130939,0
all,long_only,baseline,oos_warm,DOGE,24,8,1417,0.5610444601270289,23.604319995756157,0.160535329235796,147.0350489709706,10,0.0996684088627731,0
all,long_only,baseline,oos,DOGE,24,8,1356,0.551622418879056,14.982118482349556,0.1605353292357957,93.3259896975306,8,0.0804345124223702,0
all,long_short,baseline,full,,27,9,8904,0.5722147349505841,124056.94828589055,0.1626155392209003,762884.9547850959,12,0.1079015706927414,0
all,long_short,baseline,is,,27,9,5790,0.5872193436960277,37164.987684628555,0.1626155392209003,228545.1185211941,11,0.1079015706927414,0
all,long_short,baseline,oos_warm,,27,9,3101,0.5440180586907449,203.3119576136475,0.2377390015152158,855.1897514410781,12,0.1135916348805935,0
all,long_short,baseline,oos,,27,9,2847,0.5388127853881278,92.39103977480596,0.2377390015152161,388.623823545808,8,0.0804345124223703,0
all,long_short,baseline,full,ETH,24,8,7890,0.5724968314321927,57285.91439014955,0.1214406833982022,471719.3018612212,12,0.1071603198130938,0
all,long_short,baseline,is,ETH,24,8,5183,0.5917422342272814,24074.607330134397,0.1214406833982022,198241.6983869739,11,0.1071603198130938,0
all,long_short,baseline,oos_warm,ETH,24,8,2701,0.5353572750833024,67.64199914404409,0.2535203890465268,266.81088412037036,11,0.0887495830533052,0
all,long_short,baseline,oos,ETH,24,8,2493,0.529482551143201,34.18444235995392,0.2535203890465272,134.83902611746245,8,0.0759372433249035,0
all,long_short,baseline,full,SOL,24,8,7667,0.5729750880396505,64018.59757882142,0.1509325771355973,424153.61079607974,11,0.1079015706927413,0
all,long_short,baseline,is,SOL,24,8,4959,0.588626739261948,16964.06504613837,0.1509325771355973,112394.98700733052,11,0.1079015706927413,0
all,long_short,baseline,oos_warm,SOL,24,8,2703,0.5442101368849427,94.49363262448318,0.2642533331828596,357.58728749542354,11,0.1068638342877472,0
all,long_short,baseline,oos,SOL,24,8,2486,0.5386162510056315,47.74197782799443,0.2642533331828596,180.66745744681924,8,0.0804345124223702,0
all,long_short,baseline,full,DOGE,24,8,7991,0.57101739456889,86851.82651553799,0.1765437215553479,491956.47259712487,11,0.1071603198130939,0
all,long_short,baseline,is,DOGE,24,8,5232,0.5831422018348624,21849.885936763658,0.1765437215553479,123764.72946342378,11,0.1071603198130939,0
all,long_short,baseline,oos_warm,DOGE,24,8,2748,0.5476710334788938,142.80260390902208,0.227809935334363,626.8497627174454,11,0.0996695442323594,0
all,long_short,baseline,oos,DOGE,24,8,2533,0.5432293722858271,71.7101860120572,0.2278099353343627,314.7807662857472,8,0.0804345124223702,0
1h,long_only,baseline,full,,9,9,2588,0.5950540958268934,1366.2650905546514,0.1122827512752091,12168.076352225156,6,0.0591543451822215,0
1h,long_only,baseline,is,,9,9,1704,0.6179577464788732,339.26335554614013,0.1122827512752091,3021.5091070808658,6,0.0591543451822215,0
1h,long_only,baseline,oos_warm,,9,9,884,0.5509049773755657,4.382640312230025,0.1073285303520182,40.83387984402427,5,0.05,0
1h,long_only,baseline,oos,,9,9,857,0.5425904317386231,3.4704476065945156,0.1073285303520175,32.334809721255795,5,0.05,0
1h,long_only,baseline,full,ETH,8,8,2289,0.5915246832678025,618.0816208419131,0.1360477143128673,4543.123888289059,6,0.0591543451822215,0
1h,long_only,baseline,is,ETH,8,8,1516,0.6233509234828496,244.40057735305027,0.1075329866780395,2272.7963288586116,6,0.0591543451822215,0
1h,long_only,baseline,oos_warm,ETH,8,8,773,0.5291073738680466,2.1050886902749584,0.1436243788251421,14.656903706005464,4,0.04,0
1h,long_only,baseline,oos,ETH,8,8,750,0.52,1.6350302508775236,0.1436243788251416,11.384071870334235,4,0.04,0
1h,long_only,baseline,full,SOL,8,8,2251,0.5988449577965349,614.0540068078427,0.0988656239538945,6210.996120291553,6,0.0495747038364174,0
1h,long_only,baseline,is,SOL,8,8,1480,0.6263513513513513,198.52713764765613,0.0870282358114687,2281.180766179495,6,0.0495747038364174,0
1h,long_only,baseline,oos_warm,SOL,8,8,771,0.5460440985732814,2.7225042561974035,0.1001526446254574,27.183548336429848,4,0.04,0
1h,long_only,baseline,oos,SOL,8,8,754,0.5384615384615384,2.2986016332618964,0.1001526446254563,22.95098289074684,4,0.04,0
1h,long_only,baseline,full,DOGE,8,8,2320,0.5978448275862069,778.5679417678826,0.0973547515718404,7997.22591036924,6,0.0591543451822215,0
1h,long_only,baseline,is,DOGE,8,8,1535,0.6169381107491857,181.6585223394676,0.0973547515718404,1865.9440798368985,6,0.0591543451822215,0
1h,long_only,baseline,oos_warm,DOGE,8,8,785,0.5605095541401274,4.212169027134121,0.091844278525258,45.86207322621339,5,0.05,0
1h,long_only,baseline,oos,DOGE,8,8,758,0.5514511873350924,3.328865984148282,0.0918442785252578,36.244674546959615,5,0.05,0
1h,long_short,baseline,full,,9,9,5243,0.5746709898912836,14481.73114187121,0.1376098913204106,105237.57415193335,6,0.0591543451822215,0
1h,long_short,baseline,is,,9,9,3412,0.5888042203985931,3417.5098253043875,0.1376098913204106,24834.76872565114,6,0.0591543451822215,0
1h,long_short,baseline,oos_warm,,9,9,1831,0.5483342435827416,23.22438273055777,0.1483972122475927,156.5014758620205,5,0.0502677469908876,0
1h,long_short,baseline,oos,,9,9,1716,0.5472027972027972,18.035963511806987,0.1483972122475926,121.53842541000682,5,0.0502677469908876,0
1h,long_short,baseline,full,ETH,8,8,4638,0.5739542906425183,6017.025895354896,0.1138340770937633,52857.86162608202,6,0.0591543451822215,0
1h,long_short,baseline,is,ETH,8,8,3051,0.5932481153720092,2291.1935081913507,0.1138340770937633,20127.483497794165,6,0.0591543451822215,0
1h,long_short,baseline,oos_warm,ETH,8,8,1587,0.5368620037807184,9.854077802445827,0.1440445545691922,68.4099293577418,5,0.0502677469908876,0
1h,long_short,baseline,oos,ETH,8,8,1489,0.5339153794492948,7.546546657484512,0.1440445545691918,52.39036407904975,5,0.0502677469908876,0
1h,long_short,baseline,full,SOL,8,8,4512,0.5766843971631206,6451.747786694628,0.1165308029577212,55365.170606739906,6,0.0571666074508434,0
1h,long_short,baseline,is,SOL,8,8,2917,0.5920466232430579,1456.2429581462395,0.1165308029577212,12496.635406130186,6,0.0571666074508434,0
1h,long_short,baseline,oos_warm,SOL,8,8,1595,0.54858934169279,13.845208742591057,0.164433016178345,84.19968850765629,4,0.0401784979939251,0
1h,long_short,baseline,oos,SOL,8,8,1496,0.5474598930481284,11.239439106720578,0.1644330161783455,68.35269076698185,4,0.0401784979939251,0
1h,long_short,baseline,full,DOGE,8,8,4708,0.574553950722175,9197.597752378308,0.1300054556538136,70747.78289974405,6,0.0591543451822215,0
1h,long_short,baseline,is,DOGE,8,8,3085,0.586061588330632,1728.7403368854314,0.1300054556538136,13297.44454331844,6,0.0591543451822215,0
1h,long_short,baseline,oos_warm,DOGE,8,8,1623,0.5526802218114603,18.08604515035191,0.1562117525185175,115.77902980256218,5,0.05,0
1h,long_short,baseline,oos,DOGE,8,8,1525,0.5514754098360656,14.317889807895469,0.1562117525185174,91.65693090984443,5,0.05,0
2h,long_only,baseline,full,,9,9,1318,0.6016691957511381,108.0935197743334,0.0983008907215535,1099.618924924275,6,0.0516234306900772,0
2h,long_only,baseline,is,,9,9,851,0.618096357226792,33.884370438856756,0.0983008907215535,344.70054330267857,5,0.05,0
2h,long_only,baseline,oos_warm,,9,9,467,0.5717344753747323,2.225571388224444,0.0773603761072615,28.76888014529105,6,0.0555572780059331,0
2h,long_only,baseline,oos,,9,9,441,0.562358276643991,1.7255641429519626,0.0915420266373214,18.849966581889667,5,0.049484156811794,0
2h,long_only,baseline,full,ETH,8,8,1165,0.6017167381974249,66.23484096981493,0.1107909072175876,597.8364347151078,6,0.0526897814560426,0
