symbol,timeframe,version,side,total_return,max_drawdown,funding_coverage,num_trades,num_wins,win_rate,avg_r,num_tp_exits,avg_tp_distance_pct,sum_return_pct,realized_pnl,gross_profit,gross_loss,profit_factor
BTC/USDT:USDT,15m,before,long,-0.5996346656053063,0.6001962227559613,1.0,193.0,70.0,0.3626943005181347,-0.2679986554170489,86.0,0.0051521978715613915,-0.5542202481306315,-3156.5042396631798,2409.768978212251,5566.273217875433,0.432923229580891
BTC/USDT:USDT,15m,before,short,-0.5996346656053063,0.6001962227559613,1.0,189.0,75.0,0.3968253968253968,-0.20588926692589601,88.0,0.004608739330948433,-0.39717239267930643,-2839.8424163898726,2229.9029485779133,5069.745364967784,0.4398451575076461
BTC/USDT:USDT,15m,after,long,-0.6373204822585494,0.6402769822709848,1.0,193.0,62.0,0.32124352331606215,-0.31091456464927497,63.0,0.009169472465892187,-0.6500251440637556,-3464.605515845494,3019.322594609089,6483.92811045459,0.46566256491042485
BTC/USDT:USDT,15m,after,short,-0.6373204822585494,0.6402769822709848,1.0,189.0,63.0,0.3333333333333333,-0.21181138196174099,66.0,0.008441783144542171,-0.39277552916404573,-2908.5993067399863,2989.5692930827877,5898.168599822771,0.5068639938798322
BTC/USDT:USDT,1h,before,long,-0.06129488204343816,0.13205027197476704,1.0,46.0,24.0,0.5217391304347826,-0.027358175273643023,26.0,0.014008014772255242,0.021574097449491885,-204.26588073843305,2227.3111190311147,2431.576999769548,0.9159944839263604
BTC/USDT:USDT,1h,before,short,-0.06129488204343816,0.13205027197476704,1.0,56.0,29.0,0.5178571428571429,-0.07789004268866796,34.0,0.0073313951877960045,-0.05929618391550237,-408.68293969594225,1790.61548232596,2199.2984220219023,0.8141757682342063
BTC/USDT:USDT,1h,after,long,-0.10640005709259985,0.21447006152542142,1.0,46.0,15.0,0.32608695652173914,-0.21900879125558198,16.0,0.02687375053294239,-0.05610895548895302,-1034.5346837210732,2295.2844694587193,3329.8191531797925,0.6893120508562305
BTC/USDT:USDT,1h,after,short,-0.10640005709259985,0.21447006152542142,1.0,56.0,28.0,0.5,-0.0012113872792040015,28.0,0.0142979378176598,0.013241079628958438,-29.46588720492266,2728.717840316024,2758.1837275209473,0.989316923702031
BTC/USDT:USDT,2h,before,long,-0.005625392298330735,0.09390051969778727,1.0,27.0,13.0,0.48148148148148145,-0.29761930732165837,13.0,0.017844853734911566,-0.06313673911783034,-799.057386953447,945.7201775413491,1744.7775644947963,0.5420290796868334
BTC/USDT:USDT,2h,before,short,-0.005625392298330735,0.09390051969778727,1.0,24.0,18.0,0.75,0.3261469864103369,18.0,0.014082101728328224,0.0813999336244156,742.8034639701391,1480.0591071998917,737.2556432297525,2.007524962055337
BTC/USDT:USDT,2h,after,long,-0.08397154906140404,0.17043896861292326,1.0,27.0,12.0,0.4444444444444444,-0.1256039242439562,12.0,0.031049165671928027,0.04330508991110667,-362.71451589727906,1378.405176199688,1741.119692096967,0.7916774374882675
BTC/USDT:USDT,2h,after,short,-0.08397154906140404,0.17043896861292326,1.0,24.0,10.0,0.4166666666666667,-0.19954777403703985,10.0,0.024482498304077838,-0.13055204985560187,-477.00097471676213,1320.8114948434973,1797.8124695602596,0.7346770128736311
BTC/USDT:USDT,4h,before,long,-0.2235858309116583,0.23034494800756344,1.0,18.0,6.0,0.3333333333333333,-0.5991347656089784,6.0,0.028399177047763485,-0.13814097337076736,-938.060678390037,346.3031635948219,1284.363841984859,0.2696301096888902
BTC/USDT:USDT,4h,before,short,-0.2235858309116583,0.23034494800756344,1.0,17.0,4.0,0.23529411764705882,-0.8359739252030558,6.0,0.01121480261921186,-0.38260811959768826,-1297.797630726544,248.35188602762037,1546.1495167541643,0.16062604769879316
BTC/USDT:USDT,4h,after,long,-0.22274189892204369,0.2274895280879995,1.0,18.0,5.0,0.2777777777777778,-0.5924594867356091,5.0,0.03772526234992296,-0.1498945448704055,-935.3518116172202,433.0854562127908,1368.4372678300108,0.3164817755216159
BTC/USDT:USDT,4h,after,short,-0.22274189892204369,0.2274895280879995,1.0,17.0,4.0,0.23529411764705882,-0.8319429512145731,4.0,0.034538620558270776,-0.3698569592792266,-1292.0671776032198,481.6871074942391,1773.754285097459,0.2715636046893456
BTC/USDT:USDT,1d,before,long,-0.005634581180035457,0.02066874436699281,1.0,2.0,2.0,1.0,0.6290939769631301,2.0,0.061009200005260514,0.11798822265051681,124.54351299482786,124.54351299482786,0.0,
BTC/USDT:USDT,1d,before,short,-0.005634581180035457,0.02066874436699281,1.0,5.0,2.0,0.4,-0.3611775850962566,2.0,0.02646909492048265,-0.11297437554220437,-180.88932479518408,85.81732543149164,266.7066502266757,0.3217667251962219
BTC/USDT:USDT,1d,after,long,-0.030635616437686985,0.043726320655613465,1.0,2.0,1.0,0.5,-0.20638907165425469,1.0,0.08892888214501242,0.015683579254333987,-41.89487052328915,63.38532627124973,105.28019679453888,0.602063143887832
BTC/USDT:USDT,1d,after,short,-0.030635616437686985,0.043726320655613465,1.0,5.0,1.0,0.2,-0.5341441220767769,1.0,0.048822330295672255,-0.20711161229225025,-264.461293853578,93.25957715271039,357.72087100628846,0.2607048811280317
