floor,hold,threshold,segment,arm_trades,arm_mean_r,floor_trades,floor_mean_r,k_marginal,null_mean_r,p_value,significant
0.0,4,15.0,full,76,0.381428072135048,1444,-0.215173617001341,0.596601689136389,-0.22849729945701974,0.005,True
0.0,4,15.0,is,43,0.623514507672807,968,-0.20586006174146637,0.8293745694142733,-0.2589558559565438,0.0,True
0.0,4,15.0,oos_warm,33,0.06598211067675562,476,-0.23411378820209486,0.30009589887885046,-0.21879939143180277,0.14,False
0.0,4,20.0,full,195,0.12047930247228292,1444,-0.215173617001341,0.3356529194736239,-0.2227705722700925,0.0,True
0.0,4,20.0,is,115,0.23438404289981601,968,-0.20586006174146637,0.4402441046412824,-0.2180429423824523,0.01,True
0.0,4,20.0,oos_warm,80,-0.0432587618922959,476,-0.23411378820209486,0.19085502630979895,-0.21849534650025604,0.16,False
0.0,4,25.0,full,337,-0.003925780022135612,1444,-0.215173617001341,0.21124783697920538,-0.22112784461616136,0.0,True
0.0,4,25.0,is,203,0.126133590911888,968,-0.20586006174146637,0.33199365265335434,-0.214035094994646,0.0,True
0.0,4,25.0,oos_warm,134,-0.2009560210639774,476,-0.23411378820209486,0.03315776713811747,-0.2202657433556504,0.425,False
0.0,8,15.0,full,76,0.45314804913505674,1444,-0.24941850851009376,0.7025665576451505,-0.2710096786170065,0.005,True
0.0,8,15.0,is,43,0.6615423031036062,968,-0.2810558932281407,0.9425981963317469,-0.2816665545883933,0.01,True
0.0,8,15.0,oos_warm,33,0.1816040212366431,476,-0.18508029757087266,0.36668431880751573,-0.20859262889851723,0.13,False
0.0,8,20.0,full,195,0.1794549971013553,1444,-0.24941850851009376,0.42887350561144905,-0.24562105651438884,0.0,True
0.0,8,20.0,is,115,0.26574751347692693,968,-0.2810558932281407,0.5468034067050676,-0.3105645963463648,0.0,True
0.0,8,20.0,oos_warm,80,0.05540950481147082,476,-0.18508029757087266,0.24048980238234346,-0.18213675379769514,0.125,False
0.0,8,25.0,full,337,0.08372774676463861,1444,-0.24941850851009376,0.33314625527473235,-0.24369713492446274,0.0,True
0.0,8,25.0,is,203,0.19116394995090502,968,-0.2810558932281407,0.4722198431790457,-0.2815973701972148,0.0,True
0.0,8,25.0,oos_warm,134,-0.07903008343545193,476,-0.18508029757087266,0.10605021413542073,-0.18122030667284375,0.245,False
0.02,4,15.0,full,28,0.2634924232759116,322,-0.035931067596746524,0.2994234908726581,0.045248912011752546,0.125,False
0.02,4,15.0,is,20,0.088365053441367,240,-0.07208049497145189,0.16044554841281888,-0.07584814703546915,0.25,False
0.02,4,15.0,oos_warm,8,0.7013108478622732,82,0.06987213447556173,0.6314387133867114,0.2897888661122856,0.09,False
0.02,4,20.0,full,65,0.07348054639028767,322,-0.035931067596746524,0.1094116139870342,0.028062726745466327,0.34,False
0.02,4,20.0,is,47,0.05875644592795625,240,-0.07208049497145189,0.13083694089940814,-0.04268998363918557,0.225,False
0.02,4,20.0,oos_warm,18,0.11192680870859749,82,0.06987213447556173,0.04205467423303576,0.18342132535163494,0.61,False
0.02,4,25.0,full,101,0.07029100845636668,322,-0.035931067596746524,0.1062220760531132,0.019346528002199784,0.245,False
0.02,4,25.0,is,73,0.05786981064182477,240,-0.07208049497145189,0.12995030561327664,-0.04270234863682587,0.17,False
0.02,4,25.0,oos_warm,28,0.10267484561570815,82,0.06987213447556173,0.03280271114014642,0.19556986328449877,0.74,False
0.02,8,15.0,full,28,0.32546880892105207,322,-0.02777040813983228,0.35323921706088435,0.05521466737123422,0.1,False
0.02,8,15.0,is,20,0.20924178266758414,240,-0.0869144467711575,0.29615622943874165,-0.05920165552197605,0.165,False
0.02,8,15.0,oos_warm,8,0.6160363745547218,82,0.14533409517136367,0.4707022793833582,0.31146153362158685,0.215,False
0.02,8,20.0,full,65,0.16659531121638427,322,-0.02777040813983228,0.19436571935621655,0.02246534100545283,0.135,False
0.02,8,20.0,is,47,0.1804469603058057,240,-0.0869144467711575,0.2673614070769632,-0.05466060978677298,0.075,False
0.02,8,20.0,oos_warm,18,0.13042711637178397,82,0.14533409517136367,-0.014906978799579695,0.2199607460706728,0.635,False
0.02,8,25.0,full,101,0.1938688130228799,322,-0.02777040813983228,0.22163922116271217,0.018623358975417493,0.035,True
0.02,8,25.0,is,73,0.19711278306373034,240,-0.0869144467711575,0.2840272298348878,-0.0848584143574498,0.005,True
0.02,8,25.0,oos_warm,28,0.1854113197020913,82,0.14533409517136367,0.04007722453072762,0.21125446490986705,0.605,False
0.03,4,15.0,full,10,0.9065859093141881,131,0.08404062572485324,0.8225452835893349,0.4139851070464063,0.055,False
0.03,4,15.0,is,6,0.049628162670493005,103,0.015171738537250689,0.03445642413324232,0.04319137473102562,0.46,False
0.03,4,15.0,oos_warm,4,2.192022529279731,28,0.33737974645067687,1.854642782829054,0.9472270603224934,0.005,False
0.03,4,20.0,full,20,0.4191232308105878,131,0.08404062572485324,0.3350826050857345,0.2025684906182253,0.165,False
0.03,4,20.0,is,13,0.10167133254811492,103,0.015171738537250689,0.08649959401086423,0.03540173795845372,0.4,False
0.03,4,20.0,oos_warm,7,1.0086767561551804,28,0.33737974645067687,0.6712970097045035,0.42476466605215457,0.04,False
0.03,4,25.0,full,39,0.40919216637091865,131,0.08404062572485324,0.32515154064606544,0.19392195710773005,0.055,False
0.03,4,25.0,is,28,0.2587666866695143,103,0.015171738537250689,0.24359494813226362,0.07635611928793858,0.14,False
0.03,4,25.0,oos_warm,11,0.792093387429039,28,0.33737974645067687,0.45471364097836214,0.45260296866218963,0.105,False
0.03,8,15.0,full,10,0.796355476375364,131,0.040196359167891486,0.7561591172074725,0.28506686623738986,0.11,False
0.03,8,15.0,is,6,0.06900412413261274,103,-0.009675288158878486,0.07867941229149122,0.04596560313775786,0.435,False
0.03,8,15.0,oos_warm,4,1.8873825047394912,28,0.2236527761199382,1.663729728619553,0.6642424439612817,0.015,False
0.03,8,20.0,full,20,0.49232115011533867,131,0.040196359167891486,0.4521247909474472,0.14060522566539344,0.06,False
0.03,8,20.0,is,13,0.3307243500250401,103,-0.009675288158878486,0.34039963818391855,0.021916024933098494,0.15,False
0.03,8,20.0,oos_warm,7,0.792429493140179,28,0.2236527761199382,0.5687767170202408,0.297213143758183,0.065,False
0.03,8,25.0,full,39,0.5681429338195795,131,0.040196359167891486,0.527946574651688,0.1158809171251634,0.0,True
0.03,8,25.0,is,28,0.4819055382225529,103,-0.009675288158878486,0.49158082638143136,0.03202717128852588,0.0,True
0.03,8,25.0,oos_warm,11,0.7876563044301927,28,0.2236527761199382,0.5640035283102546,0.3471182337762636,0.03,False
0.04,4,15.0,full,5,0.3193451573236899,70,0.07572325291235736,0.24362190441133252,0.3215968442633479,0.5,False
0.04,4,15.0,is,4,0.06227937781553067,61,0.030261660374542136,0.03201771744098853,0.08846149654853008,0.52,False
0.04,4,15.0,oos_warm,1,1.3476082753563268,9,0.3838518245575495,0.9637564507987773,1.347608275356327,1.0,False
0.04,4,20.0,full,9,0.4030511615906142,70,0.07572325291235736,0.32732790867825684,0.23860537755182304,0.225,False
0.04,4,20.0,is,8,0.28498152236990015,61,0.030261660374542136,0.254719861995358,0.1100691097731207,0.285,False
0.04,4,20.0,oos_warm,1,1.3476082753563268,9,0.3838518245575495,0.9637564507987773,1.347608275356327,1.0,False
0.04,4,25.0,full,17,0.4070976937597885,70,0.07572325291235736,0.3313744408474311,0.15405986357995946,0.09,False
0.04,4,25.0,is,16,0.3483157824100049,61,0.030261660374542136,0.31805412203546274,0.06887702350848857,0.035,False
0.04,4,25.0,oos_warm,1,1.3476082753563268,9,0.3838518245575495,0.9637564507987773,1.347608275356327,1.0,False
0.04,8,15.0,full,5,0.2013234667505656,70,0.11457645828088371,0.08674700846968188,0.37068659620363315,0.575,False
0.04,8,15.0,is,4,-0.0609848007178837,61,0.09099423207335876,-0.15197903279124247,0.19338764734360747,0.585,False
0.04,8,15.0,oos_warm,1,1.2505565366243627,9,0.27441154702077486,0.9761449896035879,1.2505565366243625,1.0,False
0.04,8,20.0,full,9,0.6546110421625956,70,0.11457645828088371,0.5400345838817119,0.2481741292957429,0.125,False
0.04,8,20.0,is,8,0.5801178553548747,61,0.09099423207335876,0.48912362328151593,0.22325663967268103,0.21,False
0.04,8,20.0,oos_warm,1,1.2505565366243627,9,0.27441154702077486,0.9761449896035879,1.2505565366243625,1.0,False
0.04,8,25.0,full,17,0.8477532030637074,70,0.11457645828088371,0.7331767447828237,0.19106469374314206,0.005,False
0.04,8,25.0,is,16,0.8225779947161664,61,0.09099423207335876,0.7315837626428077,0.0771108213165876,0.005,False
0.04,8,25.0,oos_warm,1,1.2505565366243627,9,0.27441154702077486,0.9761449896035879,1.2505565366243625,1.0,False
