0.03,8,20.0,A0,is,1931,-0.02626319097568394,0.856475713277346,32
0.03,8,20.0,A0,oos_warm,830,0.45546592533578023,0.6620055292079975,23
0.03,8,20.0,A1,is,1225,1.0547000072817063,0.5047651383717591,15
0.03,8,20.0,A1,oos_warm,544,0.28356788595174964,0.44814472430292307,12
0.03,8,20.0,A2,is,1555,0.651658615588459,0.600332357058837,10
0.03,8,20.0,A2,oos_warm,720,0.06793539202588363,0.4930748814459991,10
0.03,8,20.0,A3,is,1155,0.8222064615428033,0.4374720088407688,5
0.03,8,20.0,A3,oos_warm,559,0.16198736903263433,0.33844359575210625,5
0.03,8,20.0,A4,is,1203,1.0258415321331926,0.49894299768198735,10
0.03,8,20.0,A4,oos_warm,541,0.2199591804973852,0.4421950858440535,10
0.03,8,20.0,A5,is,1361,-0.07286399807898088,0.7023365586544034,30
0.03,8,20.0,A5,oos_warm,572,-0.16980933540839416,0.3857356439872062,14
